"MES","TIRE01","TIRE02","TIRE03","TIRE04","TIRE05","TIRE06","TIRE07","TIRE08","TIRE09","TIRE10","TIRE11","TIRE12"
2005-08-01,"6.4356749755872578","10.21210267337956","5.3500558639395717","7.4249338012242427","7.4093517352493095","-1.2707545438441201","1.936323511944571","-1.8787658648508241","1.3529257877100007E-2","3.6764034301546955","-0.84212794963231619","-0.66976148843519956"
2005-09-01,"6.0044352235546796","9.6845181077512965","5.2919129066210662","7.4963824015543246","7.1526960218265296","-1.4774903827810679","1.8912195940352872","-2.1518477150359212","-0.1841834016656142","3.6828299749891658","-1.272056835460994","-0.93797956137355643"
2005-10-01,"5.5144240186240641","9.0280391546921379","5.1897651873945927","7.4433394383160323","6.9067026982999584","-1.6257499901479222","1.7632886588873298","-2.4474206663010558","-0.40961176446977837","3.8599718414008111","-1.7141796829939793","-1.2339755550067648"
2005-11-01,"5.5690820513379551","9.1791533621411201","4.8576066590115996","7.5884194755995837","6.7754210136884208","-1.6540808640122295","1.7830467724228694","-2.6763520496973063","-0.4909346966762077","3.9076477547754784","-2.0722480915747314","-1.4536262813210403"
2005-12-01,"5.4730449293409054","9.0483755827927776","4.9025191814069329","7.7954183998454329","6.6580621784065679","-1.7857935640037619","1.715300071090553","-2.914437986796607","-0.54065806715509779","3.9641483896697416","-2.4429262111334804","-1.6487587664585557"
2006-01-01,"5.2244785669852867","8.376461101086198","5.1173699575508236","8.2119500126352385","6.5554401334257797","-1.7136520513266413","1.693629532312757","-3.0119317518350801","-0.52636088589643881","4.188616215040164","-2.6758906012690886","-1.7023359760647443"
2006-02-01,"5.1631708424085678","8.1227591949852567","5.3786966892669508","8.5401550902620471","6.4342814710022962","-1.7044253284409363","1.6827861185974236","-3.1860269923736451","-0.46537553519458835","4.4425517805563031","-2.9716680475856774","-1.7955037999663042"
2006-03-01,"5.1153534125135884","7.9088521146200517","5.2768429351876751","8.9364251859024968","6.3686107130124361","-1.6751629659717204","1.7127413701779393","-3.2619578524910504","-0.342076986366185","4.7279676166906315","-2.8206968891138731","-1.8170287705959658"
2006-04-01,"5.0872878293514709","7.5963598293847276","5.0703421328932805","9.1126252981988731","6.1807462509472302","-1.7210059546478866","1.5952551768736445","-3.4199073678693801","-0.22371796497806795","4.8703642767682576","-2.9537006304937914","-1.9426519675319793"
2006-05-01,"5.0661498149920661","7.4796903557678363","4.7492951649176316","9.5050028371062467","6.0868861956366809","-1.8333011006160593","1.5017680300634328","-3.5640647783367339","-0.15978380027107564","4.9540782040162767","-3.084124822024541","-2.0264105891725426"
2006-06-01,"5.0826234920604563","7.3025606712976847","4.4362156035241229","9.8033617913334545","6.2363632865737486","-1.6471677688131008","1.611233843666704","-3.4789401054310933","4.138329138905246E-2","5.0729089555479723","-3.0317426078258816","-1.9637205537842171"
2006-07-01,"4.9608205789032382","6.8721446325026205","4.2313831085147928","9.8921421526217088","6.0794752956810463","-1.7028070395688437","1.6445482681719081","-3.5126883636331261","6.7185634177607551E-3","4.9403981839574174","-3.1284009007111049","-2.0582465279358644"
2006-08-01,"4.7963417836810702","6.5713926642164715","4.0007431149750241","9.9830812551084502","6.0507254571517581","-1.7108206236837313","1.6010686085320192","-3.482559390208686","-2.8729822014398596E-2","4.9018531682549105","-3.2462865857783525","-2.0952719182539723"
2006-09-01,"4.9070601546107291","6.7063890732371929","3.6548301588297312","9.8970701353676702","6.016870443569994","-1.5900351455649215","1.5367414636421328","-3.4044927443539015","-0.1076137077886257","4.8696262297722503","-3.2863984988841177","-2.0704234943135345"
2006-10-01,"4.8247311805443251","6.525895906297702","3.2990137160835484","9.9058172643844866","6.0085174051842456","-1.6189449255282273","1.4408733835859389","-3.3447533898174213","-0.15015093201965929","4.7427720920456995","-3.3543242427911082","-2.0506309132503899"
2006-11-01,"4.7382800305188422","6.4091791771640736","3.3836578072148051","9.6694877933197745","5.8874783952013265","-1.7256916982799617","1.3198023379787038","-3.3119168266014669","-0.22790856648104685","4.5815292330657398","-3.4354661204397434","-2.0181026281627998"
2006-12-01,"4.6649937073508241","6.4041510753379773","3.2192508245559601","9.4441159332398161","5.7752349024549261","-1.7670333954059152","1.1725032250395007","-3.3316090500715254","-0.30449435937496044","4.3354003983219869","-3.5625816170796676","-2.0464280417886296"
2007-01-01,"4.3393925949299268","6.0919150620203562","2.8766838723102617","8.8420170888057203","5.4873831177340371","-1.998159330421045","0.8683286319364214","-3.5193946006498522","-0.49983133998863749","3.9027415065539195","-3.3716277895741373","-2.2530489186353915"
2007-02-01,"3.9938594430618353","5.749585361870702","2.523741553868311","8.3704163114702865","5.1584563130657228","-2.2611657095416366","0.54272438452178662","-3.7017518103948839","-0.81590077595573474","3.3630263720386244","-3.6304403171043544","-2.4799482253504843"
2007-03-01,"3.7166311807787253","5.5382823891844923","2.3342311784589111","7.8231148395357719","4.7373867623581747","-2.540913803482125","0.13445358727917078","-3.9390106281888566","-1.1917502740419159","2.7568525757904805","-4.1735464812319565","-2.7805456570971803"
2007-04-01,"3.467338684918464","5.3114224070961145","2.3300234409031582","7.4549868688777332","4.4363963773416222","-2.8181667639428865","-0.11757517944676055","-4.1442769198252378","-1.5146114284950698","2.3066388854763753","-4.4262819726468425","-3.0244520245480002"
2007-05-01,"3.2165366252255931","5.1853387470490606","2.4007526983608574","6.9583686020211921","4.1987191284711143","-2.913631671296014","-0.3140923265773865","-4.3021164678481716","-1.7030587189642474","1.970805533141573","-4.6307347309815725","-3.1968373499512257"
2007-06-01,"2.9108839410979388","4.9373877977722662","2.3574228980155354","6.504576848146737","3.7650333997370966","-3.1843222835277172","-0.58840939403421721","-4.6406584883273494","-1.9246284749995568","1.5428707732311198","-4.9494550015112555","-3.4870923627827612"
2007-07-01,"2.5251301438223033","4.6874853449469009","2.1568537762029334","6.0699014725257294","3.243587319623177","-3.5087998552510609","-0.92762560657738691","-5.1436864243187053","-2.377681033956947","0.98348447077822865","-5.4307775542387704","-3.9348025807587792"
2007-08-01,"2.0284982620820711","4.3296924833953572","1.7479820198405085","5.5790473515175076","2.4043756156697538","-4.0173092144094769","-1.3120858284930814","-5.8203058867337631","-2.8946680181374704","0.39163514093725205","-6.0644192074967052","-4.5857899503040258"
