"MES","STME01","STME02","STME03","STME04","STME05","STME06","STME07","STME08","STME09","STME10","STME11","STME12","STME13","STME14"
2001-04-01,"6.52","9.3209999999999997","2.9661400000000002","0.88439000000000001","5.2440000000000001E-2","3.0000000000000001E-3","0.14380999999999999","3.7676799999999999","0.63788","3.4869999999999998E-2","6.5045500000000001","2.9531999999999998","1.082E-2","1.81084"
2001-05-01,"6.57","9.3429199999999994","2.8716699999999999","0.85624999999999996","5.4460000000000001E-2","2.8999999999999998E-3","0.13922999999999999","3.6847400000000001","0.61839","3.3759999999999998E-2","6.5503900000000002","2.8003399999999998","1.073E-2","1.80789"
2001-06-01,"6.6","9.26267","2.8408600000000002","0.84702999999999995","5.2780000000000001E-2","2.8700000000000002E-3","0.13772999999999999","3.6555599999999999","0.60411000000000004","3.3390000000000003E-2","6.1395348837209305","2.8621099999999999","1.0500000000000001E-2","1.87625"
2001-07-01,"6.66","9.4666499999999996","2.97132","0.88593999999999995","5.3089999999999998E-2","3.0000000000000001E-3","0.14405999999999999","3.8461500000000002","0.62783999999999995","3.4930000000000003E-2","6.2542698427643346","2.7483399999999998","9.9799999999999993E-3","1.9034"
2001-08-01,"6.7","9.7394400000000001","3.1305800000000001","0.93342999999999998","5.5930000000000001E-2","3.16E-3","0.15178","4.0433399999999997","0.64487000000000005","3.6799999999999999E-2","6.3969743393335889","2.6392699999999998","1.01E-2","1.91954"
2001-09-01,"6.74","9.9046099999999999","3.1520800000000002","0.93984000000000001","5.6210000000000003E-2","3.1800000000000001E-3","0.15282000000000001","4.16615","0.62794000000000005","3.705E-2","6.4596981930026915","2.51403","9.6500000000000006E-3","1.92909"
2001-10-01,"6.8","9.8506599999999995","3.13585","0.93500000000000005","5.5579999999999997E-2","3.1700000000000001E-3","0.15204000000000001","4.1741099999999998","0.63997999999999999","3.6859999999999997E-2","6.4807089623542904","2.4889899999999998","9.4699999999999993E-3","1.9697899999999999"
2001-11-01,"6.83","9.7103800000000007","3.0929700000000002","0.92220999999999997","5.5050000000000002E-2","3.1199999999999999E-3","0.14996000000000001","4.1190300000000004","0.63951000000000002","3.6360000000000003E-2","6.4755239449976285","2.6842700000000002","9.92E-3","1.9819599999999999"
2001-12-01,"6.83","9.8690499999999997","3.0759099999999999","0.91713","5.1959999999999999E-2","3.1099999999999999E-3","0.14913000000000001","4.0656699999999999","0.64671000000000001","3.6159999999999998E-2","6.4761732851985556","2.9468000000000001","1.03E-2","1.97908"
2002-01-01,"6.91","9.74315","5.9371099999999997","5.9371099999999997","5.1880000000000003E-2","5.9371099999999997","5.9371099999999997","4.0332499999999998","0.64498999999999995","5.9371099999999997","3.5792199999999998","2.8342200000000002","1.017E-2","1.98017"
2002-02-01,"6.98","9.8651","6.0148299999999999","6.0148299999999999","5.1790000000000003E-2","6.0148299999999999","6.0148299999999999","4.0778100000000004","0.66354999999999997","6.0148299999999999","3.2985799999999998","2.9554100000000001","1.034E-2","2.00461"
2002-03-01,"7.03","9.9829399999999993","6.1190300000000004","6.1190300000000004","5.287E-2","6.1190300000000004","6.1190300000000004","4.1790900000000004","0.67752000000000001","6.1190300000000004","2.3762699999999999","3.0189499999999998","1.0670000000000001E-2","2.03572"
2002-04-01,"7.06","10.26854","6.3599399999999999","6.3599399999999999","5.5010000000000003E-2","6.3599399999999999","6.3599399999999999","4.3475599999999996","0.69006999999999996","6.3599399999999999","2.4192399999999998","2.9805199999999998","1.0869999999999999E-2","2.0493100000000002"
2002-05-01,"7.09","10.33422","6.6139900000000003","6.6139900000000003","5.6849999999999998E-2","6.6139900000000003","6.6139900000000003","4.5118099999999997","0.72238999999999998","6.6139900000000003","1.9748600000000001","2.8167300000000002","1.081E-2","2.03952"
2002-06-01,"7.17","10.92449","7.0684899999999997","7.0684899999999997","5.9909999999999998E-2","7.0684899999999997","7.0684899999999997","4.8054300000000003","0.77802000000000004","7.0684899999999997","1.8865400000000001","2.5061300000000002","1.0279999999999999E-2","2.0379100000000001"
2002-07-01,"7.24","11.360670000000001","7.10304","7.10304","6.0089999999999998E-2","7.10304","7.10304","4.8737700000000004","0.76861999999999997","7.10304","1.9566399999999999","2.1852299999999998","1.0319999999999999E-2","2.0482300000000002"
2002-08-01,"7.3","11.26362","7.16134","7.16134","6.1580000000000003E-2","7.16134","7.16134","4.8692399999999996","0.78169999999999995","7.16134","2.01105","2.37134","1.0200000000000001E-2","2.0121600000000002"
2002-09-01,"7.35","11.43553","7.1819300000000004","7.1819300000000004","5.9709999999999999E-2","7.1819300000000004","7.1819300000000004","4.90334","0.79054000000000002","7.1819300000000004","1.9757400000000001","1.8940600000000001","9.8300000000000002E-3","2.0090400000000002"
2002-10-01,"7.4","11.49804","7.2663500000000001","7.2663500000000001","6.0109999999999997E-2","7.2663500000000001","7.2663500000000001","4.9623499999999998","0.80222000000000004","7.2663500000000001","2.0847500000000001","1.98922","1.0070000000000001E-2","2.0474399999999999"
