"MES","BCFP01","BCFP02","BCFP03","BCFP04","BCFP05","BCFP06","BCFP07","BCFP08","BCFP09","BCFP10","BCFP11","BCFP12","BCFP13","BCFP14","BCFP15","BCFP16","BCFP17","BCFP18","BCFP19","BCFP20","BCFP21","BCFP22","BCFP23","BCFP24","BCFP25","BCFP26","BCFP27","BCFP28","BCFP29","BCFP30","BCFP31","BCFP32"
2012-01-01,"41830996.366526008","24903078.670469999","16927917.696056005","11398616.686956001","5528270.6257900018","235.00534999999999","795.37796000000003","56685220.360146597","26900170.266842","17441796.060176","9434348.1784659997","2.0765400000000001","24023.951659999999","28370781.383264001","17879631.344000001","10204267.157903999","10.73033","286872.15103000001","1414268.7100406","825022.949104","589028.69474259997","168.93014400000001","48.136049999999997","40404397.027532049","34538046.775350004","55317.511933356","5717690.59618429","93342.144064399996","400178.38176120003","1617736.8633080428","12809526.092959499","21132735.40413513"
2012-02-01,"41892954.996224493","24625366.599209998","17267588.397014499","11598227.211519498","5668850.9473750005","145.25601","364.98210999999998","57455622.4873491","26925277.485603999","17473888.726719499","9431077.7879345007","2.0765400000000001","20308.894410000001","29170803.660470501","18894960.098920003","10023284.508780498","10.731290000000001","252548.32148000001","1359541.3412745998","796393.28070550004","562972.98687110003","126.69760799999999","48.376089999999998","41334256.516470775","34408217.012910001","2062092.0096946273","4770593.001801746","93354.492064399994","400710.4968662","1598479.843166766","13048859.627055237","21846778.859523851"
2012-03-01,"42329142.218823001","24540510.893769998","17788631.325052999","11808435.802812999","5979609.6442900011","248.01324","337.86470999999995","59008646.205201603","27590858.379506003","18052781.721463002","9519671.8150730021","2.0765500000000001","18402.76642","29969125.167576998","20022822.512910001","9710536.6765470002","10.73227","235755.24585000004","1448662.6581186003","845563.17227700003","602966.45253960008","84.465072000000006","48.568229999999993","41744339.24624712","34884819.708980002","2070282.3568394291","4695868.7956284946","93368.384799199994","409037.48461020004","1533633.6666245714","13286674.814696923","20540483.700156517"
2012-04-01,"42657988.702971503","24721194.540100005","17936794.162871499","11447602.325346502","6488491.849545002","148.7116","551.27638000000002","59151109.263844103","27540787.799738005","18038904.120736502","9485910.3929715008","2.0765400000000001","15971.209490000001","30195025.822373498","20660755.853659999","9327270.5683634989","10.733220000000001","206988.66712999999","1415295.6417326001","822386.8217185","592817.8463181","42.232536000000003","48.741159999999994","44018296.109758466","37509380.293579996","2113632.7191559421","4301914.7122233314","93368.384799199994","408971.57402659999","1533217.2193165058","12996115.37359594","20627944.028664872"
2012-05-01,"43324360.499359205","24672153.357030001","18652207.142329201","12002093.658535199","6649305.3562439997","234.24633","573.88121999999998","59859989.4244406","27677934.932524398","18181089.792619202","9480067.9876451995","2.0765500000000001","16775.075710000001","30794559.245630804","21655715.436230004","8972088.0142208003","10.734170000000001","166745.06101","1387495.2462853999","816561.27703079989","570851.27804579993","33.786028799999997","48.905180000000001","44015947.231131107","36103997.838600002","2121436.1135447426","5697144.894187171","93368.384799199994","337482.00153459999","1451912.1904803398","13318769.505255517","18909773.249373045"
2012-06-01,"43964826.877606899","25236765.717810001","18728061.159796897","12283656.0659039","6443119.7514229994","206.95705000000001","1078.3854199999998","61223749.254427105","28414625.350990802","18939751.823621903","9462046.5893789008","2.0765500000000001","12824.861440000001","31407368.059618101","22501245.569990005","8777497.5789880976","10.73512","128614.17552","1401755.8438182001","835391.45023309998","566339.00211350003","25.339521600000001","5.1950000000000003E-2","43747502.629467845","36211893.066179998","2234912.0874245251","5207329.0910641262","93368.384799199994","266467.13645360008","1515325.7035665186","13314770.756148923","19008362.018854864"
2012-07-01,"42964016.179094598","25355066.91542","17608949.263674598","11452967.213192601","6155466.4127019998","229.64986000000002","285.98792000000003","62057311.70902361","28476500.496957205","19012108.800984606","9452941.7356326003","2.0765500000000001","11447.883789999996","32207534.027695403","23501061.49701","8643137.4488254003","10.736090000000001","63324.34577","1373277.1843709999","820793.09167540004","552467.14753119997","16.893014399999998","5.2150000000000009E-2","45745177.785647407","37470524.295700006","2247851.919301291","5935405.4918245068","91396.078821600007","267179.9200098","1489772.1251346506","13799606.691322112","19846591.045998178"
2012-08-01,"43834697.136902303","25426304.411499999","18408392.725402303","12048967.087861301","6358931.6396010006","181.24844999999999","312.74948999999998","62721406.8026601","28680973.518203601","19323909.246797301","9346421.8831262998","2.0765500000000001","10640.311729999999","32483338.518372703","24038826.23756","8392666.2735527009","10.737050000000002","51835.270210000002","1557094.7660837998","980863.43356769998","576222.83366889996","8.4465071999999992","5.2340000000000005E-2","47486108.574370809","37226622.581319995","2261254.0300541837","7906860.4818026321","91371.481194000007","269308.9050274","1463176.4252018933","13624704.73112377","20696634.269693587"
2012-09-01,"44480472.935211152","25897634.733320002","18582838.20189115","12348216.09795565","6233951.3650855012","244.65213","426.08672000000001","63306252.747078344","28634711.543796793","19186743.914398648","9437788.8286181483","2.0765500000000001","10176.724230000002","33053053.867336355","24770646.248350002","8241714.9890363496","10.738","40681.891949999997","1618487.3359451999","1041807.1641988498","576675.89598274999","4.2232535999999996","5.2510000000000008E-2","48367466.377058126","36741006.867109999","2268743.7351067266","9280748.6197387986","76967.155102600009","272504.69562019996","1489107.6036078194","13953252.586854557","22576967.371947356"
2012-10-01,"45447778.206228919","26314863.11214","19132915.094088919","12447922.320750521","6683928.5159884002","224.31428","839.94307000000003","63956075.550751999","28686637.649901439","19273777.477650918","9403736.9718605205","2.0765500000000001","9121.1238400000002","33523654.587827079","25401568.44196","8092804.9848770797","10.738960000000001","29270.422029999998","1745783.3130234801","1189485.6127430801","556294.26896751986","3.3786028799999999","5.271E-2","52369872.428302653","36174500.673020005","2321350.8295284235","13796706.425321825","77314.500432400004","275834.39311459992","1483140.1688132063","14205755.335741326","22140834.679391496"
