"MES","AMBD01","AMBD02","AMBD03","AMBD04","AMBD05","AMBD06","AMBD07","AMBD08","AMBD09","AMBD10","AMBD11","AMBD12","AMBD13","AMBD14","AMBD15","AMBD16","AMBD17","AMBD18","AMBD19","AMBD20","AMBD21","AMBD22","AMBD23","AMBD24","AMBD25","AMBD26","AMBD27","AMBD28","AMBD29","AMBD30","AMBD31","AMBD32","AMBD33"
2011-02-01,"32753997.521922383","71670840.316464007","-21398482.908853341","1166556.3279627999","9201524.9296303913","9196682.2288603913","4842.7007699999995","-9483391.2840206735","32753997.521922406","20926812.822209999","11827184.699712409","2283.2149375999998","9392991.5690292064","124.45182560000001","2431785.4639200009","8136049.98116","2283.1991600000001","5701930.9685899988","50.349490000000003","2431785.4639200009","265121.60253880557","265121.60253880557","3424832.3681084001","1.5777599999999999E-2","3425413.5589788002","-581.20664799999997","1180.7479051999999","0","525.43892159999984","655.30898360000003","29327984.405908808","23358598.28613","-48312242.030334003"
2011-03-01,"33318498.855925035","72352563.366167992","-20515376.437737089","1096133.1636680001","9898914.1137267705","9893395.6063347701","5518.5073920000013","-9715907.1224470939","33318498.855925027","20716928.908209998","12601569.947715033","673914.63502099994","9504789.5156260282","479.40594799999991","2422386.3911200054","8174943.7631400051","54655.275320000001","5697851.4072099989","50.689490000000006","2422386.3911200054","278643.51233702846","278643.51233702846","4146805.3368990002","619259.35970100004","3527770.6757670003","-224.69856900000008","1177.335339","0","523.92031199999997","653.41502700000001","29170516.183687028","23139315.299330004","-49213248.066837989"
2011-04-01,"30179544.053439464","74080943.33138071","-22720668.638767067","1135944.2014239","11097921.099213129","11092410.070634229","5511.0285789000009","-11218753.741384959","30179544.053439457","21172658.701979998","9006885.3514594585","3068.0452280999993","6774105.5063596573","290.12992170000001","2229421.6699500009","5699656.7258100016","3068.0294499999995","3467115.9969200003","51.029490000000003","2229421.6699500009","111465.4242303576","111465.4242303576","3194587.5723631997","1.57781E-2","3195000.9242020994","-413.36761699999994","1175.6290558999999","0","523.16100719999997","652.46804869999994","26983780.852020357","23402080.371929999","-50678862.959450707"
2011-05-01,"29387941.461732712","73562654.616618708","-24039985.288323496","1298665.8079592003","10673731.1879902","10668220.555724099","5510.6322661000004","-10759662.486531496","29387941.461732719","21479375.922189996","7908565.5395427216","5338.4108470000001","5632325.7852433212","245.95247239999989","2270655.3909800015","5167255.4391000019","5338.3950000000004","2891210.2202300006","51.43289","2270655.3909800015","98107.200542819992","98107.200542819992","2642027.2708440009","1.5847E-2","2642485.2034633006","-457.94846630000006","1175.6290558999999","0","523.16100719999997","652.46804869999994","26744738.561832819","23750031.313169997","-49812623.303448707"
2011-06-01,"31157768.917289425","73969250.294641599","-23153205.909382429","1135081.8582756","10264381.808590693","10258879.311526693","5502.4970640000001","-10528975.517654656","31157768.917289417","22239756.138600003","8918012.7786894161","2713.4961552","6514338.1231634198","-2751.2085291999997","2403712.3678999953","6136590.4708699957","2713.4803999999999","3730112.84968","51.772890000000004","2403712.3678999953","69817.430221019997","69817.430221019997","2708742.9548063995","1.57552E-2","2712197.4415408","-3454.5024896","2861.9227919999998","0","2210.4017215999997","651.52107039999999","28446164.03969102","24643468.506499998","-49325781.788141616"
2011-07-01,"31437502.481094018","75822954.163600504","-24583659.839785591","1190864.9637164001","9795498.1094088461","9790003.0775979459","5495.0318109","-11197158.697028449","31437502.481094014","22681374.299830001","8756128.1812640112","2891.0622523000002","6377677.1117716143","-186.32261989999998","2375746.3298599981","6277736.8211299982","2891.0465200000003","3899047.3318599998","52.11289","2375746.3298599981","54931.042173315203","54931.042173315203","2420602.5549402004","1.5732300000000001E-2","2421491.5488098999","-889.00960199999997","2857.7630204999991","0","2207.1889283999994","650.57409210000003","29014042.163133312","25057120.629689999","-50765833.533910505"
2011-08-01,"32635139.76910238","79912282.316362485","-25793166.578589763","1181444.8711160002","9581445.0702366047","9577323.9671151023","4121.1031215000003","-13083975.769549731","32635139.769102383","22914441.058400001","9720698.7107023858","3164.3896622999996","7259695.6466994863","-4972.9666093999986","2462811.6409499981","7027370.7598899975","3164.3739299999997","4561342.6321199993","52.11289","2462811.6409499981","55045.690111885509","55045.690111885509","2635424.4976800005","1.5732300000000001E-2","2641100.1355392006","-5675.6535914999986","2857.7630204999991","0","2207.1889283999994","650.57409210000003","29996857.508401882","25377252.699349999","-54535029.617012486"
2011-09-01,"34320068.200088397","78373953.385855496","-26182201.187240429","1173214.8700196003","9050848.7027212605","9048101.1354625598","2747.5672587000004","-9994050.1658250093","34320068.200088397","23192246.391119998","11127821.808968399","1267.0955922999999","8615789.7001259979","-1834.2365199000003","2512599.2497700006","7993729.0474700006","1267.0798600000001","5479809.9249499999","52.79289","2512599.2497700006","55712.641910197504","55712.641910197504","3075522.3565677004","1.5732300000000001E-2","3078059.9443374001","-2537.6035020000004","2857.7630204999991","0","2207.1889283999994","650.57409210000003","31241688.0805002","25704845.640889999","-52669107.744965501"
2011-10-01,"35375422.907394484","81771252.434603393","-26496707.457077902","1180401.0879733004","9121970.3859183304","9119909.5343790278","2060.8515393000002","-11957552.772185985","35375422.907394476","23424677.098189998","11950745.80920448","1120.4919023","9303421.8647619784","672.34289020000017","2645531.1096500009","8556878.4266199991","1120.4761699999999","5910173.7079099985","53.132890000000003","2645531.1096500009","56161.223516279999","56161.223516279999","3334848.3960477007","1.5732300000000001E-2","3334879.7444073004","-31.364091899999885","2857.7630204999991","0","2207.1889283999994","650.57409210000003","32037716.748326275","26070208.207839999","-55701044.22676339"
2011-11-01,"37694737.930022851","83107108.797405005","-25953885.438838132","1033806.9248980003","9870618.2600578889","9869932.2601950876","685.99986280000007","-10621674.093384132","37694737.930022858","23472053.859399997","14222684.07062286","3262.4679294000002","11336686.719744056","-678.2916105999999","2883413.174560003","10461719.584040003","3262.4522200000001","7574990.4843699997","53.47289","2883413.174560003","54875.666812455005","54875.666812455005","3703235.2165214005","1.5709399999999998E-2","3704616.5924264006","-1381.3916144","2853.6032489999998","0","2203.9761352","649.62711380000007","33988649.110252455","26355467.03396","-56751641.763445005"
