"MES","AMCM01","AMCM02","AMCM03","AMCM04","AMCM05","AMCM06","AMCM07","AMCM08","AMCM09","AMCM10","AMCM11","AMCM12","AMCM13","AMCM14","AMCM15","AMCM16","AMCM17","AMCM18","AMCM19","AMCM20","AMCM21","AMCM22","AMCM23","AMCM24"
2011-12-01,"   37.098041","  223.948585","  186.850544","49819.104329","18910.983917","    6.068108","13783.865756"," 5121.050053","    0.000000"," 2140.995395"," 2140.995395","    0.000000","22431.841371","22431.841371","    0.000000"," 6335.283645","   79.767092","    5.285632"," 5907.849082","  342.381838","49856.202370","49308.465895","  630.759332","  -83.022858"
2012-01-01,"    3.148514","  238.066182","  234.917668","50394.947772","19814.515639","   13.606133","14612.402762"," 5188.506744","    0.000000"," 1934.602131"," 1934.602131","    0.000000","22292.822453","22292.822453","    0.000000"," 6353.007549","   79.971575","    5.299019"," 5941.806929","  325.930026","50398.096285","49891.907846","  599.337624","  -93.149185"
2012-02-01,"   16.609740","  276.946585","  260.336845","50962.046149","21081.651174","   12.387357","15860.691058"," 5208.572760","    0.000000"," 1593.297740"," 1593.297740","    0.000000","21970.740248","21970.740248","    0.000000"," 6316.356987","   80.163875","    5.311608"," 5906.787641","  324.093864","50978.655889","50513.348580","  551.292223","  -85.984914"
2012-03-01,"  -38.461249","  264.057605","  302.518854","51736.019045","21890.675446","    9.555975","16588.149893"," 5292.969578","    0.000000"," 1447.585697"," 1447.585697","    0.000000","22106.743591","22106.743591","    0.000000"," 6291.014312","   80.370465","    5.325130"," 5880.993278","  324.325439","51697.557796","51198.236965","  575.761292","  -76.440460"
2012-04-01,"  -60.025790","  253.054145","  313.079934","52202.046319","22716.345213","    8.834368","17456.464572"," 5251.046273","    0.000000"," 1233.901857"," 1233.901857","    0.000000","21902.213514","21902.213514","    0.000000"," 6349.585736","   77.658185","    5.167034"," 5945.896549","  320.863968","52142.020530","51724.027576","  493.434547","  -75.441594"
2012-05-01,"  -59.43113","  269.94781","  329.37894","53084.00787","22500.99304","   10.69243","17268.21636"," 5222.08426","    0.00000"," 1497.63654"," 1497.63654","    0.00000","21602.26857","21602.26857","    0.00000"," 7483.10971","   78.52722","   15.55863"," 7069.49659","  319.52727","53024.57674","52563.25224","  532.00296","  -70.67846"
2012-06-01,"  -84.83608","  281.06741","  365.90349","53738.76912","23469.72042","   10.61420","18128.94985"," 5330.15637","    0.00000"," 1450.06317"," 1450.06317","    0.00000","21375.88906","21375.88906","    0.00000"," 7443.09647","   78.70227","   15.60130"," 7028.50527","  320.28763","53653.93304","53195.71936","  531.42211","  -73.20843"
2012-07-01," -109.490250","  290.631404","  400.121654","54478.712814","24389.639584","    9.391021","19017.962914"," 5362.285650","    0.000000"," 1410.246909"," 1410.246909","    0.000000","21253.386612","21253.386612","    0.000000"," 7425.439708","   78.884029","   15.645672"," 7009.082112","  321.827895","54369.222564","53880.817995","  574.164254","  -85.759685"
2012-08-01,"  -73.71352","  302.00871","  375.72222","54596.30075","25343.03390","   10.72696","19847.52298"," 5484.78396","    0.00000"," 1326.74185"," 1326.74185","    0.00000","20483.70105","20483.70105","    0.00000"," 7442.82394","   79.06658","   15.69031"," 7025.33248","  322.73457","54522.58723","54024.68677","  581.85647","  -83.95601"
2012-09-01,"   24.30106","  379.13380","  354.83275","55643.24927","25356.51978","   12.44011","20663.88247"," 4680.19720","    0.00000"," 1318.10715"," 1318.10715","    0.00000","20770.61105","20770.61105","    0.00000"," 8198.01130","   79.64638","   15.78065"," 7779.97512","  322.60914","55667.55033","55103.83158","  647.87744","  -84.15869"
