"MES","SEPU01","SEPU02","SEPU03","SEPU04","SEPU05","SEPU06","SEPU07","SEPU08","SEPU09","SEPU10","SEPU11"
2005-12-01,"353.45709000000005","2.6791899998857525","4475.6974702321295","2147.4113745362361","607.8287028085507","39.606133979015333","8685.7880000000005","210.26149153906891","568.59196872276095","879.48127842354268","513.52657642016391"
2006-01-01,"331.56706114398423","2.9198163351396964","4120.9289406905973","1767.469164810173","501.84668419992283","45.110257832880762","8965.1604205985459","199.91138466405198","506.49446069027181","720.7401439969675","451.16658650885557"
2006-02-01,"322.31864129626877","2.6247168234064788","3666.6612021857927","2174.5480135672656","530.30529975097909","31.667110239766501","9689.528236694634","201.59619629428639","504.65542242843628","613.09707312375554","471.83330766727386"
2006-03-01,"299.31944444444446","2.3939426207270764","3830.3936582732049","1910.2486100551166","491.37573888260397","11.944325347783375","8115.8491778396155","205.82412600694056","506.18039268958182","584.72501780073219","508.32854920898552"
2006-04-01,"276.55996710912723","1.2626190476190478","4198.711832061068","2092.1586157317724","580.20857077879612","11.348387970560017","9802.098337350888","199.27571813656988","500.09416114467717","578.34308261615092","391.57954568054521"
2006-05-01,"420.97560476671742","2.3344103342428379","3886.0858806760157","2761.1073964669404","501.70854485896376","14.043597638792274","10636.467718302834","202.54691682465673","506.55237210554418","713.52598551800793","470.12993506830452"
2006-06-01,"472.82678699166911","2.2895448513148198","3699.9478616770293","2434.9177306770403","486.57926483574545","6.7471700930828629","10484.914721809557","202.63015256285519","524.25496528413066","681.08447270885711","452.5659665035206"
2006-07-01,"455.80839072057859","2.4274056949322631","3657.6639214198908","2509.2277843609536","480.71412402640362","41.177393751293202","10600.111205665971","203.65708540569392","546.74517861291451","657.12884013769394","458.41986390324672"
2006-08-01,"441.13347516446913","2.4924113784870578","3869.1719951750347","2370.9492450205776","476.86833120534533","52.583691972900418","10469.651565975137","200.8135668203789","543.0069901666335","605.06955602538221","495.52533369514146"
2006-09-01,"403.530037369929","2.4947371972664629","3764.7131294261776","2404.5284423776525","422.19060960986434","27.895540168736737","10472.26597627899","202.79205635288679","540.88808081039235","550.55148121928391","481.27322538534077"
2006-10-01,"409.49693848136019","2.4898058830102241","3828.9285782532538","2380.0969785051734","410.8250547713024","45.725695220523995","10154.962804066492","201.91919565035892","560.16405122118135","454.69105479677012","453.92860318499709"
2006-11-01,"441.5212431664587","2.6468377227412239","3822.6328512728978","2261.4135385954437","477.84995339601835","20.547056868529531","10882.675615758921","205.40204347405057","577.16056414394882","472.90308750779241","459.07990077873109"
2006-12-01,"449.43581078673765","2.5693051225059582","3346.7922154106163","2782.6990712997049","529.92569981617771","18.586389984485834","11327.419588202563","218.70143090201731","576.72067792783764","410.49270548773325","433.2956276005998"
2007-01-01,"392.73749890846159","2.4985567591002096","3288.7415328679895","2271.9281663212264","562.92053895317429","29.113956055696026","10596.907944193157","217.5182500812937","640.25798076751687","533.71971726903757","454.56078616965863"
2007-02-01,"414.92514239218877","2.51522651618167","2890.6554509440757","3166.3042959234704","808.06731938792427","16.692008066084018","11202.714263774238","220.71341396116762","688.5621978430645","397.53783427025314","477.45304617057093"
2007-03-01,"388.54287389269075","2.437782663448421","2941.0913657622473","2813.3477930921322","681.09439618187685","42.455445607933306","11143.302250733937","218.77051480721894","690.53634213067107","594.04366957772652","605.83537427518024"
2007-04-01,"407.54291828485378","2.4578273239873778","3798.2991880109907","3216.214319233728","649.40752641286997","31.917945454014991","11937.664857464182","226.73074210069257","717.94900277822558","469.23097218790974","469.31076139587873"
2007-05-01,"377.30465949820785","2.3731360751239028","3695.1455341688202","2767.383416806972","559.1586988473772","23.615784711603084","11989.3802838993","225.71361637259693","671.67576401372776","662.71055151104724","468.63837203497201"
2007-06-01,"413.17812724843247","2.4977570483030562","4014.7083013228657","3398.044955087677","557.13957898948559","30.835216683867245","11792.620616246497","234.99743509654294","701.94132059527954","552.92441521288254","440.25163489693381"
2007-07-01,"355.37633223079752","2.7112247643599456","3920.808456147171","2735.0613010410666","634.40316960909456","24.527349634989339","11386.359506737979","243.74570569590225","780.07519431860214","707.09637264560502","492.98103415861834"
2007-08-01,"342.81456806164118","2.795796829384809","4017.27152652205","3035.2992962299554","538.93748381831188","60.141601155716636","11566.158784919413","244.7635305589348","833.64878050889445","699.16884593434986","540.52840102141545"
2007-09-01,"324.78070541978565","2.9503012938042685","4000.4056810899992","3236.3163972019524","604.6164110163453","73.183868462526377","12067.727793551854","244.33422424658661","841.60742088033237","629.18705684745646","580.11090939034943"
2007-10-01,"322.03985093328197","2.8468519645705652","4074.905984106837","2789.8461029440132","603.77409629285921","59.69676797207665","12204.590889312851","264.00762094375227","922.65159332712642","604.8049704081144","592.69965798825865"
2007-11-01,"296.83538799007636","3.0437242997786771","4290.8561573938432","3845.2383067963583","654.11653545263698","45.916668316585138","12094.884159798225","269.51097571959673","965.63420853355785","783.11131648390551","703.14734611718768"
2007-12-01,"288.08499809136021","3.1548971325136312","4697.024561977626","2993.1746241657393","683.44310168197467","16.204457682030029","13889.296053897981","278.12060555765964","818.13281223732099","756.26852341376559","634.13930615054971"
2008-01-01,"298.35175182596282","3.3521918036254559","4943.760730316907","3235.9369528503644","637.02819475461956","34.051675465162361","13962.828946015426","310.1233410874317","1116.534924308593","988.43081868843069","684.86721434681601"
2008-02-01,"333.52108473099543","2.898621989142466","4359.5637004092287","3015.581133188181","594.36710710925468","24.641850676928282","14432.413622187569","317.49577677479454","1240.1092458925573","802.58846360673488","645.16556819110792"
2008-03-01,"370.74590185731819","2.6923697518444007","4587.0075829954076","3505.1402083696935","706.88468076901381","33.757287235175063","14030.296085514923","388.33434251246297","1313.0195277711721","901.43873789797021","867.34806186909236"
2008-04-01,"397.08817161975998","3.0000000000000004","4509.4112448002579","2487.6251280772294","625.20864451584168","34.761563432181084","15740.637952760999","387.82027391599621","1518.319004567589","818.62957724799594","670.34020561796069"
2008-05-01,"369.66828233868529","1.3251515151515152","4330.1023636927493","3557.0789769146163","556.95870168702629","22.417037930193473","15174.563741460854","380.20031074455545","1362.8271165178621","882.57486077012982","670.06841249692684"
2008-06-01,"317.01373793583167","3.1309124231967012","4365.0470086019159","3737.23409092777","560.67488187527977","23.514359842978685","18106.304261233978","408.3952301380009","1472.3736468967829","1053.375082874504","873.39222161409259"
