"MES","FOEP01","FOEP02","FOEP03","FOEP04","FOEP05","FOEP06","FOEP07","FOEP08","FOEP09","FOEP10","FOEP11","FOEP12","FOEP13","FOEP14","FOEP15","FOEP16","FOEP17","FOEP18","FOEP19","FOEP20","FOEP21","FOEP22","FOEP23","FOEP24","FOEP25","FOEP26","FOEP27","FOEP28","FOEP29","FOEP30","FOEP31","FOEP32","FOEP33","FOEP34","FOEP35","FOEP36","FOEP37","FOEP38","FOEP39","FOEP40"
2004-08-01,"63.278788999999996","63.238963999999996","34.745277999999999","34.745277999999999","0","14.407736999999999","11.046742999999999","3.3609939999999998","5.3700320000000001","5.3700320000000001","0","8.7159169999999992","0","0","8.7159169999999992","3.9824999999999999E-2","48.857826190000004","44.850855190000004","11.806611","32.628715","1.3514490000000001E-2","0","2.9315720000000001","0","1.7010200000000002","-4.2305772999999993","4.0069710000000001","18.388108809999991","14.420962809999992","-14.420962809999999","0.41493419000000004","0.73299446000000001","-0.31806026999999998",,"0","-14.835896999999999","-8.0533129999999993","0","-0.37303199999999997","-6.4095519999999997"
2004-09-01,"58.621194000000003","58.583393000000001","30.278478","30.278478","0","15.193267000000001","12.012333","3.1809340000000002","4.5006360000000001","4.5006360000000001","0","8.6110120000000006","1.135356","0","7.4756559999999999","3.7801000000000001E-2","50.395977290000005","45.686040290000008","12.319793000000001","38.764017000000003","2.9195152800000002","0.137739","1.2569509999999999","0","1.8043659999999999","-11.51634099","4.709937","12.897352709999993","8.225216709999998","-8.225216709999998","-10.143150709999999","0.32204315","-10.465193859999999",,"0","1.9179340000000002","4.9994690000000004","0","0.51661500000000005","-3.59815"
2004-10-01,"69.473926000000006","69.388101000000006","34.548358999999998","34.548358999999998","0","15.302889","12.148804","3.1540849999999998","4.9538869999999999","4.9538869999999999","0","14.582965999999999","1.132231","0","13.450735","8.5824999999999999E-2","90.680479999999989","77.456472999999988","12.919388000000001","42.163224","0.20326338999999999","0.20305400000000001","2.026087","0","1.937379","18.004077610000003","13.224007","-8.0683719999999823","-21.206553999999983","21.206553999999997","-1.08405","0","-1.08405",,"0","22.290603999999998","55.297623999999999","0","-4.7340710000000001","-28.272949000000001"
2004-11-01,"100.37080200000001","100.31397700000001","28.901713000000001","28.901713000000001","0","15.218888","11.887525","3.3313630000000001","29.984155999999999","29.984155999999999","0","26.209219999999998","5.2979139999999996","0","20.911306","5.6825000000000001E-2","79.782410999999996","71.950300999999996","14.096458","46.799138999999997","0","1.379E-3","3.5121159999999998","0","2.8793899999999999","4.6618190000000004","7.8321100000000001","28.363676000000012","20.588391000000016","-20.588390999999998","0","0","0",,"0","-20.588390999999998","-21.450869999999998","0","4.2035580000000001","-3.3410790000000001"
2004-12-01,"72.351857999999993","72.272569999999988","36.642277999999997","36.642277999999997","0","20.767724999999999","13.555339","7.2123860000000004","8.2299439999999997","8.2299439999999997","0","6.6326230000000006","1.6661410000000001","0","4.9664820000000001","7.9287999999999997E-2","97.973690090000019","87.756962090000016","24.847168","39.745899000000001","3.0087366100000001","0.44067299999999998","3.7329460000000001","0","2.686947","13.29459248","10.216728","-15.484392090000028","-25.621832090000026","25.621832090000005","-5.1720989100000008","2.03458519","-7.2066841000000004",,"0","30.793931000000004","44.575847000000003","0","-10.464117999999999","-3.3177979999999998"
2005-01-01," 68.3660140"," 68.3166890"," 38.1175890"," 38.1175890","  0.0000000"," 16.6937160"," 12.5381000","  4.1556160","  1.2227320","  1.2227320","  0.0000000"," 12.2826520","  1.1835320","  0.0000000"," 11.0991200","  0.0493250"," 56.6023460"," 53.3869920"," 11.9153810"," 39.5145500","  0.7027093","  0.0000000","  0.6099300","  0.0000000","  2.1042660"," -1.4598444","  3.2153540"," 14.9296970"," 11.7636680","-11.7636681"," -5.5114130","  0.0000000"," -5.5114130",,"  0.0000000"," -6.2522550","-18.9217240","  0.0000000"," 18.3415340"," -5.6720650"
2005-02-01," 67.817778"," 67.789362"," 39.315920"," 39.315920","  0.000000"," 15.048389"," 11.365682","  3.682707","  6.670849","  4.470849","  2.200000","  6.754204","  0.318061","  0.000000","  6.436143","  0.028416"," 53.596179"," 51.161225"," 11.739407"," 34.980420","  0.000000","  0.000000","  1.949580","  0.000000","  1.795378","  0.696440","  2.434954"," 16.628137"," 14.221599","-14.221599","  0.000000","  0.000000","  0.000000",,"  0.000000","-14.221599"," -7.896173","  0.000000"," -3.072367"," -3.253059"
2005-03-01," 83.077642"," 83.018843"," 49.450451"," 49.450451","  0.000000"," 18.761927"," 13.846928","  4.914999","  6.397817","  4.841772","  1.556045","  8.408648","  0.799803","  0.000000","  7.608845","  0.058799","101.134742"," 97.530457"," 14.239905"," 89.935892","  3.052159","  0.093969","  1.494520","  0.000000","  2.585640","-13.871627","  3.604285","-14.511614","-18.057100"," 18.057100"," 22.121504"," 35.162556","-13.041051",,"  0.000000"," -4.064404"," -4.485683","  0.000000","  4.148107"," -3.726828"
2005-04-01," 89.4145850"," 89.3732810"," 47.8084900"," 47.8084900","  0.0000000"," 15.5881930"," 11.9289360","  3.6592570","  6.9435550","  4.6649880","  2.2785670"," 19.0330430","  4.0497750","  0.0000000"," 14.9832680","  0.0413040"," 71.8027250"," 60.8788970"," 13.5846800"," 40.7607520","  0.2021689","  0.9299150","  1.8264280","  0.0000000","  1.9334730","  1.6414801"," 10.9238280"," 28.4943840"," 17.6118600","-17.6118600"," -1.1002500","  0.0000000"," -1.1002500",,"  0.0000000","-16.5116100","  4.3707430","  0.0000000","-12.7505150"," -8.1318380"
2005-05-01," 75.1149320"," 75.0787610"," 46.0944620"," 46.0944620","  0.0000000"," 18.6285100"," 13.4203890","  5.2081210","  5.8633230","  4.5528890","  1.3104340","  4.4924660","  0.2594680","  0.0000000","  4.2329980","  0.0361710"," 97.1511993"," 94.5575523"," 11.9337240"," 79.0335158","  0.0000000","  0.3294280","  2.3055140","  0.0000000","  1.8905920"," -0.9352215","  2.5936470","-19.4787914","-22.0362674"," 22.0362673"," 23.3304263"," 23.3304263","  0.0000000",,"  0.0000000"," -1.2941590","  0.4843520","  0.0000000","  1.9701190"," -3.7486300"
