"MES","FBCB01","FBCB02","FBCB03","FBCB04","FBCB05","FBCB06","FBCB07","FBCB08","FBCB09","FBCB10","FBCB11","FBCB12","FBCB13","FBCB14","FBCB15"
2003-01-01,"6535786.0199999996","3144387.2110000001","3391398.8089999994","0","122593.87400000001","-122593.87400000001","0","913721.027","-913721.027","0","163821.52899999998","-163821.52899999998","6535786.0199999996","4344523.6409999998","2191262.3789999997"
2003-02-01,"6939062.0580000002","3348074.0930000003","3590987.9649999999","0","128109.163","-128109.163","0","934185.08699999994","-934185.08699999994","0","144903.94899999999","-144903.94899999999","6939062.0580000002","4555272.2920000004","2383789.7659999998"
2003-03-01,"6877204.6339999996","3111817.074","3765387.56","0","148125.26500000001","-148125.26500000001","0","999963.73100000003","-999963.73100000003","0","141389.68299999999","-141389.68299999999","6877204.6339999996","4401295.7530000005","2475908.8809999991"
2003-04-01,"6893481.9879999999","3347122.4440000001","3546359.5439999998","0","144703.55499999999","-144703.55499999999","0","1019488.801","-1019488.801","0","135123.06899999999","-135123.06899999999","6893481.9879999999","4646437.8690000009","2247044.118999999"
2003-05-01,"6912798.9280000003","3078554.0640000002","3834244.8640000001","0","144441.32700000002","-144441.32700000002","0","1143977.5819999999","-1143977.5819999999","0","144887.35699999999","-144887.35699999999","6912798.9280000003","4511860.33","2400938.5980000002"
2003-06-01,"6939005.5530000003","3595178.523","3343827.03","0","167827.40600000002","-167827.40600000002","0","1114182.2480000001","-1114182.2480000001","0","147391.785","-147391.785","6939005.5530000003","5024579.9620000003","1914425.591"
2003-07-01,"6910359.0039999997","3334392.3691191999","3575966.6348807998","0","152049.52800000002","-152049.52800000002","0","1094392.0554132999","-1094392.0554132999","0","143323.47199999998","-143323.47199999998","6910359.0039999997","4724157.4245325001","2186201.5794674996"
2003-08-01,"6883796.7719999999","3212633.4139999999","3671163.358","0","176107.52499999999","-176107.52499999999","0","1122187.2209999999","-1122187.2209999999","0","137440.91","-137440.91","6883796.7719999999","4648369.07","2235427.7019999996"
2003-09-01,"6803152.3669999996","3413011.3849999998","3390140.9819999998","0","191044.14499999999","-191044.14499999999","0","1146842.253","-1146842.253","0","138678.93399999998","-138678.93399999998","6803152.3669999996","4889576.7170000002","1913575.65"
2003-10-01,"6988649.3890000004","3092179.3120000004","3896470.077","0","174127.236","-174127.236","0","1204263.612","-1204263.612","0","130453.37800000001","-130453.37800000001","6988649.3890000004","4601023.5379999997","2387625.8510000007"
2003-11-01,"7244270.0870000003","3167190.5580000002","4077079.5290000001","0","168277.02800000002","-168277.02800000002","0","1312201.388","-1312201.388","0","127062.197","-127062.197","7244270.0870000003","4774731.1710000001","2469538.9160000002"
2003-12-01,"7252574.79","3491023.557","3761551.233","0","185454.73300000001","-185454.73300000001","0","1194276.0460000001","-1194276.0460000001","0","119364.996","-119364.996","7252574.79","4990119.3320000004","2262455.4579999996"
2004-01-01,"7294253.557","3274752.6710000001","4019500.8859999999","0","188506.99","-188506.99","0","1260087.987","-1260087.987","0","111830.868","-111830.868","7294253.557","4835178.5159999998","2459075.0410000002"
2004-02-01,"7392501.9129999997","3306222.6340000001","4086279.2789999996","0","213783.946","-213783.946","0","1291744.9129999999","-1291744.9129999999","0","119785.28200000001","-119785.28200000001","7392501.9129999997","4931536.7749999994","2460965.1380000003"
2004-03-01,"7332545.0269999998","3562734.679","3769810.3479999998","0","242161.87400000001","-242161.87400000001","0","1380889.4890000001","-1380889.4890000001","0","120229.80899999999","-120229.80899999999","7332545.0269999998","5306015.8509999998","2026529.176"
2004-04-01,"7688119.4000000004","3567204.8250000002","4120914.5750000002","0","261928.079","-261928.079","0","1393308.602","-1393308.602","0","121628.254","-121628.254","7688119.4000000004","5344069.76","2344049.64"
2004-05-01,"7706146.4809999997","3386349.4849999999","4319796.9959999993","0","334234.45400000003","-334234.45400000003","0","1497462.845","-1497462.845","0","165386.55799999999","-165386.55799999999","7706146.4809999997","5383433.3420000002","2322713.1389999995"
2004-06-01,"7897110.0659999996","3737706.51","4159403.5559999994","0","346872.717","-346872.717","0","1495531.963","-1495531.963","0","167447.83100000001","-167447.83100000001","7897110.0659999996","5747559.0210000006","2149551.044999999"
2004-07-01,"7845280.7889999999","3461151.3530000001","4384129.4359999998","0","356196.25","-356196.25","0","1539734.4279999998","-1539734.4279999998","0","162373.54500000001","-162373.54500000001","7845280.7889999999","5519455.5759999994","2325825.2130000005"
2004-08-01,"8037146.7929999996","3455461.13","4581685.6629999997","0","360649.11100000003","-360649.11100000003","0","1651274.618","-1651274.618","0","164454.04","-164454.04","8037146.7929999996","5631838.8990000002","2405307.8939999994"
2004-09-01,"7881821.54","3898756.4990000003","3983065.0409999997","0","326972.647","-326972.647","0","1598011.4809999999","-1598011.4809999999","0","169675.554","-169675.554","7881821.54","5993416.1809999999","1888405.3590000002"
2004-10-01,"7809418.3080000002","3886094.4180000001","3923323.89","0","341435.913","-341435.913","0","1657018.8969999999","-1657018.8969999999","0","137604.728","-137604.728","7809418.3080000002","6022153.9560000002","1787264.352"
2004-11-01,"7737004.6270000003","4201852.0410000002","3535152.5860000001","0","355247.82199999999","-355247.82199999999","0","1642001.9170000001","-1642001.9170000001","0","146636.908","-146636.908","7737004.6270000003","6345738.6880000001","1391265.9390000002"
2004-12-01,"7865811.2659999998","4009373.645","3856437.6209999998","0","296846.31399999995","-296846.31399999995","0","1514055.5730000001","-1514055.5730000001","0","140504.74100000001","-140504.74100000001","7865811.2659999998","5960780.273","1905030.9929999998"
2005-01-01,"7739820.0789999999","3609444.719","4130375.36","0","309788.40600000002","-309788.40600000002","0","1519928.6669999999","-1519928.6669999999","0","151529.23300000001","-151529.23300000001","7739820.0789999999","5590691.0249999994","2149129.0540000005"
2005-02-01,"7850747.0214137994","3605018.1946751997","4245728.8267385997","0","333025.33590359997","-333025.33590359997","0","1624781.7280559998","-1624781.7280559998","0","149766.2962446","-149766.2962446","7850747.0214137994","5712591.554879399","2138155.4665344004"
2005-03-01,"7428628.385268","3641859.6556424","3786768.7296255999","0","355099.35587480001","-355099.35587480001","0","1738550.7770703998","-1738550.7770703998","0","98463.112718400007","-98463.112718400007","7428628.385268","5833972.9013059996","1594655.4839620003"
2005-04-01,"7701675.1242388012","3955046.8417643998","3746628.2824744014","0","336139.21541479998","-336139.21541479998","0","1769625.4126567999","-1769625.4126567999","0","108599.45722319999","-108599.45722319999","7701675.1242388012","6169410.9270591997","1532264.1971796015"
2005-05-01,"7613348.9498908008","3821185.0809904002","3792163.8689004006","0","385261.53774479998","-385261.53774479998","0","1878062.0575579999","-1878062.0575579999","0","107571.49351640001","-107571.49351640001","7613348.9498908008","6192080.1698096003","1421268.7800812004"
2005-06-01,"7822369.6498398259","4208851.3839886822","3613518.2658511437","0","388201.45936480002","-388201.45936480002","0","1917381.4527867998","-1917381.4527867998","0","113112.15028960002","-113112.15028960002","7822369.6498398259","6627546.4464298813","1194823.2034099447"
2005-07-01,"7736475.1400209898","4092015.6512186634","3644459.4888023264","0","400859.31025799998","-400859.31025799998","0","2169752.4809394996","-2169752.4809394996","0","114965.88373750001","-114965.88373750001","7736475.1400209898","6777593.326153663","958881.81386732683"
2005-08-01,"7458832.9553848673","3795917.00174993","3662915.9536349373","0","397223.83163679997","-397223.83163679997","0","2446521.1385697001","-2446521.1385697001","0","121310.0325549","-121310.0325549","7458832.9553848673","6760972.0045113303","697860.95087353699"
2005-09-01,"7504414.5232054666","3620923.1827074555","3883491.3404980111","0","401292.55389120005","-401292.55389120005","0","2672230.0027490002","-2672230.0027490002","0","125123.89528","-125123.89528","7504414.5232054666","6819569.6346276551","684844.88857781142"
2005-10-01,"7547775.4588146219","3793633.8691465533","3754141.5896680686","0","391676.14912999998","-391676.14912999998","0","2970846.2816900006","-2970846.2816900006","0","130668.77476999999","-130668.77476999999","7547775.4588146219","7286825.0747365532","260950.38407806866"
2005-11-01,"7442374.4876842704","3668336.5346905077","3774037.9529937627","0","398294.76385000005","-398294.76385000005","0","3097091.7986599994","-3097091.7986599994","0","122243.97025","-122243.97025","7442374.4876842704","7285967.0674505075","156407.42023376282"
2005-12-01,"8025201.6126792217","3833586.9521071315","4191614.6605720902","0","306019.35006999999","-306019.35006999999","0","3092647.1404400002","-3092647.1404400002","0","104856.89195","-104856.89195","8025201.6126792217","7337110.3345671315","688091.27811209019"
2006-01-01,"6201962.2581915269","4080404.1757721314","2121558.0824193954","0","365241.73520000005","-365241.73520000005","0","3283402.9708699998","-3283402.9708699998","0","121600.86413","-121600.86413","6201962.2581915269","7850649.7459721304","-1648687.4877806036"
2006-02-01,"6193046.8607636504","4189289.3922884753","2003757.4684751751","0","365556.38104439998","-365556.38104439998","0","3378024.9079854996","-3378024.9079854996","0","121696.7160517","-121696.7160517","6193046.8607636504","8054567.3973700739","-1861520.5366064236"
2006-03-01,"5986453.274044022","4751266.1664936645","1235187.1075503575","0","393254.98194319999","-393254.98194319999","0","3809858.6757743","-3809858.6757743","0","124623.14937099998","-124623.14937099998","5986453.274044022","9079002.9735821653","-3092549.6995381434"
2006-04-01,"6023753.1478593769","5130057.2348643309","893695.912995046","0","388882.12869759998","-388882.12869759998","0","4183576.9650563998","-4183576.9650563998","0","122470.8155464","-122470.8155464","6023753.1478593769","9824987.1441647317","-3801233.9963053549"
2006-05-01,"6037262.3542690426","5713777.2399637233","323485.11430531926","0","426426.26014759997","-426426.26014759997","0","4510436.1423991993","-4510436.1423991993","0","126392.8134672","-126392.8134672","6037262.3542690426","10777032.455977723","-4739770.1017086804"
2006-06-01,"6080658.6036406849","5960801.8329349458","119856.77070573904","0","469149.28526759997","-469149.28526759997","0","4694937.5272931997","-4694937.5272931997","0","179986.52766560001","-179986.52766560001","6080658.6036406849","11304875.173161346","-5224216.5695206616"
2006-07-01,"6061796.5945467968","6518803.0831072247","-457006.48856042791","0","463804.62953759998","-463804.62953759998","0","4921232.9213920003","-4921232.9213920003","0","194379.04597400004","-194379.04597400004","6061796.5945467968","12098219.680010824","-6036423.0854640268"
2006-08-01,"6101099.3089894084","6896497.0421399493","-795397.73315054085","0","469267.31925199996","-469267.31925199996","0","5246084.7896495005","-5246084.7896495005","0","185899.612999","-185899.612999","6101099.3089894084","12797748.76404045","-6696649.4550510412"
2006-09-01,"6137680.9469542913","6927142.7279265188","-789461.78097222745","0","484007.69709199999","-484007.69709199999","0","5541202.3941425011","-5541202.3941425011","0","709978.45946650009","-709978.45946650009","6137680.9469542913","13662331.27862752","-7524650.3316732291"
2006-10-01,"6163028.1995098209","6842587.0285751047","-679558.82906528376","0","473396.930162","-473396.930162","0","5686921.4852244984","-5686921.4852244984","0","1011714.5445885001","-1011714.5445885001","6163028.1995098209","14014619.988550104","-7851591.7890402833"
2006-11-01,"6189891.9684663899","6875037.0442529591","-685145.07578656916","0","500979.79412199993","-500979.79412199993","0","5467426.5137134995","-5467426.5137134995","0","1015526.4811285001","-1015526.4811285001","6189891.9684663899","13858969.83321696","-7669077.8647505697"
2006-12-01,"6220472.3105081106","5894684.0917011434","325788.21880696714","0","440701.45364079997","-440701.45364079997","0","4732336.2176937005","-4732336.2176937005","0","1299489.4455266998","-1299489.4455266998","6220472.3105081106","12367211.208562344","-6146738.8980542338"
2007-01-01,"6253251.2467825497","6521609.3809227422","-268358.13414019253","0","472199.07390960003","-472199.07390960003","0","4806587.2362414999","-4806587.2362414999","0","1543794.6001907999","-1543794.6001907999","6253251.2467825497","13344190.291264642","-7090939.0444820924"
2007-02-01,"6289791.7734693429","6435949.8902425822","-146158.11677323934","0","521320.65926839999","-521320.65926839999","0","5102096.0549167003","-5102096.0549167003","0","1767390.5060354997","-1767390.5060354997","6289791.7734693429","13826757.110463182","-7536965.3369938387"
2007-03-01,"6044846.1644438067","6564935.6152629983","-520089.45081919152","0","538320.37783839996","-538320.37783839996","0","5304880.4810452992","-5304880.4810452992","0","2010572.8450998999","-2010572.8450998999","6044846.1644438067","14418709.319246598","-8373863.1548027908"
2007-04-01,"6088904.9593812963","7084516.9501285646","-995611.99074726831","0","552365.82307839999","-552365.82307839999","0","5530401.7791250004","-5530401.7791250004","0","2277148.7005251003","-2277148.7005251003","6088904.9593812963","15444433.252857067","-9355528.2934757695"
2007-05-01,"6130084.3602970354","7442637.9531095987","-1312553.5928125633","0","607970.7295872001","-607970.7295872001","0","5770723.1168128001","-5770723.1168128001","0","2344647.0370093002","-2344647.0370093002","6130084.3602970354","16165978.8365189","-10035894.476221865"
2007-06-01,"6173003.6754959794","7408387.5258098943","-1235383.8503139149","0","643936.17689599993","-643936.17689599993","0","5793587.0804284997","-5793587.0804284997","0","1530377.7840084997","-1530377.7840084997","6173003.6754959794","15376288.567142893","-9203284.8916469142"
2007-07-01,"6215513.6124774357","8372979.7347474247","-2157466.122269989","0","659472.7072512001","-659472.7072512001","0","5797379.5478472002","-5797379.5478472002","0","1312759.5368695001","-1312759.5368695001","6215513.6124774357","16142591.526715325","-9927077.9142378904"
2007-08-01,"6258181.3027422996","8375981.9316467121","-2117800.6289044125","0","685825.31458759995","-685825.31458759995","0","6027003.434094999","-6027003.434094999","0","723954.58604909992","-723954.58604909992","6258181.3027422996","15812765.266378412","-9554583.9636361115"
2007-09-01,"6304010.9898823006","8401087.8309224173","-2097076.8410401167","0","709750.5556075999","-709750.5556075999","0","6222732.4719942007","-6222732.4719942007","0","841356.9605688001","-841356.9605688001","6304010.9898823006","16174927.819093019","-9870916.8292107172"
2007-10-01,"6351578.7026582994","8561334.1441105567","-2209755.4414522573","0","734248.46739519993","-734248.46739519993","0","6204325.4929520003","-6204325.4929520003","0","857471.41172459989","-857471.41172459989","6351578.7026582994","16357379.516182356","-10005800.813524056"
2007-11-01,"6401261.7075186996","8521851.208235722","-2120589.5007170225","0","750825.74832279992","-750825.74832279992","0","6348873.7716659997","-6348873.7716659997","0","732768.8953794","-732768.8953794","6401261.7075186996","16354319.623603921","-9953057.9160852209"
2007-12-01,"6510751.0872791996","7556344.501776685","-1045593.4144974854","0","670383.00511919998","-670383.00511919998","0","5703720.5347391004","-5703720.5347391004","0","642106.52095650008","-642106.52095650008","6510751.0872791996","14572554.562591484","-8061803.4753122842"
2008-01-01,"6549662.8647228004","7905302.7053840365","-1355639.8406612361","0","747160.88820679998","-747160.88820679998","0","5778825.881546001","-5778825.881546001","0","683359.00251850008","-683359.00251850008","6549662.8647228004","15114648.477655338","-8564985.6129325368"
2008-02-01,"6582893.6410250003","8405775.4224259239","-1822881.7814009236","0","841522.38949440012","-841522.38949440012","0","6016357.7856403003","-6016357.7856403003","0","740250.20485790004","-740250.20485790004","6582893.6410250003","16003905.802418526","-9421012.1613935269"
