"MES","FBCB01","FBCB02","FBCB03","FBCB04","FBCB05","FBCB06","FBCB07","FBCB08","FBCB09","FBCB10","FBCB11","FBCB12","FBCB13","FBCB14","FBCB15"
2001-11-01,"5030199.4469999997","3962855.5750000002","1067343.8719999995","0","182904.25899999999","-182904.25899999999","0","709494.86","-709494.86","0","481278.82900000003","-481278.82900000003","5030199.4469999997","5336533.523","-306334.07600000035"
2001-12-01,"5436458.3789999997","3448463.6089999997","1987994.77","0","169458.36300000001","-169458.36300000001","0","684827.97100000002","-684827.97100000002","0","480407.72899999999","-480407.72899999999","5436458.3789999997","4783157.6720000003","653300.70699999947"
2002-01-01,"5597572.1270000003","4323249.7529999996","1274322.3740000008","0","172443.09599999999","-172443.09599999999","0","678149.97","-678149.97","0","486488.51899999997","-486488.51899999997","5597572.1270000003","5660331.3379999995","-62759.210999999195"
2002-02-01,"5634881.5710000005","4029069.5839999998","1605811.9870000007","0","177488.13800000001","-177488.13800000001","0","741899.27599999995","-741899.27599999995","0","492438.60799999995","-492438.60799999995","5634881.5710000005","5440895.6059999997","193985.96500000078"
2002-03-01,"5603408.6160000004","3926530.9239999996","1676877.6920000007","0","166888.67300000001","-166888.67300000001","0","714404.69200000004","-714404.69200000004","0","484609.64199999999","-484609.64199999999","5603408.6160000004","5292433.9309999999","310974.68500000052"
2002-04-01,"5635657.5829999996","3798036.0869999998","1837621.4959999998","0","165702.17800000001","-165702.17800000001","0","718236.81699999992","-718236.81699999992","0","472502.56599999999","-472502.56599999999","5635657.5829999996","5154477.6479999991","481179.93500000052"
2002-05-01,"5638004.0539999995","3652769.0389999999","1985235.0149999997","0","165388.372","-165388.372","0","751372.65399999998","-751372.65399999998","0","490567.24599999998","-490567.24599999998","5638004.0539999995","5060097.3109999998","577906.74299999978"
2002-06-01,"5692919.733","3535358.6840000004","2157561.0489999996","0","141171.72500000001","-141171.72500000001","0","711203.99399999995","-711203.99399999995","0","470219.73499999999","-470219.73499999999","5692919.733","4857954.1380000012","834965.59499999881"
2002-07-01,"5440189.6210000003","4151519.6469999999","1288669.9740000004","0","142876.97200000001","-142876.97200000001","0","742875.527","-742875.527","0","493505.05099999998","-493505.05099999998","5440189.6210000003","5530777.1969999997","-90587.575999999419"
2002-08-01,"5955426.415","4085469.3159999996","1869957.0990000004","0","122836.242","-122836.242","0","834048.43800000008","-834048.43800000008","0","487574.63899999997","-487574.63899999997","5955426.415","5529928.6349999998","425497.78"
2002-09-01,"6004584.6629999997","3673639.3059999999","2330945.3569999998","0","139266.913","-139266.913","0","853268.01800000004","-853268.01800000004","0","478494.82199999999","-478494.82199999999","6004584.6629999997","5144669.0589999994","859915.60400000028"
2002-10-01,"6404623.7709999997","3773403.44","2631220.3309999993","0","135583.64000000001","-135583.64000000001","0","881029.20399999991","-881029.20399999991","0","470392.11300000001","-470392.11300000001","6404623.7709999997","5260408.3969999999","1144215.3739999998"
2002-11-01,"6442399.5729999999","3567731.4720000001","2874668.1009999998","0","137608.87599999999","-137608.87599999999","0","935310.12899999996","-935310.12899999996","0","229729.95599999998","-229729.95599999998","6442399.5729999999","4870380.4330000002","1572019.14"
2002-12-01,"6492060.0839999998","3134603.27","3357456.8139999998","0","108263.37400000001","-108263.37400000001","0","898438.47500000009","-898438.47500000009","0","160618.285","-160618.285","6492060.0839999998","4301923.4040000001","2190136.6800000002"
