"MES","AMOD01","AMOD02","AMOD03","AMOD04","AMOD05","AMOD06","AMOD07","AMOD08","AMOD09","AMOD10","AMOD11","AMOD12","AMOD13","AMOD14","AMOD15","AMOD16","AMOD17","AMOD18","AMOD19","AMOD20","AMOD21","AMOD22","AMOD23","AMOD24","AMOD25","AMOD26","AMOD27","AMOD28","AMOD29","AMOD30","AMOD31","AMOD32","AMOD33","AMOD34","AMOD35","AMOD36","AMOD37"
2009-05-01,"63031441.013352484","63148085.056351885","-116644.0429994","-14637993.159085054","-5568328.2267336547","10984659.838309499","-16552988.065043153","-16200061.533460736","-133800.74171460001","-219125.78986781737","-1190689.9956632","0","-1190689.9956632","-1190346.53107","-343.46459319999997","-6335290.0207382003","0","-6335290.0207382003","-6281074.5922002001","-54215.428538","-1543684.9159500001","0","-1543684.9159500001","-1543610.6643308999","-74.251619099999999","38033694.559465416","28722053.845599931","190799.98857548786","8950325.5703400001","170515.15495","-18601068.040406957","0","-344512.03221170005","-2983085.2528996048","-1608065.6196642593","-13665405.135631394","67826074.373325899"
2009-06-01,"63841350.72766909","63978686.00831829","-137335.28064919999","-14089213.322225574","-5412242.9563489743","10962488.462460158","-16374731.418809133","-16054676.696594002","-119000.43812009999","-201054.2840950301","-1266331.7835432","0","-1266331.7835432","-1265988.31895","-343.46459319999997","-6197786.533214299","0","-6197786.533214299","-6145770.0555725992","-52016.477641700003","-1212852.0491191002","0","-1212852.0491191002","-1212777.7975000001","-74.251619099999999","38546761.154157966","29116926.196408894","190784.69789907103","9083832.4535700008","155217.80628000002","-18083941.992251784","0","-345287.40958290006","-2865477.9906342793","-1226056.0162352119","-13647120.575799391","70214956.567349702"
2009-07-01,"64497835.552267224","64628792.987833522","-130957.43556629999","-15017071.838426715","-6464056.0133145154","10963205.96058356","-17427261.973898076","-17139035.385573771","-98760.323382699993","-189466.26494160251","-1326306.3492732001","0","-1326306.3492732001","-1325962.8846800001","-343.46459319999997","-5973923.4431582","0","-5973923.4431582","-5928587.6835642001","-45335.759593999996","-1252786.0326808","0","-1252786.0326808","-1252786.0326808","0","38721555.942845888","29117981.749567509","190759.21343837632","9254451.0636199992","158363.91622000004","-17740916.524548981","0","-346330.24142760009","-2817241.8264820469","-895342.55585887283","-13682001.900780462","70461403.132137418"
2009-08-01,"67113071.098992094","67227188.233724087","-114117.13473200001","-14634655.653358079","-6379373.2863886803","11260274.578912586","-17639647.865301266","-17373966.164009746","-83405.302007000006","-182276.39928451998","-1332881.6286231999","0","-1332881.6286231999","-1332538.1640299999","-343.46459319999997","-5953206.5231774002","0","-5953206.5231774002","-5892786.6238754001","-60419.899301999998","-969194.21516879986","0","-969194.21516879986","-969194.21516879986","0","39001955.038474493","29228411.863177381","189612.41270711494","9419993.484079998","163937.27850999997","-20171225.610248268","0","-346897.58230630006","-2768098.4185881102","-1616498.813337652","-15439730.796016207","71309144.87386024"
2009-09-01,"69292145.86108461","69403676.918633804","-111531.05754919999","-14057951.070669329","-5649176.5344029292","11441730.250682253","-17090906.785085183","-16857638.008956522","-59612.998212099999","-173655.77791656108","-1393820.7785132001","0","-1393820.7785132001","-1393477.3139200001","-343.46459319999997","-5892334.8422965007","0","-5892334.8422965007","-5812799.4261533003","-79535.416143200011","-1122618.9154566999","0","-1122618.9154566999","-1122618.9154566999","0","39538936.644863658","29556455.340087928","189561.44378572554","9637644.4528600015","155275.40813","-20762419.800425876","0","-351951.26158080006","-2714089.7129539088","-1545784.1423492506","-16150594.683541916","74010711.634853065"
2009-10-01,"69891063.933035716","69994281.325341612","-103217.39230590001","-13168147.583834657","-4506553.3740979563","11372501.371682581","-15879054.745780537","-15653940.19024564","-50808.8651121","-174305.69042279824","-1428266.8856132","0","-1428266.8856132","-1427923.42102","-343.46459319999997","-5830944.1116377003","0","-5830944.1116377003","-5752135.7489095004","-78808.362728200009","-1402383.2124858","0","-1402383.2124858","-1393322.2124858","-9061","40141392.851632819","29951091.291444041","189306.59917877853","9845808.0094099995","155186.9516","-21433866.839610346","0","-353156.89614840003","-2618105.0726608173","-1724828.1966035534","-16737776.674197575","75430442.361223549"
2009-11-01,"71125570.58178924","71207685.526784241","-82114.944994999998","-13000936.050181238","-4263600.2072004378","11485246.660591416","-15748846.867791854","-15538317.12140945","-48466.832841899988","-162062.91354050543","-1509197.2609531998","0","-1509197.2609531998","-1508853.7963599998","-343.46459319999997","-5698927.6567889005","0","-5698927.6567889005","-5640827.7541466001","-58099.902642299996","-1529210.9252386999","0","-1529210.9252386999","-1529210.9252386999","0","40526544.139998153","30146688.735923685","188414.6430544641","10035771.285160001","155669.47585999998","-22696739.977149252","0","-357084.56679200003","-2587945.6747646397","-1919780.0845216513","-17831929.65107096","75954438.694456905"
2009-12-01,"70219745.046995446","70332305.800022647","-112560.75302720001","-10068247.397541229","-2321816.2132497281","11703323.46752565","-14025139.680775378","-13847471.66952334","-26606.675822700003","-151061.33542933819","-1448086.2597232002","0","-1448086.2597232002","-1447742.7951300002","-343.46459319999997","-4904529.3951596003","0","-4904529.3951596003","-4861029.7429176001","-43499.652241999996","-1393815.5294087001","0","-1393815.5294087001","-1393815.5294087001","0","41213599.89810311","30637091.061347693","188339.46389541475","10236377.96594","151791.40691999998","-22174113.931186087","0","-358389.99468060001","-2595810.1149486788","-2261011.5209578574","-16958902.300598953","79190983.616371244"
2010-01-01,"70056142.488977537","70158713.635676235","-102571.14669870002","-10363421.715427412","-2660480.6608613115","11437998.65588568","-14098479.316746991","-13886368.924300211","-64179.504306599993","-147930.8881401805","-1549651.2745132002","0","-1549651.2745132002","-1549307.8099200001","-343.46459319999997","-4813349.1901158998","0","-4813349.1901158998","-4763525.0355447","-49824.154571200001","-1339940.5899369998","0","-1339940.5899369998","-1339940.5899369998","0","41055645.262021028","30430721.534537695","188263.01051333064","10282592.60771","154068.10926","-21382846.946317013","0","-359883.3944779","-2528551.7758236974","-2028635.3316220623","-16465776.444393354","79365519.089254141"
2010-02-01,"69257566.838111758","69389210.845857561","-131644.00774580002","-10191607.19683652","-1861049.5229933206","11726078.392611198","-13587127.915604519","-13363913.990330113","-76847.884070400003","-146366.04120400618","-1557652.9534632","0","-1557652.9534632","-1557309.48887","-343.46459319999997","-4924228.3025193","0","-4924228.3025193","-4858703.8433614001","-65524.459157899997","-1848676.4178606998","0","-1848676.4178606998","-1848676.4178606998","0","41238712.600309163","30510741.88960243","188020.90813673101","10355441.199440001","184508.60313","-20742470.658177532","0","-360704.48288259999","-2493419.2383777522","-1905713.1527539343","-15982633.784163244","79562201.583406866"
