"MES","BPCC01","BPCC02","BPCC03","BPCC04","BPCC05","BPCC06","BPCC07","BPCC08","BPCC09","BPCC10"
2011-09-01,"4843948.8365500001",7104910.79642,1838410.09246,232953.3624,187527.86879,210876.24483,262099.84005,112828.28544,24146.73834,14817702.06528
2011-10-01,"5023621.1501199994",6921785.01134,2055208.73735,208263.96685,184181.38351,216061.09918,254805.02174,114570.94546,24962.36545,15003459.681
2011-11-01,"5594556.3197499998",6871927.01537,2428301.35313,219719.41918,192838.13986,229650.66171,302791.59998,97521.25042,16828.11609,15954133.87549
2011-12-01,"5548223.60243",7099631.64361,2464768.29483,218115.56612,234605.10993,245464.17655,375719.32044,100382.48158,22341.63615,16309251.83164
2012-01-01,"5600513.2153200004",7289143.06724,2164024.41806,198581.39295,225744.41991,227076.50554,371121.31014,104314.98132,18979.94861,16199499.25909
2012-02-01,"6973586.2761899987",5989715.51036,3715125.65047,732789.74842,614068.18449,747958.6277,911285.68275,267303.86249,95316.256,20047149.79887
2012-03-01,"5579557.6649900004",8075754.9111,2206651.44994,192268.90173,215364.50367,204986.31121,329043.1157,91556.32401,21701.7302,16916884.91255
2012-04-01,"5689157.8388200002",8161973.50872,1980922.36349,192428.9563,214781.37055,223615.63514,339792.85018,88129.93845,19403.22928,16910205.69093
2012-05-01,"5561255.1501300009",8952601.57569,1997186.54172,206840.4755,205729.39587,213972.4869,324595.12188,91689.92253,16810.43196,17570681.10218
2012-06-01,"5310370.4418199994",9564160.12744,1900831.07701,231737.93056,200880.14874,219981.52899,313040.1006,119775.67087,15898.65283,17876675.67886
2012-07-01,"5064940.6573000001",8721310.58886,1904610.55604,216603.04914,194421.5528,230614.36528,276669.60824,110667.70838,19554.48165,16739392.56769
2012-08-01,"5625818.4889900004",8881712.92484,1925953.08702,260410.60814,203296.64733,226375.35267,260674.50591,110065.68534,18936.19429,17513243.49453
2012-09-01,"5412257.1527199997",9224072.36273,1949237.90644,241915.9975,216154.48476,227370.23923,299966.29955,116212.67454,22054.48415,17709241.60162
2012-10-01,"5597227.2606199998",9020334.5028,2093768.45202,307730.82246,219815.24066,230750.12052,344970.61842,129178.76628,18507.0196,17962282.80338
2012-11-01,"5915083.35207",8323168.84255,2272294.6109,295913.18855,233801.97373,231583.08735,345897.09089,110263.35907,19683.29801,17747688.80312
2012-12-01,"6617082.8789900001",8392576.73155,2134136.59539,282546.61542,226125.41267,235744.78339,426714.98331,97425.47963,32719.30601,18445072.78636
2013-01-01,"6159621.6131500015",8413440.93268,2160019.29411,289075.36439,220448.34385,233266.14375,386799.1157,99735.48017,28308.56739,17990714.85519
2013-02-01,"6345774.3940599998",8722585.37239,2280814.99769,278871.46677,231958.60414,224191.6462,373881.36148,102857.39805,22599.49073,18583534.73151
2013-03-01,"6262320.5397554012",8930957.55376,2275089.38623,267740.647,187510.01741,205994.80632,352324.35269,95598.43111,24057.5647,18601593.2989754
2013-04-01,"5948180.4828654006",8844638.99319,2084413.26729,250905.59727,204737.22636,203140.89158,339415.38727,91553.18151,22777.39515,17989762.4224854
2013-05-01,"5811186.9421027731",8915035.34835,2164276.80952,240349.82111,180384.53158,198832.32731,349987.09668,90580.48894,20871.03339,17971504.3989828
2013-06-01,"6591147.9203276997",8912021.435,2053688.57914,243783.38843,211743.62766,239296.13407,343943.02428,94821.45436,24784.28204,18715229.8453077
2013-07-01,"6481357.5614177007",8766536.85116,2103573.39332,232689.50346,194757.4014,233742.82037,330515.354,93550.35523,22929.8969,18459653.1372577
2013-08-01,"6617129.9804777009",8150174.73109,2379406.1359,230013.35938,218909.36965,235435.77195,328958.29517,100776.56806,27195.15347,18287999.3651477
2013-09-01,"6755735.4541076999",8678949.27249,2334930.23052,223839.37896,220513.4454,256615.06221,350885.04216,98483.3206,21242.69217,18941193.8986177
2013-10-01,"7300517.6351577006",8774835.05999,2385150.60244,244732.44384,240459.09257,271510.23435,362076.73662,98598.56448,26476.10556,19704356.4750077
