"MES","SEPV01","SEPV02","SEPV03","SEPV04","SEPV05","SEPV06","SEPV07","SEPV08","SEPV09","SEPV10","SEPV11"
2005-01-01,"1073.547","1144.1065699999999","651.52920000000006","1401.01082","2420.5184100000001","197.99605","2676.9778799999999","17457.15263","7581.8216200000006","14374.542489999985","48979.202669999984"
2005-02-01,"352.66572000000002","992.65204000000006","1024.9788000000001","1336.03251","2245.19389","335.47539","2541.8968999999997","19151.49151","9321.3417100000006","14102.560630000007","51404.289100000009"
2005-03-01,"297.25916999999998","848.55399999999997","3523.5460000000003","1980.4592700000001","2993.9919","188.34138000000002","4071.7080700000006","11452.962030000002","4652.8895599999996","16216.637390000014","46226.348770000019"
2005-04-01,"79.996639999999999","466.28079000000002","5827.07","1402.6344300000001","2654.3590200000003","322.05473999999998","3827.1814199999999","13814.968790000003","8405.3052500000013","15410.757520000006","52210.608600000014"
2005-05-01,"1109.9525000000001","399.75060999999999","7095.3634999999995","1662.9053699999999","2453.4904900000001","194.93138999999999","2634.8765899999999","28982.48143","8269.0873200000005","15466.299589999988","68269.138789999983"
2005-06-01,"1200.2474999999999","370.08118000000002","8329.755149999999","1589.8573799999999","2884.3106899999998","482.73127999999991","2732.9275300000004","17568.458590000002","4162.4473099999996","16621.934369999981","55942.75097999999"
2005-07-01,"2399.2775000000001","1444.09816","11798.961010000001","1350.37194","3008.29144","778.51780999999994","4202.6047900000003","19683.695039999999","11402.364389999999","22988.00281000002","79056.184890000019"
2005-08-01,"2953.2416499999999","1302.5793200000001","7460.3923000000004","1481.0586599999999","3343.3637599999997","1157.34467","6474.9528399999999","18634.522240000002","5145.6631199999993","22926.529350000012","70879.647910000014"
2005-09-01,"4113.5999899999997","1213.3762300000001","7251.3834999999999","1422.9933799999999","3898.22685","1295.0000199999999","7777.3032000000003","10290.481759999999","5180.7275300000001","27061.637360000008","69504.729820000008"
2005-10-01,"2231.2276000000002","1132.4022299999999","5370.3200099999995","1587.90861","3837.5094599999998","885.16734000000008","4661.7097599999997","11470.99756","3244.2154300000002","24929.513596000019","59350.971596000018"
2005-11-01,"1392.7081599999999","898.32247999999993","3558.3127299999996","1982.1667299999999","5201.6869399999996","513.74080000000004","3896.6379000000006","7825.6537900000003","3380.1648299999997","23455.428290000003","52104.822650000002"
2005-12-01,"1072.1692","1063.52252","4465.4928799999998","1985.5727899999999","4834.51188","490.72010999999998","3775.1907300000003","13581.286810000001","3142.2206000000001","20810.460799999993","55221.148319999993"
2006-01-01,"336.209","1079.7597600000001","2267.0548800000001","1827.9307499999995","2493.2348999999999","169.11565000000002","2327.6246000000001","12816.04999","2719.3181100000006","23774.030419999992","49810.328059999993"
2006-02-01,"138.7672","527.48933999999997","1952.6070900000002","2239.0338000000002","2936.2239800000007","93.52216","3337.1704199999999","9224.3861500000003","2213.39345","20161.79981","42824.393400000001"
