"MES","SEPV01","SEPV02","SEPV03","SEPV04","SEPV05","SEPV06","SEPV07","SEPV08","SEPV09","SEPV10","SEPV11"
2010-12-01,"48.989199999999997","1909.8895799999998","3760.2889699999996","2424.9418799999999","7982.8149700000013","346.02257999999995","724.28355000000033","8067.0113999999994","11018.147390000002","53843.713629999998","90126.103149999995"
2011-01-01,"39.9544","1160.06194","4613.5474799999993","2133.6250999999997","5649.5799100000004","241.91128000000003","1701.0521899999999","28448.204069999996","8824.9306199999992","29994.922269999995","82807.78925999999"
2011-02-01,"39.9544","970.85742999999991","6339.3802000000014","2099.6390199999996","5494.4203000000016","129.26643000000004","1366.01315","6545.5876899999994","2375.3469300000002","32481.131179999989","57841.59672999999"
2011-03-01,,"416.19445999999999","6621.0472399999999","3905.2685799999999","6317.8040300000011","122.91927999999992","2141.8494000000001","8568.5409500000005","9355.7027299999991","34780.307990000016","72229.634660000011"
2011-04-01,,"111.3","11977.662840000001","2802.5896499999999","5346.3420400000005","183.36111000000005","21.781310000000289","10386.004990000001","16232.932070000001","31510.681689999998","78572.655700000003"
2011-05-01,"38.014400000000002","303.17528000000004","13572.999159999999","3757.787710000001","5178.2277199999999","102.58603000000004","1925.4594400000001","37103.268350000006","24050.942870000003","28991.495490000016","115023.95645000001"
2011-06-01,"38.014400000000002","2332.4683100000002","14395.895360000002","2973.6496100000004","4918.25137","272.56256999999982","1578.2964399999998","45651.521939999999","32727.0651","30332.880719999986","135220.60582"
2011-07-01,"21.582000000000001","2754.2341700000006","12778.658200000002","3722.2354099999998","2104.1786599999996","402.52831999999995","1492.9267","43002.749359999994","26644.365289999998","46446.494699999996","139369.95280999999"
2011-08-01,"123.10780000000001","2960.8405200000002","16310.299849999998","3979.5904300000016","4983.141230000002","589.7265500000002","3684.6468000000004","33257.170379999996","32465.156160000002","51619.224750000008","149972.90447000001"
2011-09-01,"205.63939999999999","3564.8767599999996","18130.954980000002","3334.9095399999992","5033.2514800000017","447.35771000000068","1818.753899999999","46524.424779999994","48513.483709999993","59284.94233000002","186858.59459000002"
2011-10-01,"167.8314","4338.4649800000007","14699.12636","2834.6700000000005","4338.8105100000012","522.06406999999956","3343.0338399999996","42186.362370000003","31740.183080000003","48580.519150000022","152751.06576000003"
2011-11-01,"98.8934","2986.9302900000007","11577.483629999999","2576.7624599999999","4716.0205099999985","413.32969999999972","2720.74755","27024.049619999998","13840.760360000002","46818.346199999985","112773.32371999999"
2011-12-01,"73.355399999999989","4254.0413799999997","4422.5957200000003","3288.5642199999998","5862.5980499999996","447.10027999999983","1304.2338599999998","36899.669070000004","15900.9972","57631.75456999999","130084.90974999999"
2012-01-01,"813.26089999999999","3449.50857","6745.0609999999997","3689.4788000000008","3809.0236100000002","277.61036000000001","1195.6176200000002","12622.507850000002","13207.555610000001","33857.633790000007","79667.25811000001"
2012-02-01,"1970.0638999999999","1815.1305300000001","7058.37392","3302.9287899999999","5003.3689400000003","251.7182699999999","1088.7830899999999","21857.721520000003","17936.01081","31921.214449999992","92205.31422"
2012-03-01,"2103.8825999999995","1105.3459499999999","9702.3014999999996","3668.4192900000003","4864.5738600000013","130.13974999999999","2146.6668599999994","34596.261319999998","21479.556629999999","43775.514080000023","123572.66184000002"
