"MES","SIBC01","SIBC02","SIBC03","SIBC04","SIBC05","SIBC06","SIBC07","SIBC08","SIBC09","SIBC10","SIBC11"
2004-07-01,"859.60899999999992","965.37699999999995","353.411","560.47400000000005","38.576999999999998","12.914999999999999",,"105.76799999999999","-160.102","269.2","-3.33"
2004-08-01,"897.95","1008.037","371.94","583.15300000000002","40.005000000000003","12.939",,"110.08699999999999","-160.102","269.22399999999999","0.96499999999999997"
2004-09-01,"950.60599999999988","1096.3989999999999","376.529","666.4","40.436999999999998","13.032999999999999",,"145.79300000000001","-160.102","306.00700000000001","-0.112"
2004-10-01,"994.75700741000014","1140.1720074100001","386.95800740999999","698.95500000000004","41.002000000000002","13.257",,"145.41499999999996","-160.102","306.79199999999997","-1.2749999999999999"
2004-11-01,"1059.4110000000001","1213.741","413.87799999999999","745.49900000000002","40.771000000000001","13.593",,"154.32999999999998","-160.102","313.92599999999999","0.50600000000000001"
2004-12-01,"1123.3","1271.7259999999999","399.387","817.34799999999996","41.253999999999998","13.737",,"148.42600000000002","-160.102","306.99700000000001","1.5309999999999999"
2005-01-01,"1016.1330000000003","1158.1740000000002","388.97300000000001","715.09100000000001","40.612000000000002","13.497999999999999",,"142.041","-160.102","302.19499999999999","-5.1999999999999998E-2"
2005-02-01,"1045.6950000000002","1188.4690000000001","396.63600000000002","738.95899999999995","39.344000000000001","13.53",,"142.774","-160.102","301.94499999999999","0.93100000000000005"
2005-03-01,"1035.43623129","1170.89820259","389.00916493","729.48409236999998","39.015144040000003","13.38980125",,"135.46197129999996","-160.10197728","294.31767731999997","1.2462712600000001"
2005-04-01,"1102.261","1247.2370000000001","392.899","798.60799999999995","42.296999999999997","13.433",,"144.976","-161.11699999999999","305.392","0.70099999999999996"
2005-05-01,"1094.1760000000002","1232.4430000000002","381.49299999999999","797.697","40.072000000000003","13.180999999999999",,"138.267","-161.11699999999999","298.81099999999998","0.57299999999999995"
2005-06-01,"1162.951","1286.7909999999999","398.613","835.67499999999995","39.552999999999997","12.95",,"123.84","-161.11699999999999","286.505","-1.548"
2005-07-01,"1247.7269999999999","1364.9189999999999","390.31099999999998","922.34400000000005","39.393999999999998","12.87",,"117.19200000000002","-161.11699999999999","277.59100000000001","0.71799999999999997"
2005-08-01,"1337.63","1454","393.44299999999998","1009.603","37.996000000000002","12.958",,"116.37","-161.11699999999999","276.76","0.72699999999999998"
2005-09-01,"1390.0678617800002","1498.1337485600002","431.37721348000002","1016.05059876","37.832038820000001","12.8738975",,"108.06588678000001","-161.11718841999999","270.70691323","-1.5238380300000001"
