"MES","BPCR01","BPCR02","BPCR03","BPCR04","BPCR05","BPCR06","BPCR07","BPCR08","BPCR09","BPCR10"
2011-10-01,"13876864.404396746",18878728.70018,7344572.41143,993469.64474,741657.09019,1621795.16292,1539116.29682,829254.17608,310313.37584,46135771.2625967
2011-11-01,"14156386.791980153",19034020.19037,7458079.27159,1005124.41872,762273.70055,1660706.60128,1576912.95092,855300.5398,322673.59036,46831478.0555702
2011-12-01,"14402183.220280154",19535686.28288,7561727.79331,1023538.96137,783287.64043,1684159.50536,1617726.88173,898797.75853,335882.68879,47842990.7326802
2012-01-01,"14430002.853934396",19443275.07158,7627755.66303,1074098.34898,806355.02659,1657257.28047,1624379.57336,903511.54241,338986.25695,47905621.6173044
2012-02-01,"14514379.590614395",19291221.65372,7710637.05448,1097227.70213,821021.69476,1674614.51486,1648391.18067,946724.99288,345963.90735,48050182.2914644
2012-03-01,"14726618.102481065",19456353.62419,7800422.5884,1104257.69406,839909.79488,1702800.53784,1679417.39704,990501.81519,353756.64834,48654038.2024211
2012-04-01,"14837549.297961062",20258615.35849,7997582.99194,1131808.09205,864133.85904,1722760.5935,1703771.68848,1010522.68109,361908.89611,49888653.4586611
2012-05-01,"15182467.614439851",20512264.74114,8226842.5923,1169961.40054,889711.5279,1764041.30862,1745908.32036,1038253.51316,376309.85843,50905760.8768898
2012-06-01,"15347396.889569849",20880862.99938,8345194.4129,1207406.40651,909461.52719,1804189.40283,1785591.40484,1073012.90465,384912.00804,51738027.9559099
2012-07-01,"15667524.418779852",21157308.02468,8528045.74028,1231177.53334,940512.0903,1851760.84031,1826018.37506,1083215.48769,394412.47268,52679974.9831199
2012-08-01,"15850797.659769852",21579559.19867,8704001.61453,1247403.01494,963762.58771,1899410.36331,1872026.07253,1096817.14369,414578.72913,53628356.3842799
2012-09-01,"16008393.990518034",21574265.93107,8784139.65156,1258975.09626,984575.62392,1954787.95505,1904949.5162,1109638.43254,426115.74834,54005841.945458
2012-10-01,"16311017.277745914",21727056.25505,8951541.02373,1326648.59889,1015149.29954,1989135.40248,1957192.43662,1138506.14743,443074.39735,54859320.8388359
2012-11-01,"16595320.779341366",21955924.3279,9073066.61488,1349161.04815,1034793.47219,2018588.44877,1993846.17124,1148837.75612,457835.34337,55627373.9619614
2012-12-01,"16974846.378291972",22058513.81881,9094458.67018,1346370.12864,1058071.02066,2056937.31304,2023832.24742,1168930.54692,468654.57084,56250614.694802
2013-01-01,"17393213.865827426",22413695.26808,9215626.01767,1422922.16918,1080133.65387,2113244.7453,2107733.68426,1196265.79145,479976.01398,57422811.2096174
2013-02-01,"17563022.840112884",22487129.42528,9361870.07481,1437116.00105,1088044.6389,2146627.53944,2143942.31697,1222348.55498,492059.42756,57942160.8191029
2013-03-01,"17802434.200593181",22406755.40874,9485920.38396,1455728.68782,1107806.75194,2187751.56004,2185444.26436,1258551.34391,500410.27923,58390802.8805932
2013-04-01,"18197675.292352606",23112866.40166,9862589.71027,1522124.24389,1133795.99827,2257796.8652,2242253.63411,1301683.49105,517094.7258,60147880.3626026
2013-05-01,"18574466.402577683",23807370.29497,10043732.09643,1547518.87239,1157113.77363,2307861.55833,2293495.04871,1328192.65981,538691.69584,61598442.4026877
2013-06-01,"18855636.929709442",24043267.77816,10233425.06825,1571435.98367,1198152.95268,2365768.5817,2351139.22252,1351904.38777,557233.5349,62527964.4393594
