"MES","BCSA01","BCSA02","BCSA03","BCSA04","BCSA05","BCSA06","BCSA07","BCSA08","BCSA09","BCSA10","BCSA11","BCSA12","BCSA13","BCSA14"
2007-06-01,"0","0","0","0","10476.305758683731","104495.30530067641","104495.30530067641","0","0","104495.30530067641","0","0","186831.10308412064","301802.71414348076"
2007-07-01,"0","0","0","0","10355.336106032912","103288.70639756855","103288.70639756855","0","0","103288.70639756855","0","0","185580.32738576751","299224.369889369"
2007-08-01,"0","0","0","0","10275.372120658132","102491.38976137112","102491.38976137112","0","0","102491.38976137112","0","0","184749.87815313612","297516.64003516536"
2007-09-01,"0","0","0","0","10275.372120658132","102491.38976137112","102491.38976137112","0","0","102491.38976137112","0","0","184749.87815313612","297516.64003516536"
2007-10-01,"0","0","0","0","10208.040859232176","101959.84533723949","101959.84533723949","0","0","101959.84533723949","0","0","183887.76269884067","296055.64889531233"
2007-11-01,"0","0","0","0","10133.88144424132","101428.30091310786","101428.30091310786","0","0","101428.30091310786","0","0","183042.81360651969","294604.99596386886"
2007-12-01,"0","0","0","0","9864.5957038391207","100630.98427691043","100630.98427691043","0","0","100630.98427691043","0","0","180833.16876145685","291328.74874220637"
2008-01-01,"0","0","0","0","9812.4710237659965","100099.4398527788","100099.4398527788","0","0","100099.4398527788","0","0","180289.9929780938","290201.90385463857"
2008-02-01,"0","0","0","0","9623.4176416819028","99567.895428647171","99567.895428647171","0","0","99567.895428647171","0","0","179609.88849271979","288801.20156304887"
2008-03-01,"0","0","0","0","9372.4990859232203","98371.920474351005","98371.920474351005","0","0","98371.920474351005","0","0","177036.55468033574","284780.97424060997"
2008-04-01,"0","0","0","0","9245.8436928702067","97043.059414021933","97043.059414021933","0","0","97043.059414021933","0","0","175698.72491114202","281987.62801803416"
2008-05-01,"0","0","0","0","9131.8538391224865","95847.084459725782","95847.084459725782","0","0","95847.084459725782","0","0","173681.49713166471","278660.435430513"
2008-06-01,"0","0","0","0","9017.8639853747736","94651.109505429617","94651.109505429617","0","0","94651.109505429617","0","0","172477.61487321119","276146.58836401557"
2008-07-01,"0","0","0","0","8916.5396709323613","93588.020657166358","93588.020657166358","0","0","93588.020657166358","0","0","171407.49731014142","273912.05763824016"
2008-08-01,"0","0","0","0","8878.5430530164522","93061.208774168175","93061.208774168175","0","0","93061.208774168175","0","0","168557.66574684216","270497.4175740268"
2008-09-01,"0","0","0","0","8853.2119744058509","92795.802192815347","92795.802192815347","0","0","92795.802192815347","0","0","168291.41606357016","269940.43023079133"
2008-10-01,"0","0","0","0","8827.8808957952497","92530.395611462518","92530.395611462518","0","0","92530.395611462518","0","0","168025.16638029812","269383.44288755592"
2008-11-01,"0","0","0","0","8827.8808957952497","92526.572942358311","92526.572942358311","0","0","92526.572942358311","0","0","168003.42414995076","269357.87798810436"
2008-12-01,"0","0","0","0","8700.4585923217528","92526.572942358311","92526.572942358311","0","0","92526.572942358311","0","0","167728.57954300378","268955.61107768386"
2009-01-01,"0","0","0","0","8700.4585923217528","92526.572942358311","92526.572942358311","0","0","92526.572942358311","0","0","167728.57954300378","268955.61107768386"
2009-02-01,"0","0","0","0","8700.4585923217528","92513.830712010953","92513.830712010953","0","0","92513.830712010953","0","0","165728.57954300378","266942.8688473365"
2009-03-01,"0","0","0","0","8700.4585923217528","92453.942229378416","92453.942229378416","0","0","92453.942229378416","0","0","165028.57954300378","266182.98036470392"
2009-04-01,"0","0","0","0","8699.1206581352817","91179.719194643505","91179.719194643505","0","0","91179.719194643505","0","0","164871.15723953029","264749.99709230906"
2009-05-01,"0","0","0","0","8686.3784277879313","91169.525410365619","91169.525410365619","0","0","91169.525410365619","0","0","163568.51932718675","263424.42316534033"
2009-06-01,"0","0","0","0","8686.3784277879386","91131.298719323575","91131.298719323575","0","0","91131.298719323575","0","0","163253.08618341511","263070.76333052665"
2009-07-01,"0","0","0","0","8662.1681901279735","91080.329797934173","91080.329797934173","0","0","91080.329797934173","0","0","161071.3010617726","260813.79904983475"
2009-08-01,"0","0","0","0","8649.4259597806213","91003.876415850085","91003.876415850085","0","0","91003.876415850085","0","0","154045.81660107791","253699.11897670862"
2009-09-01,"0","0","0","0","8572.9725776965279","90924.874587696511","90924.874587696511","0","0","90924.874587696511","0","0","154030.52592466108","253528.37309005411"
2009-10-01,"0","0","0","0","8012.3144424131624","90415.185373802553","90415.185373802553","0","0","90415.185373802553","0","0","153544.91208694488","251972.4119031606"
2009-11-01,"0","0","0","0","7998.2979890310789","90402.44314345521","90402.44314345521","0","0","90402.44314345521","0","0","150270.48978347139","248671.23091595768"
2009-12-01,"0","0","0","0","7947.3290676416809","89637.909322614258","89637.909322614258","0","0","89637.909322614258","0","0","148282.61747999789","245867.85587025381"
2010-01-01,"0","0","0","0","7921.8446069469837","89637.909322614258","89637.909322614258","0","0","89637.909322614258","0","0","148142.45294617704","245702.20687573828"
2010-02-01,"0","0","0","0","7921.8446069469837","89590.763070329063","89590.763070329063","0","0","89590.763070329063","0","0","148142.45294617704","245655.06062345309"
2010-03-01,"0","0","0","0","7654.2577696526514","89125.147897623392","89125.147897623392","0","0","89125.147897623392","0","0","144306.11881595626","241085.52448323229"
2010-04-01,"0","0","0","0","7654.2577696526514","87850.924862888482","87850.924862888482","0","0","87850.924862888482","0","0","141532.96496980241","237038.14760234355"
2010-05-01,"0","0","0","0","7352.2669104204751","80078.164351005486","80078.164351005486","0","0","80078.164351005486","0","0","132588.5958234095","220019.02708483546"
2010-06-01,"0","0","0","0","7199.3601462522856","76166.299634369279","76166.299634369279","0","0","76166.299634369279","0","0","124558.53436932429","207924.19414994586"
2010-07-01,"0","0","0","0","6817.0932358318096","72343.630530164519","72343.630530164519","0","0","72343.630530164519","0","0","113728.2421460083","192888.96591200464"
2010-08-01,"0","0","0","0","6279.3711151736752","72216.208226691044","72216.208226691044","0","0","72216.208226691044","0","0","105294.24833360498","183789.82767546969"
2010-09-01,"0","0","0","0","6228.4021937842781","72216.208226691044","72216.208226691044","0","0","72216.208226691044","0","0","105345.21757492125","183789.82799539657"
2010-10-01,"0","0","0","0","6151.9488117001829","72088.78592321754","72088.78592321754","0","0","72088.78592321754","0","0","101066.56874775207","179307.30348266981"
2010-11-01,"0","0","0","0","6143.1224862888484","71603.640219378431","71603.640219378431","0","0","71603.640219378431","0","0","97513.176762461197","175259.93946812849"
2010-12-01,"0","0","0","0","6116.5886654478982","71397.882632541136","71397.882632541136","0","0","71397.882632541136","0","0","94119.0436145485","171633.51491253753"
2011-01-01,"0","0","0","0","5989.7148080438765","71334.445703839127","71334.445703839127","0","0","71334.445703839127","0","0","90025.977389428357","167350.13790131136"
2011-02-01,"0","0","0","0","5972.4533820840952","71128.870932358317","71128.870932358317","0","0","71128.870932358317","0","0","87103.116221375123","164204.44053581753"
2011-03-01,"0","0","0","0","5816.4351005484468","70418.725776965264","70418.725776965264","0","0","70418.725776965264","0","0","84395.655418952607","160630.81629646634"
2011-04-01,"0","0","0","0","5530.8939670932359","70316.669652650817","70316.669652650817","0","0","70316.669652650817","0","0","81883.05390256767","157730.61752231172"
2011-05-01,"0","0","0","0","5404.9341864716635","70190.709872029242","70190.709872029242","0","0","70190.709872029242","0","0","79538.906268020015","155134.55032652093"
2011-06-01,"0","0","0","0","5384.511882998172","70076.258866544784","70076.258866544784","0","0","70076.258866544784","0","0","77667.691637634445","153128.46238717739"
2011-07-01,"0","0","0","0","5276.2102376599632","69597.621389396707","69597.621389396707","0","0","69597.621389396707","0","0","74330.118689150157","149203.95031620684"
2011-08-01,"0","0","0","0","5150.6160877513712","68969.650639853746","68969.650639853746","0","0","68969.650639853746","0","0","71477.391073741528","145597.65780134665"
2011-09-01,"0","0","0","0","5025.0219378427792","68957.091224862888","68957.091224862888","0","0","68957.091224862888","0","0","70322.153413778084","144304.26657648376"
2011-10-01,"0","0","0","0","4899.4277879341871","68705.902925045695","68705.902925045695","0","0","68705.902925045695","0","0","67835.721040025295","141441.05175300519"
2011-11-01,"0","0","0","0","4766.8848263254113","68355.071663619747","68355.071663619747","0","0","68355.071663619747","0","0","66012.859486802903","139134.81597674807"
2011-12-01,"0","0","0","0","4390.6508226691049","68104.248994515539","68104.248994515539","0","0","68104.248994515539","0","0","64879.920042246027","137374.81985943066"
2012-01-01,"0","0","0","0","3951.7111517367462","67978.837659963436","67978.837659963436","0","0","67978.837659963436","0","0","63321.6284431776","135252.17725487778"
2012-02-01,"0","0","0","0","3562.9360146252293","67100.958318098725","67100.958318098725","0","0","67100.958318098725","0","0","62071.394892272263","132735.28922499623"
2012-03-01,"0","0","0","0","3312.1133455210243","66097.66764168191","66097.66764168191","0","0","66097.66764168191","0","0","60384.633684113141","129794.41467131607"
2012-04-01,"0","0","0","0","3299.5722120658138","65846.844972577703","65846.844972577703","0","0","65846.844972577703","0","0","58460.638472297709","127607.05565694123"
2012-05-01,"0","0","0","0","3287.0310786106038","65345.199634369288","65345.199634369288","0","0","65345.199634369288","0","0","57028.170917736075","125660.40163071596"
2012-06-01,"0","0","0","0","3161.6197440585015","64843.554296160873","64843.554296160873","0","0","64843.554296160873","0","0","56280.054142283414","124285.22818250279"
2012-07-01,"0","0","0","0","3036.2084095063988","64592.731627056673","64592.731627056673","0","0","64592.731627056673","0","0","54948.292481373312","122577.23251793638"
2012-08-01,"0","0","0","0","2910.7970749542965","64341.908957952466","64341.908957952466","0","0","64341.908957952466","0","0","54314.647595915885","121567.35362882265"
2012-09-01,"0","0","0","0","2659.9744058500919","63965.674954296162","63965.674954296162","0","0","63965.674954296162","0","0","52393.948301452809","119019.59766159907"
2012-10-01,"0","0","0","0","2534.5630712979892","63714.852285191955","63714.852285191955","0","0","63714.852285191955","0","0","51615.420191448051","117864.835547938"
2012-11-01,"0","0","0","0","2409.1517367458869","62711.561608775133","62711.561608775133","0","0","62711.561608775133","0","0","50106.953542388364","115227.66688790938"
2012-12-01,"0","0","0","0","2283.7404021937846","61457.448263254119","61457.448263254119","0","0","61457.448263254119","0","0","49146.014550582477","112887.20321603038"
2013-01-01,"0","0","0","0","2158.3290676416818","60203.334917733089","60203.334917733089","0","0","60203.334917733089","0","0","43370.740241799445","105732.40422717421"
2013-02-01,"0","0","0","0","2032.9177330895795","59952.512248628889","59952.512248628889","0","0","59952.512248628889","0","0","42700.21213179468","104685.64211351314"
2013-03-01,"0","0","0","0","2007.8354661791591","59450.866910420475","59450.866910420475","0","0","59450.866910420475","0","0","42055.389915441454","103514.09229204108"
2013-04-01,"0","0","0","0","1970.2120658135286","59074.632906764171","59074.632906764171","0","0","59074.632906764171","0","0","41372.56769908822","102417.41267166592"
2013-05-01,"0","0","0","0","1468.566727605119","57695.108226691045","57695.108226691045","0","0","57695.108226691045","0","0","40410.805585427152","99574.480539723314"
2013-06-01,"0","0","0","0","1443.4844606946986","56691.817550274223","56691.817550274223","0","0","56691.817550274223","0","0","39720.866140870276","97856.1681518392"
2013-07-01,"0","0","0","0","1255.3674588665449","55688.526873857401","55688.526873857401","0","0","55688.526873857401","0","0","38662.810373611719","95606.704706335673"
2013-08-01,"0","0","0","0","1129.9561243144424","55186.881535649001","55186.881535649001","0","0","55186.881535649001","0","0","37496.343271801059","93813.180931764509"
2013-09-01,"0","0","0","0","879.1334552102378","51424.541499085928","51424.541499085928","0","0","51424.541499085928","0","0","37110.22649634839","89413.901450644553"
2013-10-01,"0","0","0","0","836.49360146252297","51386.918098720293","51386.918098720293","0","0","51386.918098720293","0","0","35971.75939453773","88195.171094720543"
2013-11-01,"0","0","0","0","786.32906764168195","51136.095429616085","51136.095429616085","0","0","51136.095429616085","0","0","35202.820855482816","87125.245352740574"
2013-12-01,"0","0","0","0","0","51043.291042047531","51043.291042047531","0","0","51043.291042047531","0","0","33900.513613850992","84943.804655898522"
2014-01-01,"0","0","0","0","0","49789.177696526509","49789.177696526509","0","0","49789.177696526509","0","0","32616.753311193825","82405.931007720326"
2014-02-01,"0","0","0","0","0","49036.709689213894","49036.709689213894","0","0","49036.709689213894","0","0","31979.81431938793","81016.524008601817"
2014-03-01,"0","0","0","0","0","48785.887020109687","48785.887020109687","0","0","48785.887020109687","0","0","30702.642229427685","79488.529249537372"
2014-04-01,"0","0","0","0","0","47908.007678244976","47908.007678244976","0","0","47908.007678244976","0","0","29290.176485869953","77198.184164114937"
2014-05-01,"0","0","0","0","0","47280.951005484465","47280.951005484465","0","0","47280.951005484465","0","0","28370.744345352512","75651.695350836977"
2014-06-01,"0","0","0","0","0","47255.868738574041","47255.868738574041","0","0","47255.868738574041","0","0","27677.052607028858","74932.921345602896"
2014-07-01,"0","0","0","0","0","47005.046069469834","47005.046069469834","0","0","47005.046069469834","0","0","26995.902002160416","74000.94807163025"
2014-08-01,"0","0","0","0","0","46503.400731261427","46503.400731261427","0","0","46503.400731261427","0","0","25850.72945944919","72354.130190710624"
2014-09-01,"0","0","0","0","0","45249.287385740405","45249.287385740405","0","0","45249.287385740405","0","0","23685.795708578844","68935.083094319241"
2014-10-01,"0","0","0","0","0","45123.876051188301","45123.876051188301","0","0","45123.876051188301","0","0","20610.041552359176","65733.917603547481"
2014-11-01,"0","0","0","0","0","44998.464716636197","44998.464716636197","0","0","44998.464716636197","0","0","19122.329008070184","64120.793724706382"
2014-12-01,"0","0","0","0","0","8754.5890310786108","8754.5890310786108","0","0","8754.5890310786108","0","0","15528.458981899805","24283.048012978415"
2015-01-01,"0","0","0","0","0","8754.5890310786108","8754.5890310786108","0","0","8754.5890310786108","0","0","14505.403667392224","23259.992698470836"
2015-02-01,"0","0","0","0","0","6741.8124837294345","6741.8124837294345","0","0","6741.8124837294345","0","0","13234.819790128899","19976.632273858333"
2015-03-01,"0","0","0","0","0","6741.8124837294345","6741.8124837294345","0","0","6741.8124837294345","0","0","12723.292132875107","19465.104616604542"
2015-04-01,"0","0","0","0","0","6647.7539828153576","6647.7539828153576","0","0","6647.7539828153576","0","0","12343.764022870339","18991.518005685695"
2015-05-01,"0","0","0","0","0","6647.7539828153576","6647.7539828153576","0","0","6647.7539828153576","0","0","10822.357476502808","17470.111459318166"
2015-06-01,"0","0","0","0","0","6647.7539828153576","6647.7539828153576","0","0","6647.7539828153576","0","0","10822.357476502808","17470.111459318166"
2015-07-01,"0","0","0","0","0","6647.7539828153576","6647.7539828153576","0","0","6647.7539828153576","0","0","9551.773599239481","16199.527582054838"
2015-08-01,"0","0","0","0","0","6647.7539828153576","6647.7539828153576","0","0","6647.7539828153576","0","0","8792.7173792299473","15440.471362045304"
2015-09-01,"0","0","0","0","0","6647.7539828153576","6647.7539828153576","0","0","6647.7539828153576","0","0","7386.8398483691362","14034.593831184495"
