"MES","BCBA01","BCBA02","BCBA03","BCBA04","BCBA05","BCBA06","BCBA07","BCBA08","BCBA09","BCBA10","BCBA11","BCBA12","BCBA13","BCBA14","BCBA15","BCBA16","BCBA17","BCBA18"
2002-01-01,"12177573.485000001","12922752.481000001","745178.99600000004","860380.25100000005",,"7175137.1514020003","7175137.1514020003","0","0","0","23903667","23429517",,"221957","252193","0","4231789.6271919999","48348547.514593996"
2002-02-01,"11959418.113","12623202.478","663784.36500000011","869121.41500000004",,"7063157.8395280009","7063157.8395280009","0","0","0","23996130","23530194",,"224197","241739","0","4294495.543664","48182322.911192007"
2002-03-01,"11504074.236","12122809.043","618734.80699999991","875365.103",,"7039590.1156180007","7039590.1156180007","0","0","0","24104227","23632263",,"225796","246168","0","4223936.578458","47747193.033076003"
2002-04-01,"11615826.754999999","12224566.949999999","608740.19500000007","879111.31599999999",,"7001822.3846719991","7001822.3846719991","0","0","0","24164136","23687661",,"226755","249720","0","4369590.8986479994","48030487.354319997"
2002-05-01,"11478000.547999999","12190678.881999999","712678.33399999992","882857.52899999998",,"7002469.0797259994","7002469.0797259994","0","0","0","24056343","23574969",,"227714","253660","0","4198886.3022970017","47618556.459022999"
2002-06-01,"10464446.603","11401299.699999999","936853.09700000007","892847.43",,"7370205.5378699992","7370205.5378699992","0","0","0","24126898","23640608",,"230272","256018","0","4391469.1987549998","47245866.769624993"
2002-07-01,"7629347.8870000001","8889752.9250000007","1260405.0380000002","901588.59400000004",,"7870939.1379960002","7870939.1379960002","0","0","0","23984046","23465113",,"232512","286421","0","4909556.626029999","45295478.245026"
2002-08-01,"8521511.220999999","9749946.4979999997","1228435.277","920838.22",,"8212320.2424240001","8212320.2424240001","0","0","0","23893990","23330968",,"234431","328591","0","4117512.8356320001","45666172.519055992"
2002-09-01,"9083163.6490000002","10256569.899","1173406.25","927162.65800000005",,"8018106.0642140005","8018106.0642140005","0","0","0","23884236","23187280",,"236030","460926","0","3843027.4201779999","45755695.791391999"
2002-10-01,"9335432.6969999988","10375811.800999999","1040379.1040000001","933487.09699999995",,"8265854.9900039993","8265854.9900039993","0","0","0","23942136","23256651",,"237629","447856","0","4049913.1944060009","46526823.978409998"
2002-11-01,"9369698.8529999983","10343310.868999999","973612.01600000006","939811.53500000003",,"8262660.3257939992","8262660.3257939992","0","0","0","24041086","23308384",,"239228","493474","0","3945520.3179830001","46558777.031776994"
2002-12-01,"10172043.586000001","11177273.699000001","1005230.1129999999","946135.973",,"8283654.3695839997","8283654.3695839997","0","0","0","23964720","23228793",,"240827","495100","0","4882544.8922239998","48249098.820808001"
2003-01-01,"10381109.571999999","11062544.814999999","681435.24300000002","952460.41200000001",,"8494690.1183739994","8494690.1183739994","0","0","0","23843580","22998905",,"242425","602250","0","4811209.2933660001","48483049.395740002"
2003-02-01,"9175191.7100000009","9859839.1510000005","684647.44100000011","954990.18700000003","0","8933859.6412899997","8933859.6412899997","0","0","0","23605998","22759581",,"243065","603352","0","4943455.4682150008","47613495.006505005"
2003-03-01,"9133033.4240000006","9797697.1970000006","664663.77300000004","958784.85","0","8845611.6951639988","8845611.6951639988","0","0","0","23796184","22979182",,"244024","572978","0","4710637.1300079999","47444251.099171996"
2003-04-01,"9552135.3859999999","10608884.873","1056749.4870000002","960049.73800000001","0","8803723.3401219994","8803723.3401219994","0","0","0","23804921","23009621",,"244345","550955","0","4791246.7125859996","47912076.176707998"
2003-05-01,"9491207.1620000005","10553863.215","1062656.0530000001","962579.51300000004","0","8839628.8220379986","8839628.8220379986","0","0","0","24114358","23318747",,"244984","550627","0","4814368.5495389989","48222142.046576999"
