"MES","AMAM01","AMAM02","AMAM03","AMAM04","AMAM05","AMAM06","AMAM07","AMAM08"
2007-05-01,"11351250.98755","16205939.731959997","15214367.88937","27625563.993269999","17325863.52073","44200590.362471797","19129168.417119998","46637115.610321715"
2007-06-01,"12028751.29683","17117640.906490002","15972470.045200001","28764412.391890004","18265366.590220001","45593429.950749002","20163445.421460003","48072164.974055119"
2007-07-01,"12428362.95726","17371418.22625","16720568.051449999","29224802.625209998","19254109.472380001","46179447.145187803","21264529.423050001","48713533.520348728"
2007-08-01,"13395866.09097","18084397.481569998","18491093.507970002","30581211.382980004","21118931.214160003","47330269.6564494","23228786.321040004","49866310.479638927"
2007-09-01,"14019232.375990001","18667444.676229998","19385035.4069","31521821.352450002","22127613.046499997","48340190.194519401","24503414.901589997","51118739.115918927"
2007-10-01,"14477424.740750002","18984775.25141","20065311.795890003","32228771.486230005","22964383.293070003","49086735.095823795","25538768.185877535","52017068.936153255"
2007-11-01,"15224452.435589997","19563459.684889998","21123800.946329996","32990156.611669995","24178656.368199997","49722562.477978192","26885414.349209186","52750031.807721712"
2007-12-01,"17097608.989249997","21325531.06309","24061849.963089995","35604903.88284","27364060.51376","52240283.094499804","30075471.131589167","55247491.112881906"
2008-01-01,"16780140.382380001","21414830.758080002","24000178.577520002","36126260.437120005","27585572.818020001","52769017.680064201","30610290.881155573","56087985.424965106"
2008-02-01,"17187977.64999","21940681.799709998","25117252.77846","37236512.340109996","28949492.128180001","53966514.297878601","32234515.650869917","57565885.793546252"
2008-03-01,"17325295.716460001","22066182.437929995","25532959.41598","37606284.830069996","29642377.394200001","54265934.930915996","33054524.245836426","57980179.138258062"
2008-04-01,"18147082.056279998","22828646.770189997","27036896.400029998","38823574.182599999","31464129.683479998","55623697.965481997","35099283.872655496","59546976.133394137"
2008-05-01,"18924240.849330004","23925385.810970005","28747868.285540007","40744632.242010012","33268857.468510009","57350551.018179417","37052946.005482838","61416672.776616797"
2008-06-01,"19522427.574130002","23861436.110120002","29881462.983200002","41023704.048540004","34571701.037580006","57611225.244196802","38802091.61274901","62121224.66355826"
2008-07-01,"20360642.820390001","24916285.230030004","31387257.091349997","42461610.377139993","36311836.361779995","59210779.547445588","40803345.792680822","63976637.784963675"
2008-08-01,"20895071.348439999","24993720.04933","32361666.257509999","42748710.667899996","37298786.700159997","59506210.489781395","41878601.3759197","64356569.239067659"
2008-09-01,"21410588.048799999","25468544.330949999","32814295.113119997","43168400.087219998","38034699.014280006","60332553.312088601","42880930.748874232","65420208.864815585"
2008-10-01,"20542194.062929999","24471263.555969998","31586566.718929999","42198041.721260004","36661844.100599989","59619930.643755786","41451485.220494568","64627007.882389329"
2008-11-01,"20271030.288229998","24110484.21937","30816696.333249994","41817205.728739992","35941807.93959","59739036.016425796","40723697.26379098","64663210.449365735"
2008-12-01,"21718611.637359999","25645572.286460001","32672600.205150001","44349982.139059998","37751037.289069995","62632814.654025793","42618219.242130317","67638741.785825074"
2009-01-01,"20764653.568549998","24622515.750929996","31424422.359689996","43261412.291170001","36589587.306139991","62012237.911165796","41399483.727354646","66963994.731119417"
2009-02-01,"20187030.301429998","24248767.373539999","30902881.943659998","43038593.695119999","36194563.837159991","62282866.322195798","41046261.603884764","67253528.067659527"
2009-03-01,"19560867.838700004","23824724.571060002","29858018.708740003","42468284.87718001","35434599.489550009","62459062.038605817","40420485.792235687","67545880.911030456"
2009-04-01,"19311939.49481","23648226.722040001","29583503.375810001","42454249.702799998","35215974.611660004","62838257.164755799","40224274.305141464","67928321.936976224"
2009-05-01,"19384382.701689996","23844441.160409994","29305229.990839995","42531827.381429993","34946489.817609996","63263128.496265791","39443346.465931118","67826074.373325869"
2009-06-01,"20078216.50206","24704865.051889997","30667112.199859999","44368910.534569994","36714062.280759998","65756119.667185791","41129462.102184944","70214956.567349702"
2009-07-01,"20219169.15605","24697269.104030002","30777544.221980002","44458489.393090002","36777753.184289999","65902607.378815793","41307665.258872658","70461403.132137418"
2009-08-01,"20323514.462370001","25121753.179610003","31082110.48669","45409233.766879998","37217566.429219998","67017582.433735795","41480677.369344443","71309144.87386024"
2009-09-01,"20978539.903439999","26409049.68905","32573230.495839998","47880454.098920003","39094897.939649992","69754988.887925774","43325598.686577253","74010711.634853035"
2009-10-01,"21997227.70324","27318713.081509996","33519844.322179999","48972902.599990003","40647328.329020001","71234697.349585801","44818044.07065773","75430442.361223534"
2009-11-01,"22774183.56676","28124632.044130001","33941635.931869999","49491619.456330001","41326674.985840008","71559044.248875797","45699828.161421113","75954438.694456905"
2009-12-01,"24918276.594050005","30295482.569960006","36648666.017760009","52334546.231700011","44810771.68759001","74984549.775705814","48994245.528255433","79190983.616371244"
2010-01-01,"24478799.30672","29878586.227999996","36737205.771049999","52565561.57418","45087034.964989997","75325718.585815787","49104573.468428336","79365519.089254126"
2010-02-01,"24335354.754379999","29808667.062919997","36718694.639089994","52985080.564959995","45210963.552749999","75739925.712085813","49008510.424071059","79562201.58340688"
