"MES","BCOA01","BCOA02","BCOA03","BCOA04","BCOA05","BCOA06","BCOA07","BCOA08","BCOA09","BCOA10","BCOA11","BCOA12","BCOA13","BCOA14","BCOA15"
2007-04-01,"487515.71534","27686.868019999994","63912.182210000014","395916.66511","269911.67701999994","2047865.2393800002","2019281.3519400002","1927564.0421700003","0","29552.417930000003","62164.891840000004","28583.887439999995","14704.126039999999","181840.03388000006","3001836.7916600001"
2007-05-01,"533272.0668899999","28178.057919999999","67612.177289999992","437481.83167999994","268502.51773000002","2066883.2258700007","2039113.0107900007","1948288.3612400005","0","28471.536829999997","62353.112720000012","27770.215080000002","11355.78909","173232.15039000008","3053245.7499700007"
2007-06-01,"543187.38981000008","28365.768330000006","70572.35020000003","444249.27127999999","264380.87901000003","2103393.9101100001","2075697.8376200001","1993604.0796700001","0","22299.539369999999","59794.218580000022","27696.072489999999","10722.418450000003","167667.8383099999","3089352.4356900007"
2007-07-01,"533508.72145000007","28730.624750000006","88073.65079","416704.44591000007","265642.85511","2117725.9537599999","2090145.5556499998","2008550.0409499998","0","22243.77303","59351.741669999989","27580.398110000002","9917.02772","166983.85086999997","3093778.4089099998"
2007-08-01,"564457.23858999996","29321.30431","86061.350799999986","449074.58348000003","250995.20377999998","2119588.95579","2092842.1897500001","2011568.5532300002","0","24252.723030000001","57020.913489999992","26746.766039999999","12241.800890000002","168308.24641999998","3115591.4454699997"
2007-09-01,"579437.66734999989","36678.748589999988","89798.666279999976","452960.25247999997","245104.71611000001","2146237.9824300003","2120217.1798900003","2042245.6375600002","0","21512.350929999997","56459.191400000011","26020.802539999997","11503.19355","169415.72656999988","3151699.2860099999"
2007-10-01,"616985.36850999994","40211.42656","101415.41182000001","475358.53012999991","230696.92308000004","2160701.5659000003","2135545.0970100001","2058165.8305899999","0","22955.232980000004","54424.033439999999","25156.46889","10840.53708","168611.43352000014","3187835.8280900004"
2007-11-01,"595492.50424000004","35273.083310000002","113762.38578","446457.03515000001","219099.41788000008","2167542.8409700003","2142430.4862500001","2065759.70502","0","24291.999150000003","52378.782079999997","25112.354720000003","6734.7309800000003","170442.97106999997","3159312.4651400005"
2007-12-01,"562388.53427000006","53479.522800000006","106342.00107","402567.01040000003","233688.23569999999","2171131.6077799993","2148493.8687499994","2086681.6909399994","0","15764.531080000002","46047.64673","22637.739030000001","12057.774130000002","170432.07907000004","3149698.2309499988"
2008-01-01,"576790.72556000017","49884.051520000008","110229.89943999998","416676.77460000012","228377.99861000001","2177208.4939000006","2154614.2846800005","2085048.3375100004","0","22205.077559999998","47360.869610000002","22594.209220000001","11356.963750000001","172372.9862300001","3166107.1680500009"
2008-02-01,"585757.4649100001","47533.665259999994","137264.27837000001","400959.52128000004","196608.45316","2183091.3464300008","2160438.7312100008","2080519.5461300006","0","28983.149790000003","50936.035289999993","22652.61522","10719.119630000001","177440.03748000006","3153616.421610001"
2008-03-01,"530679.51968000014","38913.014949999997","127707.55515000001","364058.94958000007","204670.72474000003","2192712.9289499996","2170159.7360499995","2090854.9837099996","0","30569.669610000004","48735.082730000002","22553.192899999998","10107.592340000001","176320.55360999994","3114491.3193199998"
2008-04-01,"495859.44516","32346.30587","129523.73379000001","333989.40549999999","229568.03005999996","2184373.2479700004","2161930.5245000003","2086435.6413400003","0","26707.220410000002","48787.662750000003","22442.723470000001","12028.555009999998","177947.13314999995","3099776.4113500002"
2008-05-01,"514566.30690999998","39780.877179999996","131717.56355999998","343067.86616999999","200324.32694999999","2174128.6271100002","2151788.8179700002","2079543.6898099999","0","25078.321200000002","47166.806960000009","22339.809140000001","11316.32784","180577.05985999998","3080912.64867"
2008-06-01,"535559.47647999995","43314.233789999998","137154.50555","355090.73713999998","188992.49450000003","2180253.0749999993","2158013.5611799993","2095356.9673599994","0","17791.591980000001","44865.001840000004","22239.51382","10967.460059999999","180897.09478999989","3096669.600829999"
2008-07-01,"498821.68848999997","32404.237350000003","144184.87980999998","322232.57132999995","198342.02433999997","2186752.3600599999","2164605.98661","2103947.79917","0","17674.991610000001","42983.195830000004","22146.373449999999","10164.123699999998","183679.34168000007","3077759.5382699999"
2008-08-01,"484112.38893999998","38700.257010000001","144087.59147999997","301324.54044999997","197790.14554","2188137.4906899994","2165962.6880399995","2100624.1146899997","0","24113.968130000001","41224.605220000005","22174.802649999998","9208.4321200000013","184510.71055999995","3063759.1678499994"
2008-09-01,"474420.14480000001","45856.531519999997","142892.67841000002","285670.93487","196860.55933999998","2197139.9047400001","2174978.6592700002","2111565.7465599999","0","23131.326149999997","40281.586560000011","22161.245470000002","8281.2845700000016","175960.70655000003","3052662.6"
2008-10-01,"469157.68325","41761.703070000003","137540.04415999999","289855.93602000002","207669.80003000001","2209431.4561500004","2187286.2418500003","2125582.3311500004","0","21692.882069999996","40011.028630000001","22145.2143","7355.9406000000008","179656.72402999992","3073271.6040599998"
2008-11-01,"459306.32569000003","38877.343770000014","132677.03662","287751.94530000002","212460.01310000007","2218010.5504100006","2195865.3361100005","2127816.9152700002","0","26581.415249999998","41467.005590000001","22145.2143","6356.142069999999","181453.75416000007","3077586.7854300006"
2008-12-01,"475034.91758000001","52840.046399999992","125836.27302999998","296358.59815000003","231596.66263000004","2230008.2577700005","2208001.9455200005","2152688.0788600002","0","18413.452249999995","36900.41440999999","22006.312249999999","9176.2781000000032","176374.82171999995","3122190.9378000004"
2009-01-01,"481017.11207999999","41641.065499999997","146244.06795","293131.97863000003","235403.20627","2260229.64971","2238054.7889200002","2177795.7306300001","0","21763.08856","38495.969729999997","22174.860790000002","8274.4508000000005","181254.05158","3166178.4704400003"
2009-02-01,"476703.93121999997","43636.997329999998","133698.50954","299368.42434999999","258271.05381999991","2256714.2418800001","2234472.59455","2158272.77734","0","37113.127190000007","39086.690019999987","22241.64733","7555.7875200000008","177095.65406999993","3176340.6685100002"
2009-03-01,"488223.10699999996","39420.848339999997","135606.04058999999","313196.21807","254138.54414000001","2268133.3490500008","2245892.7017200007","2172198.0828200006","0","34494.390680000004","39200.22821999999","22240.64733","6963.5557900000003","180036.40110999992","3197494.9570900011"
2009-04-01,"512953.13973","33818.002270000005","134770.06215999997","344365.07530000003","266263.86009999999","2281436.5062600006","2259195.8589300006","2187761.3880800004","0","26882.448639999995","44552.02221000001","22240.64733","6473.8844799999988","181207.38784999994","3248334.7784200008"
2009-05-01,"517580.07526999997","42816.365540000006","131626.54128999999","343137.16843999998","281052.23118000006","2294958.9513400011","2272718.304010001","2197218.4515300011","0","30581.323299999996","44918.529180000012","22240.64733","5272.0445200000004","182215.96878000005","3281079.2710900013"
2009-06-01,"559802.76558000001","50619.521989999994","137686.47915999999","371496.76443000004","304982.91464999999","2299776.3756399998","2291428.5826399997","2226044.61668","0","22242.717089999998","43141.248869999996","8347.7929999999997","4604.91831","180964.18393","3350131.1581099997"
2009-07-01,"584298.68062999996","54917.065869999991","137280.27851999996","392101.33623999998","323666.98094999994","2343136.4522199994","2330788.6592199993","2264413.3983599995","0","22022.561399999995","44352.699459999996","12347.792999999998","4050.3241000000003","180750.11922999989","3435902.5571299992"
2009-08-01,"622489.78313","60455.566970000007","146393.55817999999","415640.65797999996","335837.69451999996","2370254.8633499998","2357907.0703499997","2285433.4669999997","0","27061.887030000005","45411.71632","12347.792999999998","3424.2593999999999","181784.3117299999","3513790.9121299996"
2009-09-01,"631241.31572000007","61547.516610000006","146689.87315","423003.92596000002","352959.63316999999","2416739.8295100005","2404678.0434900005","2333986.7396200006","0","25765.517260000001","44925.786609999988","12061.78602","2903.4288299999998","179912.09887999995","3583756.3061100007"
2009-10-01,"647866.80122999998","54316.529889999998","140285.37728999995","453264.89405","366258.48766999994","2451689.3426100002","2439641.4205900002","2370039.9477400002","0","24551.224820000003","45050.248029999995","12047.92202","2456.0602399999998","181939.44167000003","3650210.1334200003"
2009-11-01,"659876.58267000003","72533.614549999984","143345.05962000001","443997.90850000002","370484.64263999998","2466779.1182599994","2454730.2849799995","2383989.5527999997","0","25922.907150000003","44817.825029999985","12048.833279999999","1970.01963","180835.27288999991","3679945.6360899992"
2009-12-01,"697927.47612999997","61407.057769999985","146623.45399000001","489896.96436999994","375078.94067999994","2499143.5991300005","2491383.3095300007","2432897.0134100006","0","17719.697030000003","40766.599089999996","7760.2896000000001","8498.2162100000005","179359.91875999991","3760008.1509100003"
2010-01-01,"695911.31787999999","67707.383650000003","144393.22412999996","483810.71010000008","383011.19174000004","2504539.7738599996","2492767.2687099995","2429756.6601999998","0","21416.461319999999","41594.147190000003","11772.505150000001","8078.2107299999989","184884.04897","3776424.5431799996"
2010-02-01,"700844.98811000003","63438.745280000003","144022.76009999996","493383.48273000005","397155.12135999999","2517134.7588900002","2497865.7387399999","2419384.3825900001","0","35393.534240000001","43087.821910000006","19269.020150000004","7851.2480799999994","191243.87877000001","3814229.9952099998"
2010-03-01,"746625.45206000004","75890.687009999994","146370.17647999999","524364.58857000002","392291.52492","2535792.9738500011","2528229.5268800012","2456158.3732200009","0","28088.699129999997","43982.45453000001","7563.44697","7709.7433700000001","186573.57373","3868993.267930001"
2010-04-01,"747115.97390999994","79547.523540000009","139966.57044999994","527601.87991999998","397165.92789000005","2581266.9591500009","2574093.8321800008","2503969.6696500005","0","23846.194620000002","46277.967910000007","7173.1269699999993","8940.1427299999996","184079.06776000001","3918568.071440001"
2010-05-01,"744609.30288999993","72135.108890000003","141659.40291","530814.79108999996","405501.57169000001","2601316.6411999995","2594143.5142299994","2519497.1747599994","0","29256.988670000002","45389.350800000007","7173.1269699999993","8632.5455899999997","190189.22931999987","3950249.2906899997"
2010-06-01,"713735.91629999992","75183.394329999996","141083.02642999997","497469.49554000003","413670.01104000001","2641111.7397400001","2634417.9797499999","2565984.0556100002","0","23479.506850000002","44954.417290000005","6693.7599900000014","7216.5503999999992","187194.37995000009","3962928.5974300001"
2010-07-01,"701291.89568999992","81334.072000000015","140188.27968999997","479769.54399999999","415098.52300000004","2684955.0311400006","2678261.2711500004","2608820.3756100005","0","24444.226770000001","44996.668769999997","6693.7599900000014","6393.2951799999992","190189.16346000007","3997927.9084700001"
2010-08-01,"701189.88067999994","75050.765370000008","140899.31845999998","485239.79684999993","431819.99929000007","2725632.0881500002","2718938.32816","2643578.1157900002","0","28169.704850000006","47190.507519999999","6693.7599900000014","5559.4360400000005","191316.67764000013","4055518.0818000007"
2010-09-01,"707757.50959999999","85451.570730000007","142644.41860999999","479661.52026000002","428610.87171000009","2764830.1483300002","2758422.3953200001","2683040.0058800001","0","28597.532730000003","46784.85671","6407.7530100000013","4758.7117000000007","197410.79465000005","4103368.0359900002"
2010-10-01,"689833.25227000006","80584.227729999999","133473.34949999995","475775.67504000006","442509.73410000006","2798446.1104500005","2792059.2674400005","2717221.1642900002","0","30711.862540000002","44126.240610000001","6386.8430100000005","3897.6961300000003","199396.91383999994","4134083.7067900007"
2010-11-01,"689866.93990999996","84825.811919999993","140357.32050999999","464683.80748000002","433145.79998999991","2846560.1858000001","2838067.7751000002","2765349.9993500002","0","27989.697590000003","44728.07815999999","8492.4107000000004","3053.0652700000005","200264.68865999993","4172890.6796300001"
2010-12-01,"697547.49534000002","67176.123550000018","157188.63970999999","473182.73207999999","382679.96326000005","3018831.2093800004","3012503.6341000004","2949434.0184900002","0","20590.666410000002","42478.949200000003","6327.5752800000009","11874.378009999999","223591.37078999996","4334524.4167800006"
2011-01-01,"673510.00424000004","94646.010090000025","175165.97095000002","403698.0232","368072.6643","3032390.3264800003","3026062.7512000003","2956061.9788700002","0","25705.410880000003","44295.361449999997","6327.5752800000009","11357.683859999997","220704.75738999993","4306035.4362700004"
2011-02-01,"709524.39629000006","101700.76182","193411.95188999997","414411.68258000002","363164.24996999995","3046909.7264799997","3040599.5887799999","2958716.3490399998","0","36091.809549999991","45791.430189999999","6310.1377000000002","10956.779809999996","219855.53326999984","4350410.6858199993"
2011-03-01,"679731.73839000007","101967.36399000001","182155.55038","395608.82402","426836.05627000006","3069409.0885199998","3063327.3765299995","2982506.2052599997","0","34628.41059","46192.760679999992","6081.7119900000007","10469.691439999999","224253.53486000007","4410700.1094800001"
2011-04-01,"722603.25441000005","90635.868150000009","245643.26086000004","386324.12540000002","408517.61687999987","3093500.3866000003","3087427.8076400002","3008269.1151400004","0","31283.372810000004","47875.319690000004","6072.5789599999998","14255.04126","224717.56252999994","4463593.8616800001"
2011-05-01,"708557.46656000009","91244.059500000018","243979.55410000007","373333.85295999999","419147.35395999998","3148723.7451900006","3142651.1662300006","3065002.9942400004","0","30044.160250000001","47604.011739999994","6072.5789599999998","12517.781789999999","224933.64039999992","4513879.987900001"
2011-06-01,"728787.66592000006","94580.046849999999","241909.19628999999","392298.42278000008","412160.49481","3202525.85139","3196744.0893399999","3126194.13001","0","25851.850610000001","44698.108720000004","5781.7620499999994","13234.369999999999","228861.56661999988","4585569.9487399999"
2011-07-01,"665586.29220999999","87313.719960000002","241131.39658999996","337141.17566000001","408533.59903000004","3263672.1956500001","3257898.5262600002","3183371.5157300001","0","29112.114590000005","45414.895940000009","5773.66939","9796.5951300000015","232186.24721000006","4579774.9292299999"
2011-08-01,"717684.56313000014","90414.823380000031","250505.28140000004","376764.45835000003","389868.79011","3323586.6502200002","3317812.9808300002","3241198.7757100002","0","30669.582739999998","45944.622380000001","5773.66939","8894.4528600000012","231219.02897000004","4671253.4852900002"
2011-09-01,"727309.9907399998","102522.03078","250901.74346","373886.21649999986","390930.66735","3384409.0014299997","3378922.3960599997","3303052.0169099998","0","28849.163010000004","47021.216139999997","5486.6053700000002","10318.26305","235837.58969999978","4748805.5122699989"
2011-10-01,"695517.15945999988","89281.709519999989","249378.30766999995","356857.14226999995","382650.62766999996","3443334.8440700006","3437532.9744000006","3358371.8230700009","0","32771.018889999992","46390.132440000001","5801.86967","6884.9128200000014","238449.41348999989","4766836.957510001"
2011-11-01,"688984.77929999994","96836.890489999976","245012.76363","347135.12517999997","370318.60623000003","3500449.5455900002","3494655.7198800002","3417057.9663900002","0","29932.849249999999","47664.904240000003","5793.8257100000001","5992.2574700000005","237350.87037000002","4803096.0589600001"
2011-12-01,"736631.69603999995","89367.623720000003","247826.44866999998","399437.62364999996","361905.88006","3565505.0712299994","3559684.2659599995","3493087.2147499993","0","19193.530630000001","47403.520580000011","5820.8052699999998","13859.181540000003","238403.66063999996","4916305.4895099998"
2012-01-01,"712703.56263000006","89909.526960000032","243994.10691999999","378799.92874999996","367404.73856000009","3587324.5676600006","3581421.2434500004","3507423.5671900003","0","25315.487399999998","48682.188859999995","5903.3242099999998","13004.61844","250240.97268000001","4930678.4599700002"
2012-02-01,"713292.61469000019","97329.219370000006","240168.90340000007","375794.49192000006","369718.71197","3619875.9682899998","3613972.6440799995","3526932.8833899996","0","37581.179749999996","49458.58094","5903.3242099999998","11916.124630000004","240559.15882999997","4955362.5784100005"
2012-03-01,"723613.37384000001","85916.347959999999","290907.92901000002","346789.09687000007","356044.49979999999","3681457.6025399989","3675554.7183299991","3589061.6955199991","0","33424.732940000002","53068.289869999993","5902.8842100000002","10920.967970000002","247714.52443000005","5019750.9685799982"
2012-04-01,"582901.57776000001","87163.743490000023","219220.53948999994","276517.29478","487398.79390000011","3708925.4744799994","3703022.5902699996","3616540.7018499998","0","33919.063290000006","52562.82512999999","5902.8842100000002","8684.8501700000015","250797.03100000002","5038707.72731"
2012-05-01,"627907.70543999993","89953.273809999999","243228.61564999999","294725.81597999996","463130.27754999988","3755625.8756899997","3749715.1024799999","3662805.8686099998","0","33374.636270000003","53534.597599999994","5910.7732099999994","7920.82935","251961.95206000004","5106546.6400899999"
2012-06-01,"651879.47776000004","89671.17478000003","233941.23402","328267.06896","453468.41816000006","3798744.0868500005","3792833.4205700005","3711703.7666500006","0","26905.581839999999","54224.072080000013","5910.6662800000004","7174.2878199999996","249056.02857000002","5160322.2991600009"
2012-07-01,"712197.17784000002","102626.10813999998","260424.53963000001","349146.53007000004","445862.55475000001","3839501.09925","3833577.54397","3750245.7757800003","0","30410.393519999998","52921.37466999999","5923.5552799999996","5657.1956800000007","267743.27643999999","5270961.3039600002"
2012-08-01,"673240.95393999992","92028.159189999977","231164.71811000002","350048.07663999993","484350.59094999993","3874597.5295399996","3868673.9742599996","3784750.3593899999","0","27068.887650000001","56854.727219999993","5923.5552799999996","5003.9047900000005","268433.68493999983","5305626.6641599992"
2012-09-01,"706854.87879999983","101594.02097999999","238089.28996999993","367171.56784999999","481933.88675999996","3901251.3723900001","3895327.8171100002","3807229.67508","0","31085.442909999998","57012.699120000012","5923.5552799999996","4500.6929100000007","259556.7127899999","5354097.5436499994"
2012-10-01,"725509.91491000005","108934.85427000001","236232.03172000003","380343.02892000007","478950.48335999995","3940274.2194999997","3934350.6642199997","3843863.6094499999","0","30720.819409999996","59766.235360000006","5923.5552799999996","3757.4545699999994","262746.11462999997","5411238.1869699992"
2012-11-01,"715154.9776199999","116498.06880999998","263744.16518999997","334912.74361999996","476352.82520999998","4050656.6094699991","4044610.308209999","3949501.4644799992","0","35240.751759999999","59868.091969999994","6046.3012599999993","2908.64887","283410.23272000015","5528483.2938899985"
2012-12-01,"751757.00861999998","107438.38459","238727.20897999997","405591.41504999995","508651.94534000003","4076500.1894700001","4070453.88821","3992817.4134999998","0","24967.339919999999","52669.134790000011","6046.3012599999993","10728.066150000002","279445.54658999998","5627082.7561700009"
2013-01-01,"796147.37948","128899.20495000001","274929.10425999993","392319.07027000003","509867.8182199999","4084977.8691099989","4078911.0251699989","3988120.6986599988","0","38323.785019999996","52466.541490000018","6066.8439399999997","11115.701920000001","280746.62004999997","5682855.3887799988"
2013-02-01,"794749.45543999993","145668.35693000001","249828.29956999997","399252.79894000001","509785.45567000017","4091478.2857900006","4085411.4418500005","3977230.7459800006","0","53777.526389999999","54403.169480000004","6066.8439399999997","10769.657430000001","276540.44527999993","5683323.2996100001"
