"MES","STBL01","STBL02","STBL03","STBL04","STBL05","STBL06","STBL07","STBL08","STBL09","STBL10","STBL11","STBL12"
2003-08-01,"7.7140000000000004","7.7119999999999997","7.7119999999999997","7.7140000000000004","7.694","7.7240000000000002","7.694","7.71","7.73","300000000","61200000","43500000"
2003-09-01,"7.7423000000000002","7.7413999999999996","7.7413999999999996","7.7423000000000002","7.7222999999999997","7.7523","7.7222999999999997","7.73","7.75","330000000","46100000","39100000"
2003-10-01,"7.7613000000000003","7.7603999999999997","7.7603999999999997","7.7613000000000003","7.7412999999999998","7.7713000000000001","7.7412999999999998","7.75","7.77","270000000","52800000","41400000"
2003-11-01,"7.7763","7.7752999999999997","7.7752999999999997","7.7763","7.7563000000000004","7.7862999999999998","7.7563000000000004","7.77","7.79","285000000","20300000","18100000"
2003-12-01,"7.8118999999999996","7.8094999999999999","7.8094999999999999","7.8118999999999996","7.7919","7.8219000000000003","7.7919","7.82","7.84","315000000","101400000","67700000"
2004-01-01,"7.8524000000000003","7.8513999999999999","7.8513999999999999","7.8524000000000003","7.8323999999999998","7.8624000000000001","7.8323999999999998","7.84","7.86","315000000","183700000","127800000"
2004-02-01,"7.8616999999999999","7.8611000000000004","7.8611000000000004","7.8616999999999999","7.8417000000000003","7.8716999999999997","7.8417000000000003","7.85","7.87","270000000","30600000","29900000"
2004-03-01,"7.8952","7.8939000000000004","7.8939000000000004","7.8952","7.8752000000000004","7.9051999999999998","7.8752000000000004","7.88","7.9","345000000","58000000","45000000"
2004-04-01,"7.9028999999999998","7.9024000000000001","7.9024000000000001","7.9028999999999998","7.8829000000000002","7.9128999999999996","7.8829000000000002","7.89","7.91","315000000","0","0"
2004-05-01,"7.9169999999999998","7.9165000000000001","7.9165000000000001","7.9169999999999998","7.8970000000000002","7.9269999999999996","7.8970000000000002","7.9","7.92","300000000","500000","0"
2004-06-01,"7.9295","7.9286000000000003","7.9286000000000003","7.9295","7.9095000000000004","7.9394999999999998","7.9095000000000004","7.92","7.94","315000000","15800000","11900000"
2004-07-01,"7.9424000000000001","7.9419000000000004","7.9419000000000004","7.9424000000000001","7.9223999999999997","7.9523999999999999","7.9223999999999997","7.93","7.95","315000000","0","0"
2004-08-01,"7.9657","7.9642999999999997","7.9642999999999997","7.9657","7.9457000000000004","7.9756999999999998","7.9457000000000004","7.96","7.98","315000000","0","0"
2004-09-01,"7.9927000000000001","7.9917999999999996","7.9917999999999996","7.9927000000000001","7.9726999999999997","8.0027000000000008","7.9726999999999997","7.98","8","330000000","100000","100000"
2004-10-01,"8.0181000000000004","8.0167000000000002","8.0167000000000002","8.0181000000000004","7.9981","8.0281000000000002","7.9981","8.01","8.0299999999999994","315000000","15400000","10700000"
2004-11-01,"8.0381","8.0375999999999994","8.0375999999999994","8.0381","8.0181000000000004","8.0480999999999998","8.0181000000000004","8.02","8.0399999999999991","315000000","30300000","24300000"
2004-12-01,"8.0500000000000007","8.0490999999999993","8.0490999999999993","8.0500000000000007","8.0299999999999994","8.06","8.0299999999999994","8.0399999999999991","8.06","330000000","56300000","43100000"
2005-01-01,"8.0656999999999996","8.0652000000000008","8.0652000000000008","8.0656999999999996","8.0457000000000001","8.0754838709677461","8.045483870967745","8.0500000000000007","8.07","315000000","62300000","58300000"
2005-02-01,"8.0749999999999993","8.0744000000000007","8.0744000000000007","8.0749999999999993","8.0549999999999997","8.0842857142857163","8.0542857142857152","8.06","8.08","270000000","4000000","1500000"
