"MES","BZCR01","BZCR02","BZCR03"
2010-12-01,"961.62973272122258","856.99220013252693","104.63753258869565"
2011-01-01,"595.82664049000005","238.24238295999999","357.58425753000006"
2011-02-01,"505.50196053999997","247.66795505000002","257.83400548999998"
2011-03-01,"394.67653354999993","282.21868423210464","112.4578493178953"
2011-04-01,"352.91705948058052","224.41187196986922","128.50518751071129"
2011-05-01,"352.77765380907118","422.87061879414233","-70.092964985071148"
2011-06-01,"501.8487196100001","396.04291956532001","105.8058000446801"
2011-07-01,"513.57156846999999","349.76795297755928","163.80361549244071"
2011-08-01,"539.66167020000012","611.06269151219499","-71.401021312194871"
2011-09-01,"499.79278036778697","420.78735898740325","79.005421380383723"
2011-10-01,"620.62172648609896","300.40176088378604","320.21996560231293"
2011-11-01,"624.13313795503905","372.26797860657177","251.86515934846727"
2011-12-01,"681.5976244758582","539.46691331534976","142.13071116050844"
2012-01-01,"497.34336468857146","278.77021497113697","218.57314971743449"
2012-02-01,"466.78148020999987","291.70273465000002","175.07874555999985"
2012-03-01,"496.90083931985424","321.1636837085714","175.73715561128284"
2012-04-01,"357.42662537997074","524.78867227061221","-167.36204689064147"
2012-05-01,"518.86533999953349","538.56126796851163","-19.69592796897814"
2012-06-01,"483.7066697300001","456.98993566399417","26.716734066005927"
2012-07-01,"602.45023557897946","382.13906721422711","220.31116836475235"
2012-08-01,"660.5596035399717","395.8554429304956","264.70416060947611"
2012-09-01,"566.83633243000099","383.00976580000003","183.82656663000097"
2012-10-01,"1231.5938418470262","789.85693414979585","441.73690769723032"
2012-11-01,"512.15287984163263","382.79526240725943","129.3576174343732"
2012-12-01,"699.37955502446061","600.84156602253643","98.537989001924188"
2013-01-01,"700.04916002000004","609.20030630885424","90.848853711145807"
2013-02-01,"566.96061761294447","402.29545560000003","164.66516201294445"
2013-03-01,"555.23621682999999","480.78001469999998","74.456202130000008"
2013-04-01,"564.70602172000008","366.22639346991252","198.47962825008756"
2013-05-01,"479.2292971600894","564.91592046999995","-85.686623309910544"
2013-06-01,"595.14051019000067","387.62503385999895","207.51547633000172"
2013-07-01,"651.94736652999779","465.21870317000003","186.72866335999777"
2013-08-01,"1072.7286321100014","1092.2937437999999","-19.565111689998503"
2013-09-01,"624.25902081046638","413.27594096999997","210.98307984046642"
2013-10-01,"671.05428453000002","952.67579728999999","-281.62151275999997"
2013-11-01,"619.83195843999999","505.35317023000118","114.47878820999881"
2013-12-01,"1028.0524356281651","768.37667117405226","259.67576445411282"
2014-01-01,"527.45219287999998","496.90790360000005","30.54428927999993"
2014-02-01,"495.11084681999932","574.65975567999988","-79.548908860000552"
2014-03-01,"576.34982291999881","594.73707166000008","-18.387248740001269"
2014-04-01,"642.20393408000007","605.18340588000012","37.020528199999944"
2014-05-01,"642.46035004999999","574.39402691999976","68.066323130000228"
2014-06-01,"601.92573013000003","419.52364493999977","182.40208519000026"
2014-07-01,"688.57769401049757","593.04889033999973","95.528803670497837"
2014-08-01,"1218.9440909199998","682.92516694999995","536.01892396999983"
2014-09-01,"555.97759084000018","573.53189516999998","-17.554304329999809"
2014-10-01,"672.10780937000004","532.19350462999989","139.91430474000015"
2014-11-01,"654.07473580999988","554.75960863","99.315127179999877"
2014-12-01,"858.85762384999998","1218.0070749499998","-359.14945109999985"
2015-01-01,"572.99764051000011","682.07329264999998","-109.07565213999987"
2015-02-01,"618.1349167599999","492.93848140999995","125.19643534999994"
2015-03-01,"596.64306165000005","739.09729158999903","-142.45422993999898"
2015-04-01,"618.87043150999989","774.70857919999992","-155.83814769000003"
2015-05-01,"493.1805961099999","661.10327878999999","-167.92268268000009"
2015-06-01,"809.73783083000035","740.80363062000015","68.934200210000199"
2015-07-01,"447.03888958000005","542.92813831000012","-95.889248730000077"
2015-08-01,"595.31693753000002","793.48399182000014","-198.16705429000012"
2015-09-01,"513.78162079000003","626.73901557000147","-112.95739478000144"
2015-10-01,"482.04929419999991","769.38874701000009","-287.33945281000018"
2015-11-01,"422.65803026999993","736.66009025000017","-314.00205998000024"
2015-12-01,"622.71079608320008","1102.2810847933713","-479.57028871017121"
