"MES","BCMA01","BCMA02","BCMA03","BCMA04","BCMA05","BCMA06","BCMA07","BCMA08","BCMA09","BCMA10","BCMA11","BCMA12","BCMA13","BCMA14","BCMA15","BCMA16","BCMA17","BCMA18"
2003-08-01,"10796382.067","11762980.254000001","966598.18700000015","1066861.74","50219.183456699997","9014182.7719999999","9014182.7719999999","0","23759792","23266282","16187195","0","1348095","5730992","493510","226315.47899999999","4529180.9169999994","49442934.158456691"
2003-09-01,"11365054.496000001","12365798.347000001","1000743.851","1069629.2150000001","45808.3593884","8917627.3669999987","8917627.3669999987","0","23677966","23370402","16574457","0","1266089","5529856","307564","231585.01800000001","4777981.22","50085651.675388403"
2003-10-01,"10224814.060999999","11331481.142999999","1106667.0819999999","1072396.69","46007.860042499997","8827510.7197668999","8827510.7197668999","0","23702479.990940001","23245088","16554514","0","1217445","5473129","457391.99093999999","169199.00599999999","4874737.5010000002","48917145.828749396"
2003-11-01,"10266651.018999999","11352386.083999999","1085735.0649999999","1075164.166","44567.939892000002","8854907.0870000012","8854907.0870000012","0","23674405.184308793","23228952.184308793","16518500","0","1249946","5460506.1843087925","445453","148278.93299999999","4947780.6449999996","49011754.974200793"
2003-12-01,"11642883.901000001","12826275.326000001","1183391.4249999998","1082082.8540000001","43960.998880200001","8867850.7899999991","8867850.7899999991","0","23599863","23169558","16676893","0","1181241","5311424","430305","170657.99100000001","5186217.648","50593517.1828802"
2004-01-01,"10968182.874000002","12024849.470000001","1056666.5959999999","1084850.3289999999","42966.775823999997","8981646.7636456005","8981646.7636456005","0","23197797.687010556","22899156.687010556","16283114.687010558","0","1286307","5329735","298641","168661.818","5230495.800999999","49674602.048480161"
2004-02-01,"10402840.744999999","11460341.722999999","1057500.9779999999","1086234.067","42858.968027499999","9140964.0100800004","9140964.0100800004","0","23067998.01436951","22777661.01436951","16057265.014369512","0","1353330","5367066","290337","203971.08","4981016.6429999992","48925883.527477011"
2004-03-01,"10859995.385","11940398.59","1080403.2050000001","1090385.28","78451.0782492","9130718.0269999988","9130718.0269999988","0","23035212","22748201","16014423","0","1390246","5343532","287011","223521.364","4846297.4749999996","49264580.609249204"
2004-04-01,"9814631.2489999998","10822449.231000001","1007817.9820000001","1091769.0179999999","75983.714137799994","9278134.4000000004","9278134.4000000004","0","23139786","22877450","16180550","0","1338809","5358091","262336","255956.55","4722112.2910000011","48378373.222137794"
2004-05-01,"10510145.897000002","11492591.282000002","982445.38500000001","1093152.7549999999","76343.305523999996","9144524.4809999987","9144524.4809999987","0","23006686","22732607","16033104","0","1289028","5410475","274079","230907.769","4858811.7300000004","48920571.937523998"
2004-06-01,"9511326.1390000004","10673526.630000001","1162200.4909999999","1095920.2309999999","75992.862686399996","9457491.0659999996","9457491.0659999996","0","22868871","22597156","16075447","0","1353980","5167729","271715","-136328.18799999999","4722086.7650000006","47595359.875686407"
2004-07-01,"10098328.896","11137446.25","1039117.3540000001","1097303.9680000001","73584.123880800005","9326773.8243198991","9326773.8243198991","0","22707220.951596446","22452348.951596446","15923490.951596448","0","1398304","5130554","254872","-192226.92600000001","4745166.9250000007","47856151.762797147"
2004-08-01,"10920366.455","12009535.137","1089168.682","1101455.1810000001","71729.867603999999","9603504.1647056006","9603504.1647056006","0","22607639.594680816","22362161.594680816","15938511.594680816","0","1262600","5161050","245478","-194414.51199999999","4631871.0390000008","48742151.78999041"
2004-09-01,"11931925.488","13286228.057","1354302.5689999999","1125090.3570000001","66502.899027599997","9638607.7335641999","9638607.7335641999","0","22470550.570708923","22247549.570708923","15994895.570708925","0","1095227","5157427","223001","-190935.899","4672731.2369999997","49714472.386300728"
2004-10-01,"12174200.98","13525581.578","1351380.598","1129320.02","58729.760870400001","9770716.3080000002","9770716.3080000002","0","22228314","21998921","15918396","0","1068212","5012313","229393","-190793.802","4729509.43","49899996.696870394"
2004-11-01,"12839010.03584649","14264570.469846491","1425560.4340000001","1130729.9069999999","60635.460143800003","9727892.6270000003","9727892.6270000003","0","22163227.184418313","21935902.911446154","15933101.168317374","0","1016099","4986702.7431287803","227324.2729721576","-184930.46799999999","4834063.5934681222","50570628.339876719"
2004-12-01,"12929007.981000001","14412096.534","1483088.5530000001","1133549.683","121290.4945764","9896921.6071799994","9896921.6071799994","0","22587462.734883253","22360488.734883253","16758911.734883253","0","881958","4719619","226974","-276176.45400000003","4720087.398","51112143.444639653"
2005-01-01,"12601682.479999997","13913790.608999997","1312108.129","1134959.57","121270.52899999999","9615073.5490000006","9615073.5490000006","0","23299208.980000004","23066638.570000004","17336738.170000002","0","1003046.46","4726853.9400000004","232570.41","-268549.59095799999","4739218.8083424987","51242864.325384505"
2005-02-01,"12824027.757443478","14141251.221637279","1317223.4641938007","1136369.45799","118981.95172500001","9687119.1033137999","9687119.1033137999","0","23259218.469373077","23032194.222967468","17099487.786120944","0","1173485.6095106022","4759220.827335923","227024.24640560977","-266128.28987120005","4721226.2127124816","51480814.662686639"
2005-03-01,"12924368.890467269","14179787.07837127","1255418.1879039998","1162823.2333200001","118240.9017576","9338545.0504480004","9338545.0504480004","0","23390732.174760692","23158451.030723356","17136702.747374587","0","1198111.0859506959","4823637.1973980721","232281.14403733579","-261836.17961440003","4594789.5329452641","51267663.604084417"
2005-04-01,"13842165.250308471","15159305.653352071","1317140.4030436","1162823.2333200001","195024.29319600001","9566155.2893188018","9566155.2893188018","0","23656064.52554189","23436800.972354554","17434018.488534585","0","1033747.3443218963","4969035.1394980736","219263.55318733581","-247719.91232640005","4574747.657263265","52749260.336622022"
2005-05-01,"13816120.115558472","15055115.195758471","1238995.0802000002","1162823.2333200001","174906.00914479999","9350333.3154208008","9350333.3154208008","0","23887411.19639229","23660880.012184955","17705360.973614588","0","988086.19194229622","4967432.8466280717","226531.18420733578","-224787.61076720001","4608957.9570440641","52775764.216113225"
2005-06-01,"14216614.922729673","15394010.620013272","1177395.6972836002","1162823.2333200001","154642.11702960002","9660487.5379198268","9660487.5379198268","0","23745409.002127893","23554805.010240559","17866593.575174589","0","945235.45764789591","4742975.9774180735","190603.99188733581","-232578.9537104","4790586.8184653884","53497984.677881986"
