"MES","BCFA01","BCFA02","BCFA03","BCFA04","BCFA05","BCFA06","BCFA07","BCFA08","BCFA09","BCFA10","BCFA11","BCFA12","BCFA13","BCFA14","BCFA15","BCFA16","BCFA17","BCFA18"
2005-06-01,"14996534.480179673","16173930.177463273","1177395.6972836002","1162823.2333200001","154642.11702960002","10878712.441453829","10878712.441453829","0","0","0","29880049.158593673","23554805.010240559","260015.39271056678","5830186.2485499997","235042.50709254606","0","5390464.1278776852","62463225.558454454"
2005-07-01,"15957936.396313783","17035268.701370284","1077332.3050565005","1158505.8203250002","150747.70531100003","10768296.96013099","10768296.96013099","0","0","0","29930313.433476206","23566801.924741499","258055.95155550278","5867884.8820399996","237570.67513920736","0","5306738.7910772003","63272539.10663417"
2005-08-01,"17046842.757414188","18109641.209900487","1062798.4524862999","1155627.5449949999","89291.715118099994","10587821.242078867","10587821.242078867","0","0","0","29897631.894624554","23487064.031445447","255989.32411879345","5918963.9387699999","235614.60029031499","0","5329252.8556391858","64106468.009869888"
2005-09-01,"17848770.156472094","18834401.792997696","985631.63652559964","1154188.4073299998","89014.939512799989","10608428.348421467","10608428.348421467","0","0","0","30044269.490153868","23581294.870027561","253341.5104004388","5971621.0612399988","238012.04848586873","0","5300712.4621912111","65045383.80408144"
2005-10-01,"19188800.084157296","20076910.397227295","888110.31306999992","1151310.132","88759.801599999992","10539107.922914622","10539107.922914622","0","0","0","30143133.773655266","23637786.038416207","253045.33170208414","6014500.8572300002","237801.54630697632","0","5365344.8332715482","66476456.547598734"
2005-11-01,"20315064.812777299","21156089.142177299","841024.3293999997","1151310.132","142187.64336000002","10407376.754554272","10407376.754554272","0","0","0","30152428.577085264","23592813.797246207","252900.33170208414","6074743.183029999","231971.26510697632","0","5149321.8811920052","67317689.800968841"
2005-12-01,"20301972.63945286","21128690.530032858","826717.89057999989","1151310.132","141951.9296","10877813.923749221","10877813.923749221","0","0","0","30248990.939369246","23634596.2865308","250960.40919407678","6120618.50404","242815.7396043684","0","4600748.9674034426","67322788.531574771"
2006-01-01,"21109661.467742849","21354016.45600285","244354.98826000001","1151310.132","1430492.0931200001","8325673.6340415273","8325673.6340415273","0","0","0","30240174.874899238","23614969.993320793","250701.36719407677","6125295.9770400003","249207.53734436841","0","5305073.6527551087","67562385.854558721"
2006-02-01,"21762003.625651397","21999585.185285699","237581.55963430001","1149870.9943349999","1427619.2455362","8239440.3447656501","8239440.3447656501","0","0","0","30155933.454208124","23492823.796805054","250389.67406793419","6166978.7554100007","245741.22792513794","0","5257360.1590096755","67992227.823506057"
2006-03-01,"22952185.823125992","23152355.816096492","200169.9929705","1146992.7190050001","1424065.4522139002","8055257.3912500236","8055257.3912500236","0","0","0","30209721.916412536","23515447.46623021","249766.28781564898","6195049.7974500004","249458.36491667703","0","5049366.77010414","68837590.072111592"
2006-04-01,"24022365.681854241","24284155.081124641","261789.39927039997","1145553.5813400003","1471179.4299827998","8104445.4614273766","8104445.4614273766","0","0","0","30438455.312821325","23723531.687927198","249163.59629828151","6220497.6427100003","245262.38588584532","0","5326405.9239180852","70508405.391343832"
2006-05-01,"24847181.256645057","25074508.035858657","227326.77921359998","1168836.5813400003","1472543.7469187998","8182582.0906870421","8182582.0906870421","0","0","0","30731671.043678936","23964770.866894811","242829.36129828152","6274161.4544599997","249909.36102584534","0","5116224.8855104726","71519039.604780316"
2006-06-01,"25150507.350946266","25406868.869106665","256361.51816039998","1168836.5813400003","1470815.6720719999","8324130.4919686848","8324130.4919686848","0","0","0","30742632.772539344","23947347.169995219","242829.36129828152","6305025.4017199986","247430.83952584534","0","5066491.1484606368","71923414.017326936"
2006-07-01,"26649460.318646595","26880160.098774996","230699.78012839999","1168836.5813400003","1471144.9910428","8260035.9376347978","8260035.9376347978","0","0","0","31094179.086126741","24248533.63000327","241535.19917762341","6352371.1711500008","251739.08579584537","0","5085692.8131703362","73729349.727961272"
2006-08-01,"27881876.245582949","28078629.31254695","196753.06696400003","1167368.1936750002","1451040.2161050001","8253238.4964794079","8253238.4964794079","0","0","0","31233479.033685438","24344957.584255695","241225.49745915906","6400824.2969499994","246471.65502058674","0","5131557.830947849","75118560.016475648"
2006-09-01,"29035487.444149449","29267079.84574645","231592.40159699999","1167368.1936750002","1450892.5140089998","8222114.1851442922","8222114.1851442922","0","0","0","31451998.04716837","24517717.8606757","235660.58466208409","6470491.3438799996","228128.25795058673","0","5389756.1940334495","76717616.578179553"
2006-10-01,"30004182.26597295","30230394.691596951","226212.42562400002","1167368.1936750002","1398402.0789315","8241928.3112598211","8241928.3112598211","0","0","0","31556046.607616864","24519639.311514191","235660.58466208409","6568077.8481699992","232668.86327058673","0","5221581.6810756829","77589509.138531819"
2006-11-01,"31575661.581690948","31735200.192272447","159538.61058149999","1167368.1936750002","1398550.176063","8308602.4145563897","8308602.4145563897","0","0","0","31744958.981916863","24615430.529144194","235660.58466208409","6670493.8593800012","223374.00873058673","0","5153060.0056179464","79348201.353520155"
2006-12-01,"32347842.555158753","32560982.503999252","213139.9488405","1164431.4183450001","1394996.8377163","8455630.4331621099","8455630.4331621099","0","0","0","31961753.368340369","24751735.290758673","233449.27272577694","6750215.7035600003","226353.10129592323","0","5002711.2346024727","80327365.847324997"
2007-01-01,"33685634.02474016","33902319.451817863","216685.42707769998","1161494.643015","1462035.4806049999","8524127.0817905497","8524127.0817905497","0","0","0","31692102.93694387","24500282.482349504","227359.8690694698","6740042.9656099994","224417.61991489943","0","5190138.7472877083","81715532.914382279"
2007-02-01,"34990012.136190072","35206230.506654374","216218.37046429998","1158557.8676849999","1460612.4809016001","8554705.7687613443","8554705.7687613443","0","0","0","31790224.178037424","24568985.095399667","226116.0021438832","6754814.0945699997","240308.98592387568","0","5143083.4837439461","83097195.915319383"
2007-03-01,"36289235.723634377","36463743.468556277","174507.74492189998","1158557.8676849999","1460325.9078171002","8173967.511715807","8173967.511715807","0","0","0","32136558.789592583","24849505.059580233","223231.17581847188","6851533.5797300003","212288.97446387567","0","5387827.0810911907","84606472.881536067"
2007-04-01,"37613550.962793678","37782470.511976577","168919.54918290002","1158557.8676849999","1513295.9949210002","8276966.4595732968","8276966.4595732968","0","0","0","32606074.623201165","25262810.73369769","222450.17581847188","6909553.9458999988","211259.76778500181","0","5228319.6565646688","86396765.56473881"
2007-05-01,"38460146.404047787","38620727.882233389","160581.47818559999","1155621.0923550001","1574738.8193877998","8345341.657143034","8345341.657143034","0","0","0","33061899.085766561","25616667.871350322","221884.31732463549","7012428.2034299998","210918.69366160515","0","5097193.2771472931","87694940.335847467"
2007-06-01,"38626782.611299679","38650513.04109218","23730.42979250001","1152684.317025","1566654.0718135","8534068.0854759794","8534068.0854759794","0","0","0","33508866.496550396","25947859.002539597","221318.45883079903","7127952.8312899992","211736.20389","0","4797818.1862848494","88186873.768449411"
2007-07-01,"39851665.319867924","39908579.052893825","56913.733025900001","1162537.815705","1554092.9738775","8449708.5743034352","8449708.5743034352","0","0","0","33625764.87161658","26021270.826036323","218898.77257026135","7174164.4430299997","211430.82998000001","0","4771480.7283734651","89415250.283743903"
2007-08-01,"40929748.15009366","40968788.188138962","39040.038045299996","1153560.6897150001","1545507.7860866999","8615013.9255002979","8615013.9255002979","0","0","0","33709480.704192221","26075011.020622429","218224.62377979411","7206942.9285300011","209302.13125999997","0","4264668.8716336498","90217980.127221525"
2007-09-01,"42988917.154587358","43044744.187401056","55827.032813699996","1153560.6897150001","1503022.5740993998","8250564.8058262002","8250564.8058262002","0","0","0","34233751.629192218","26484205.88770242","218224.62377979411","7324144.7170000002","207176.40070999999","0","4262054.7631231789","92391871.616543353"
2007-10-01,"44040709.158890828","44133796.87056753","93087.711676700012","1147575.939055","1496289.9860272","8154463.2391491998","8154463.2391491998","0","0","0","34495951.708517797","26626861.421354987","217775.19125281594","7446531.6707999995","204783.42511000001","0","4260565.8266760055","93595555.858316034"
2007-11-01,"44934763.300804943","44999886.431053944","65123.130249000002","1141591.1883950001","1481265.4238396001","8144590.1124226991","8144590.1124226991","0","0","0","34841524.058264099","26870044.527238265","217325.75872583778","7550990.374090001","203163.39821000001","0","3936617.7893942217","94480351.873120561"
2007-12-01,"46071295.71236974","46187680.349831842","116384.63746209998","1132614.062405","1469274.5926172","8235928.5997551996","8235928.5997551996","0","0","0","34976580.660320774","26938937.127635401","216651.60993537054","7622662.5504599996","198329.37229","0","3552935.8407678697","95438629.468235776"
2008-01-01,"48346032.628934771","48431304.819628574","85272.190693800003","1126629.3117449998","1441262.9767727999","8195079.6450588005","8195079.6450588005","0","0","0","34826425.375856422","26921515.625896785","212113.29696963553","7486718.6519299997","206077.80106","0","3387092.4907345087","97322522.429102302"
2008-02-01,"51049279.985164687","51122937.076449886","73657.091285200004","1120644.5610849999","1434061.2054468002","8366118.9409210002","8366118.9409210002","0","0","0","34781858.747134387","26806315.529344857","210982.38436953124","7559493.9915400017","205066.84187999999","0","2775568.4345964636","99527531.874348342"
2008-03-01,"52092560.971365914","52140170.769111916","47609.797746000011","1107178.8721","1512524.9853459999","8087752.9411360007","8087752.9411360007","0","0","0","34787907.723404601","26738355.831335306","208437.83101929654","7631150.8040399998","209963.25700999997","0","2668002.8788082651","100255928.37216078"
2008-04-01,"53316149.364842877","53346863.415209875","30714.050367","1109262.49545","1563608.9224840002","8237996.3013960002","8237996.3013960002","0","0","0","35069976.182666406","26967667.816029746","205056.99741665914","7702599.5920800008","194651.77714000002","0","2085863.3004236177","101382856.5672629"
2008-05-01,"54758791.814556912","54838838.82178361","80047.007226699992","1095586.6564650002","1476080.9056679001","8298670.7905041222","8298670.7905041222","0","0","0","35359676.979139172","27212514.033924717","202265.2777044501","7759396.605510002","185501.06200000001","0","1877208.8147222125","102866015.96105531"
2008-06-01,"55573026.815098979","55633527.681780577","60500.866681600004","1081910.81748","1458089.0850207999","8324371.6302947365","8324371.6302947365","0","0","0","35716614.052969992","27475369.168735489","198438.82307450791","7872525.4849999985","170280.57616","0","1430743.6213846619","103584756.02224918"
2008-07-01,"57522287.735355727","57588559.254399329","66271.519043599998","1069754.5161600001","1421839.2776895999","9393998.2983937636","9393998.2983937636","0","0","0","36063018.389380082","27734227.03635304","196209.17337704153","7964105.7855700012","168476.39408","0","1272112.6865198528","106743010.90349902"
2008-08-01,"58456551.451428711","58681244.464820415","224693.01339170002","1065195.903165","1417114.6668089002","9429762.5929370448","9429762.5929370448","0","0","0","36220711.581052542","27795032.985215943","193963.36552659766","8059391.0509099998","172324.17939999999","0","889249.98686223198","107478586.18225442"
2008-09-01,"59285750.064506307","59449360.448783711","163610.38427739998","1062156.8278350001","1414289.6281110002","9359325.3097105045","9359325.3097105045","0","0","0","36723224.694440164","28171951.97168009","193409.97504007386","8186229.7542599998","171632.99345999997","0","742564.37199691613","108587310.89659989"
2008-10-01,"57778036.254660383","57961891.796581686","183855.5419213","1059117.752505","1409297.7965654002","9690214.811649302","9690214.811649302","0","0","0","37009504.389892012","28300191.23954846","192856.58455355006","8346384.0384800006","170072.52730999998","0","668838.82866631146","107615009.8339384"
2008-11-01,"58717909.023523197","58845942.1560793","128033.1325561","1059117.752505","1412384.3840469001","9808256.4600878526","9808256.4600878526","0","0","0","37241522.992730476","28408665.405999351","192767.38894111858","8470156.9913500007","169933.20643999998","0","453646.00403655216","108692836.61692998"
2008-12-01,"60218106.216957927","60367261.408602528","149155.19164460001","1059117.752505","1416891.8895290003","10050224.114186766","10050224.114186766","0","0","0","37528961.99039305","28476374.618611928","192767.38894111858","8692515.4265700001","167304.55627000003","0","348001.43537880131","110621303.39895053"
2009-01-01,"60257171.178160027","60367312.367311724","110141.18915170002","1059117.752505","1420046.6793666","10229587.447229648","10229587.447229648","0","0","0","37224334.131493047","28147587.051451925","192767.38894111858","8716811.2846099995","167168.40648999999","0","823783.91434009559","111014041.10309441"
2009-02-01,"60771572.359171331","60898522.974862128","126950.61569080001","1059117.752505","1419923.5226728001","10263518.260052785","10263518.260052785","0","0","0","37134577.009989224","28062190.332131576","192639.96663764509","8712411.2882200014","167335.42300000004","0","1104378.6980947182","111753087.60248587"
2009-03-01,"61260890.617210612","61339745.856928714","78855.239718100012","1077518.552505","1464595.5585022999","10549313.268657926","10549313.268657926","0","0","0","37213509.882519647","28052388.963188946","192385.12203069811","8802538.8477200009","166196.94957999999","0","1154879.4403495758","112720707.31974506"
2009-04-01,"61629318.628174841","61689655.934598245","60337.306423399998","1077518.552505","1463615.5238091","10813556.85186852","10813556.85186852","0","0","0","37724359.437165946","28474812.591984212","191029.34872174016","8879172.5744000003","179344.92206000001","0","1479451.7987455884","114187820.79226899"
2009-05-01,"63031441.013352484","63148085.056351885","116644.0429994","1077518.552505","1473771.8579848001","10984659.838309499","10984659.838309499","0","0","0","38033694.559465416","28722053.845599931","190799.98857548786","8950325.5703400001","170515.15495","0","1693764.438503999","116294850.26012121"
2009-06-01,"63841350.72766909","63978686.00831829","137335.28064919999","1077518.552505","1474590.7896313998","10962488.462460158","10962488.462460158","0","0","0","38546761.154157966","29116926.196408894","190784.69789907103","9083832.4535700008","155217.80628000002","0","1974539.5096410855","117877249.1960647"
2009-07-01,"64497835.552267224","64628792.987833522","130957.43556629999","1077518.552505","1473688.6634374999","10963205.96058356","10963205.96058356","0","0","0","38721555.942845888","29117981.749567509","190759.21343837632","9254451.0636199992","158363.91622000004","0","2222680.3978392635","118956485.06947844"
