"MES","SFBP01","SFBP02","SFBP03","SFBP04","SFBP05","SFBP06","SFBP07","SFBP08","SFBP09","SFBP10","SFBP11","SFBP12","SFBP13","SFBP14","SFBP15","SFBP16","SFBP17","SFBP18","SFBP19","SFBP20","SFBP21","SFBP22","SFBP23","SFBP24","SFBP25","SFBP26","SFBP27","SFBP28","SFBP29","SFBP30","SFBP31"
2005-03-01,"1210539.9793400001","6884.8216200000006","6602.4626600000001","282.35896000000002","0","235500.47594999999","46316.68922","189183.78672999999","0","0","951151.38854000007","11804.634700000001","939346.75384000002","0","0","17003.293229999999","2918.1624100000004","14085.13082","-","323469.31452000001","0","116487.40199999999","206981.91252000001","11930.368240000003","11867.712380000003","62.655860000000004","-","0","210726.39999999999","198092.93440999999","210772.72497000001"
2005-04-01,"1256704.75073","1535.22775","1105.4484600000001","429.77929","0","245028.80836999998","47533.626779999999","197495.18158999999","0","0","993512.82371999999","13769.16634","979743.65737999999","0","0","16627.890890000002","2853.1078600000005","13774.783030000001","-","326954.35791000002","0","122427.06039000001","204527.29752000002","16473.301630000002","16409.002690000001","64.298940000000002","-","0","230753.48800000001","204024.53695000004","213906.80012000003"
2005-05-01,"1272790.8557500001","740.33339000000001","310.39938000000001","429.93401","0","252079.00316999998","52744.005629999992","199334.99753999998","0","0","1002097.6655300001","15534.53139","986563.1341400001","0","0","17873.853660000001","2780.2279299999996","15093.62573","-","318873.44828000001","0","121247.57235999999","197625.87592000002","6461.7825400000002","6366.9570300000005","94.825509999999994","-","0","277617.48800000001","212923.62803999998","215894.18418000004"
2005-06-01,"1288188.7091500002","700.32105999999999","413.60338000000002","286.71767999999997","0","252723.47808000003","53520.802280000004","199202.67580000003","0","0","1013952.29072","20652.216400000001","993300.07432000001","0","0","20812.619289999999","4103.8937599999999","16708.72553","-","308598.31091","0","120088.61782999999","188509.69308","8623.6862199999996","8555.7935999999991","67.892619999999994","-","0","277092.288","222191.19169000001","218931.13747000005"
2005-07-01,"1297812.8735599997","592.64898999999991","258.99077999999997","333.65821","0","259959.22082999995","61375.988339999996","198583.23248999997","0","0","1016116.9743899999","34010.670270000002","982106.30411999987","0","0","21144.029350000001","4356.1896799999995","16787.839670000001","-","321745.50912","0","138627.98913","183117.51999","10035.458109999998","9977.7432199999985","57.714889999999997","-","0","294206.57","216778.00357","220652.66615999999"
2005-08-01,"1337780.2503799999","6044.7507599999999","5643.1162800000002","401.63448","0","280625.72308999998","71852.232120000001","208773.49096999998","0","0","1028779.5471099999","41589.220809999992","987190.32629999996","0","0","22330.229420000003","5360.6296899999998","16969.599730000002","-","321521.49661000003","0","140890.23412000001","180631.26249000002","9294.5824599999996","9236.0652699999991","58.517189999999999","-","0","299498.12199999997","224906.08868000002","223356.98057000001"
2005-09-01,"1349987.5743800001","4431.0056500000001","4179.6296700000003","251.37598","0","283605.28860999999","75475.697100000005","208129.59151","0","0","1048392.68661","50133.908880000003","998258.77772999997","0","0","13558.593509999999","4478.8599999999997","9079.73351","-","329289.87426000001","0","152498.56294","176791.31132000001","12526.705029999999","12475.689779999999","51.015250000000002","-","0","307854.90998","228281.62244000004","238527.84758"
2005-10-01,"1381329.97903","1092.0026899999998","270.43134999999995","821.57133999999996","0","298842.70257999998","82035.244500000001","216807.45807999998","0","0","1067112.1969300001","56561.246760000002","1010231.92233","319.02784000000003","0","14283.07683","5354.14984","8928.9269899999999","-","357784.49090999999","0","170915.85311","186868.6378","9767.4609899999978","9717.9275499999985","49.533439999999999","-","0","319623.19199999998","229874.92270000002","248166.25056000001"
2005-11-01,"1386432.9410300001","8165.92814","5913.7879199999998","2252.1402200000002","0","302791.80893","93709.158370000005","209082.65056000001","0","0","1060369.3627300002","61840.819680000008","998209.51520999998","319.02784000000003","0","15105.841230000002","6045.5417200000002","9060.2995100000007","-","344860.37521999999","0","137632.95293999999","207227.42228","12627.3266","12580.7037","46.622900000000001","-","3200","360663.19199999998","237521.5669899999","259403.74085"
2005-12-01,"1399794.4276100006","908.52153999999996","409.61399","498.90755000000001","0","323575.14644000004","115273.36140000001","208301.78504000002","0","0","1057773.9897400003","66564.810740000001","988349.69082000013","319.02784000000003","2540.4603399999996","17536.769889999996","8916.3068799999983","8620.4630099999995","-","345764.52886000002","0","117709.55138","228054.97748","22948.72567","22899.587289999999","49.138379999999998","-","17200","368679.19199999998","219782.19501999998","269419.39455999999"
