"MES","SFBA01","SFBA02","SFBA03","SFBA04","SFBA05","SFBA06","SFBA07","SFBA08","SFBA09","SFBA10","SFBA11","SFBA12","SFBA13","SFBA14","SFBA15"
2005-09-01,"205362.51163999998","25032.772390000002","33466.927859999996","146862.81138999999","182849.54965999996","1918724.3356599996","1916492.8667599997","1866293.8200799997","0","27621.40985","22577.636830000003","2231.4689000000003","3186.0345499999999","156346.25263000003","2466468.6841399996"
2005-10-01,"218932.96503999998","28081.840969999997","40407.151009999994","150443.97305999999","194732.97558","1965053.4626200004","1962827.5030600003","1914959.6915400003","0","26941.019089999994","20926.792429999998","2225.9595600000002","2261.9449500000001","165564.94804000008","2546546.2962300004"
2005-11-01,"207552.72252000001","31574.067230000001","36211.885019999987","139766.77027000001","188352.59682999997","2041480.6889899997","2039247.3567099997","1990678.0625199997","0","26549.341440000004","22019.952749999997","2233.3322800000001","1326.06918","165997.06517000002","2604709.1426899997"
2005-12-01,"209354.49171999999","32691.474340000001","43219.611669999984","133443.40571000002","194039.17475000001","2068817.8671499998","2066577.5865199999","2023759.5142199998","0","22890.731170000003","19927.341129999997","2240.2806300000002","8738.5917399999998","162638.33842000001","2643588.4637799999"
2006-01-01,"232661.99418000001","48575.647739999993","40831.706310000001","143254.64013000001","226627.44422","2072503.5470499995","2070264.3719999995","2028463.1273599996","0","22682.784540000001","19118.4601","2239.1750499999998","11264.474400000001","165328.52464999998","2708385.9844999998"
2006-02-01,"241723.89620999998","37032.588969999997","41141.354489999998","163549.95274999997","214993.89823000002","2113060.1589599997","2110823.7126099998","2058820.0160699999","0","32452.843909999996","19550.852630000001","2236.4463500000002","11742.45751","160308.62300000005","2741829.0339099998"
2006-03-01,"240801.81044999999","37360.949000000001","47021.30189000001","156419.55955999999","205236.50151","2157720.5253800005","2155489.6561000003","2103385.8363800002","0","32321.257750000001","19782.561969999995","2230.8692800000003","13150.60254","166588.44075999997","2783497.8806400006"
2006-04-01,"330758.94793000002","40116.731390000001","50593.809739999997","240048.4068","209116.05098000003","2186596.76523","2184367.8883699998","2134751.08445","0","28532.20191","21084.602009999999","2228.8768599999999","13240.85483","170700.40258000008","2910413.0215500002"
2006-05-01,"310914.1447","43632.285349999998","46794.950260000005","220486.90909","199672.55361999996","2231899.6179599995","2229670.8147099996","2177127.3391399998","0","30957.926240000001","21585.549330000002","2228.8032499999999","8262.4528100000007","174489.28100000005","2925238.0500899996"
2006-06-01,"349691.24314999999","43423.177859999996","50285.263399999996","255982.80189","206627.37362","2259054.4693899993","2256434.1173399994","2206868.0570199997","0","28591.847099999999","20974.213219999998","2620.35205","10551.656739999999","172942.51375999994","2998867.2566599995"
