"MES","SEMI01","SEMI02","SEMI03","SEMI04","SEMI05","SEMI06","SEMI07","SEMI08","SEMI09"
2002-09-01,"72.598335854765509","81.358120320165241","91.258278145695371","91.956521739130437","65.225066195939988","127.99310938845822","90.722189648074448","112.35112896601956","119.21319292668389"
2002-10-01,"77.571860816944024","81.332300542215336","243.97350993377484","93.043478260869563","67.255075022065313","126.44272179155899","90.872515874699033","114.5389052453416","63.779058215775876"
2002-11-01,"79.841149773071109","81.383940098115161","419.60264900662253","91.304347826086953","67.343336275375108","131.8690783807063","88.464801207599891","113.23765883766801","18.756209020464933"
2002-12-01,"80.408472012102877","81.487219209914798","393.7748344370861","99.347826086956516","68.314210061782873","138.32902670111972","90.798912162077869","114.91157504408233","62.447844228094574"
2003-01-01,"80.824508320726167","81.30648076426543","468.60927152317879","95.869565217391298","70.78552515445719","136.95090439276487","93.007023540712837","123.27450423782169","44.645340751043115"
2003-02-01,"83.98260211800303","81.151562096565968","379.07284768211923","98.695652173913047","69.461606354810243","144.18604651162789","95.487094399880235","130.60377334984355","34.730776872640575"
2003-03-01,"86.705748865355517","91.64359426126353","314.3046357615894","103.04347826086956","68.490732568402478","144.35831180017226","92.819895457777662","125.32327044416927","83.012120007947544"
2003-04-01,"86.365355521936465","97.805318874257679","324.50331125827813","96.956521739130437","67.519858781994699","140.39621016365203","89.714193041330361","117.97307807478445","31.074905622888934"
2003-05-01,"87.537821482602112","105.29305447973148","351.52317880794703","98.043478260869563","67.255075022065313","137.72609819121448","93.62516997467533","120.83418057138179","44.307570037750843"
2003-06-01,"89.67473524962179","106.73896204492641","329.93377483443709","100.65217391304348","69.814651368049425","144.35831180017226","92.068888084931203","129.56737689315992","41.545797734949332"
2003-07-01,"88.502269288956128","106.73896204492641","327.68211920529802","107.39130434782609","70.873786407766985","144.6167097329888","92.580995271897109","124.99826473782636","61.951122590900063"
2003-08-01,"89.920574886535547","106.7131422669765","304.63576158940396","111.73913043478261","73.080317740511916","149.78466838931956","97.040257488242119","126.80085730850158","70.554341347109073"
2003-09-01,"91.811649016641454","106.73896204492641","300.92715231788077","109.1304347826087","71.579876434245364","150.64599483204134","101.26436208036527","132.64112687035677","75.32286906417643"
2003-10-01,"95.574886535552196","93.5708752904725","304.63576158940396","115.43478260869566","74.404236540158877","155.72782084409991","101.86940954852231","135.36531050736841","98.410490760977552"
2003-11-01,"99.149016641452349","106.73896204492641","339.20529801324506","132.17391304347825","40.51191526919682","166.66666666666666","101.22880774460759","137.51894884046666","105.00695410292073"
2003-12-01,"104.87897125567322","106.73896204492641","282.64900662251654","137.60869565217391","82.082965578111214","178.46683893195521","101.17329308000349","136.5121185815878","120.10729187363401"
2004-01-01,"119.36459909228442","106.73896204492641","278.94039735099335","162.39130434782609","87.466902030008825","185.44358311800173","120.07510073728464","149.97098997596885","114.44466520961653"
2004-02-01,"122.44704992435703","106.76478182287633","364.10596026490066","169.78260869565219","90.64430714916152",,"126.12495165857858","145.1129010513464","30.240413272402147"
2004-03-01,"131.24054462934947","107.77175316292279","375.76158940397352","196.7391304347826","97.263901147396297","252.19638242894058","133.43604585885552","142.9814651752904","100.63580369560898"
2004-04-01,"157.26172465960667","116.91195455719081","379.20529801324506","193.47826086956522","96.028243601059131","258.74246339362617","149.81723823899998","148.7006223362057","98.311146433538639"
2004-05-01,"170.53706505295008","124.19313193906532","520.5298013245033","161.7391304347826","90.467784642541929","245.0473729543497","126.85974126423733","138.1062349749655","96.24478442280946"
2004-06-01,"180.5786686838124","136.12186935192358","362.51655629139071","179.78260869565219","91.70344218887908","233.59173126614988","117.54201025461894","138.6037769093557","99.264851976952116"
2004-07-01,"170.87745839636915","139.6849987090111","417.21854304635764","200.21739130434781","88.349514563106794","227.82084409991387","121.4305318180117","142.56382316521609","59.030399364196306"
