"MES","SEPL01","SEPL02","SEPL03","SEPL04","SEPL05","SEPL06","SEPL07","SEPL08","SEPL09","SEPL10","SEPL11"
2004-06-01,"6155.7","400.11791383219952","1744.22","677.23","3775.03","16.899999999999999","448","166263.98000000001","8721.9","19036.874086167812","206792.40000000002"
2004-07-01,"11048.4","584.78004535147397","1874.55","974.65","4797.91","14.61","314.13","112319.06","10412.1","23405.2258246485","165431.59999999998"
2004-08-01,"24902.1","661.70975056689338","1931.53","749.5","5198.3999999999996","29.24","458","113072.37","20052.400000000001","27488.692249433094","194086.39999999997"
2004-09-01,"29779.200000000001","592.97002267573691","2276.75","689.39","4565.6000000000004","22.83","803","74887.42","15851.2","36211.036977324286","164877.20000000001"
2004-10-01,"8978.6","793.81999999999994","1020.01","1127.5","6106.4","16.8","762.71","46939.7","10845.8","36079.707289999998","111909.1"
2004-11-01,"10644","622.35002267573691","808","801.1","5461.4","15.7","687.01","65725.399999999994","12304.7","38840.462967324311","135223.80000000005"
2004-12-01,"7882.5","910.45999999999992","780.23","841.2","6557.5","8.4","450.25","103581","16936.2","27294.159750000013","164792.10000000003"
2005-01-01,"4254","674.51749999999993","112.06","878.56968999999992","3691.0259599999999","6.6011400000000009","346.15","85945.131999999998","13217.213","16751.321180000024","125530.78662000003"
2005-02-01,"1437.78","488.63150000000002","186.85599999999999","619.23080000000004","3989.4644699999999","10.665859999999999","327.94","97997.972999999998","16885.983","17834.627470000054","139451.54004000005"
2005-03-01,"1307","396.2","847.58400000000006","800.62477999999999","4394.5888000000004","12.925000000000001","531.16999999999996","56906.457679999992","7890.71","21501.950108500027","94058.571538500022"
2005-04-01,"307.08147000000002","241.94999999999996","1349.5360000000001","813.59270000000004","4308.6286300000002","22.88897","480.2","68350.489000000016","15099.706","17838.896869999957","108333.24983999997"
2005-05-01,"3678.5","186.42","1617.83","843.38969999999995","3832.9432000000002","11.797800000000002","345.49","141400.57800000001","14838.095600000001","20383.967074099935","186793.86686409995"
2005-06-01,"4088.0039999999999","196.39574999999999","1825.9639999999999","748.64260000000002","5300.1421","18.706039999999998","334.88","85800.042999999991","7290.7049999999999","17818.192539999985","123087.12990999997"
2005-07-01,"7732.5","661.77","2565.6372000000001","723.5992","5913.4760500000002","18.888210000000001","519.28","92498.732000000004","21495.663999999997","27537.268792000024","159148.05473200002"
2005-08-01,"9301.8918699999995","571.12","1637.3996","722.4615","6539.0298700000003","39.194520000000004","853.53","83116.815000000002","8917.6609999999982","33391.703069999967","144238.12995999996"
2005-09-01,"11917.68","475.85","1638.729","599.36599999999999","7136.3552","151.42950999999999","982.22","46812.803999999996","8816.3960000000006","43302.53763020003","120852.12956020002"
2005-10-01,"6463.5","434.14","1033.7550000000001","858.226","6805.4820200000004","19.878230000000002","543.42999999999995","54369.061999999998","5291.6949999999997","37291.838879999988","112568.12055999998"
2005-11-01,"4173.4824500000004","326.7","739.14","954.41938999999991","8729.9596600000004","16.707259999999998","461.26","38104.840999999906","5597.8644299999996","38363.472299999979","97007.047749999881"
2005-12-01,"3033.38375","396.95699999999994","997.72","924.63549999999998","7953.7406799999999","12.390280000000001","434.64","64591.199999999997","5526.3190000000004","24096.404102084016","107533.18495208402"
2006-01-01,"1014","369.80399999999997","550.13200000000006","1034.2080000000001","4968.1207000000004","3.7489400000000002","259.63","64108.654999999999","5368.9000000000005","32985.578253151973","110403.40652315198"
2006-02-01,"430.52800000000002","200.96999999999997","532.53","1029.6548","5536.8558100000009","2.9532899999999995","344.41000000000008","45756.747000000003","4385.95","32885.167282360002","90761.700592360023"
2006-03-01,"288","73.719999999999985","1548.348","1102.8315","4106.2578599999997","12.622800000000002","395.3","44538.626000000004","6846.12","44982.375799359987","103499.29725935998"
2006-04-01,"170.26","33.599999999999994","695.87200000000007","1001.5400000000001","3419.9958600000004","10.558430000000001","323.58000000000004","84350.608630000002","10504.97","36336.912226799963","136524.64072679999"
2006-05-01,"3861.8609999999999","293.2","1801.616","1158.6275000000001","4927.2279600000002","15.985039999999996","320.77","84415.665999999997","8885.6080000000002","38270.450991599995","143630.56326160001"
2006-06-01,"3332.2861000000003","406.89999999999992","1534.38","1182.1234999999999","5836.249209999999","17.142790000000005","417.34","94048.974000000002","10822.14","43354.44010719996","160535.05304719997"
2006-07-01,"5198.6000000000004","797.19999999999993","2067.0880000000002","1046.3541","7545.5341100000005","6.0412500000000007","364.28","95863.304000000004","9925.8780000000006","45066.65305359997","167517.01679359999"
2006-08-01,"4941.8392000000003","636.63999999999987","2216.51305","1004.2127999999999","6924.2872799999996","5.9646700000000008","548.54","77793.437999999995","11448.368","55641.84547832","160613.65701831999"
2006-09-01,"3005.09","699.45999999999992","1972.0740000000001","849.04469999999981","8855.7129999999997","6.3459800000000017","564.9","71953.296999999991","5593.241","70081.25024848005","163016.08082848002"
2006-10-01,"11471.58784","715.95999999999992","1613.88996","1019.7105","9421.6583800000008","7.3821900000000005","706.26","67192.67","13251.471","87441.668250479997","192136.70438047999"
2006-11-01,"2323.1","551.59299999999996","1424.8918799999999","969.68700000000001","9008.1359000000011","13.630210000000002","532.27","62610.728999999999","7930.6","72702.553669484041","157535.45292948405"
2006-12-01,"2688.8745199999998","772.94199999999989","1283.8349599999999","788.46749999999997","9419.7586599999995","12.9559","251.58","46605.637000000002","5492.62","90726.63212309606","157791.97424309608"
2007-01-01,"1511.6279999999999","608.94200000000001","1477.9443600000002","933.35050000000012","8004.0489699999998","6.4586300000000012","313.94","69771.743999999992","4768.4949999999999","53538.922051096","140621.84745109599"
2007-02-01,"1229","367.7","1088.472","619.89","6583.2767299999996","8.8469200000000008","260.45","23122.536","3893.672","63680.652827600039","100594.30692760002"
2007-03-01,"3394.4900000000002","381.15999999999997","1016.048","975.11999999999989","7846.2671399999999","9.373149999999999","459.84999999999997","27611.093000000001","8013.5230000000001","49542.695238079999","98790.229378079996"
2007-04-01,"6308.5","96.654999999999987","1429.576","839.59800000000007","5774.2447499999998","9.2542099999999969","204.51000000000002","49696.476999999999","5711.9189999999999","61842.934141140009","131709.36261114001"
