"MES","BCXP01","BCXP02","BCXP03","BCXP04","BCXP05","BCXP06","BCXP07","BCXP08","BCXP09","BCXP10","BCXP11","BCXP12","BCXP13","BCXP14","BCXP15","BCXP16","BCXP17","BCXP18","BCXP19","BCXP20","BCXP21","BCXP22","BCXP23","BCXP24","BCXP25","BCXP26","BCXP27","BCXP28","BCXP29","BCXP30","BCXP31","BCXP32","BCXP33","BCXP34"
2001-08-01,"21112890","4787090","1126907","3660183","0",,"16325800","4739045","273120","4465925","0",,"11386735","104067","11001398","281270",,"200020","37094","162065","861",,"5360930","3216689","820296","1323945","90021","77603","12418","0","715945","1021726","5919480","1164608"
2001-09-01,"20981117","4675125","1024809","3650316","0",,"16305992","4690958","271186","4419772","0",,"11398737","113857","10924121","360759",,"216297","48831","166600","866",,"5505481","3215583","874268","1415630","80776","79965","811","0","658328","1005220","5984447","1202188"
2001-10-01,"21099484","4802705","1097901","3704804","0",,"16296779","4878109","254533","4623576","0",,"11202673","134300","10563045","505328",,"215997","39008","176115","874",,"5906428","3246019","905558","1754851","65564","64730","834","0","567661","972054","6004465","1212184"
2001-11-01,"21238469","4996271","1052866","3943405","0",,"16242198","5342072","283142","5058930","0",,"10681564","123118","10152073","406373",,"218562","45163","172522","877",,"6071747","3202772","891399","1977576","116322","80144","36178","0","483470","965457","6022057","1244056"
2001-12-01,"21417553","5133629","1309999","3823630","0",,"16283924","5522097","387463","5134634","0",,"10561365","94192","10069295","397878",,"200462","43192","156393","877",,"6626564","3213551","958544","2454469","138654","80380","58274","0","527266","935737","6091448","1191436"
2002-01-01,"21384458","5405540","1122206","4283334","0",,"15978918","5708305","267522","5440783","0",,"10077625","95877","9579111","402637",,"192988","44655","147445","888",,"6567492","3214976","920817","2431699","68437","67755","682","0","331481","876558","6150750","1200071"
2002-02-01,"21160547","5433493","1139008","4294485","0",,"15727054","5581606","254376","5327230","0",,"9941726","93740","9432310","415676",,"203722","43056","159769","897",,"6619774","3231375","911020","2477379","74414","73916","498","0","242380","846256","6160447","1222544"
2002-03-01,"20730773","4961825","1006916","3954909","0",,"15768948","5541556","242890","5298666","0",,"10036754","99010","9533737","404007",,"190638","37165","152570","903",,"6907386","3305113","1080334","2521939","60973","60414","559","0","197623","835849","6255978","1239493"
2002-04-01,"20816086","5118575","989291","4129284","0",,"15697511","5497318","235697","5261621","0",,"9989567","99544","9460091","408212","21720","210626","46887","162832","907",,"6859482","3241486","1115400","2502596","246834","246373","461","0","171813","808612","6450147","1210675"
2002-05-01,"20391122","4995544","973143","4022401","0",,"15395578","5351920","262891","5089029","0",,"9827650","95901","9292777","392687","46285","216008","40727","174370","911",,"6667008","3219446","960989","2486573","80496","79604","892","0","267898","799735","6422145","1247494"
2002-06-01,"19996625","5144976","1084845","4060131","0",,"14851649","5137893","246430","4891463","0",,"9494783","92501","8998130","381276","22876","218973","39985","178067","921",,"6795658","3371804","893209","2530645","65070","64556","514","0","519929","792005","6800038","1321157"
2002-07-01,"17658108","4459846","932574","3527272","0",,"13198262","4173641","229042","3944599","0",,"8811441","71050","8377469","340589","22333","213180","30187","182063","930",,"7666474","4256482","847761","2562231","58136","57562","574","0","836107","787903","7061577","1369509"
2002-08-01,"18135489","4641885","998645","3643240","0",,"13493604","4334713","293928","4040785","0",,"8951573","58210","8537381","333672","22310","207318","36756","169624","938",,"7107425","3710759","770582","2626084","86895","86424","471","0","792054","744103","7034258","1385380"
2002-09-01,"18819070","4709569","1074340","3635229","0",,"14109501","4483109","268550","4214559","0",,"9431060","37810","9072433","298557","22260","195332","39796","154591","945",,"6942642","3449249","844440","2648953","75370","74902","468","0","761256","732165","6694066","1440678"
2002-10-01,"19377792","4881485","1034479","3847006","0",,"14496307","4517810","273372","4244438","0",,"9770088","62356","9448486","258968","278","208409","36258","171200","951",,"6743697","3211391","883356","2648950","73678","73183","495","0","692342","702265","6786225","1457473"
2002-11-01,"19694693","5033115","970069","4063046","0",,"14661578","4625266","303757","4321509","0",,"9793646","42160","9501711","249707","68","242666","41282","200427","957",,"6694003","3191506","833435","2669062","65337","64907","430","0","633418","667593","6662574","1482570"
2002-12-01,"20515230","5433488","1227190","4206298","0",,"15081742","4881322","322529","4558793","0",,"9969352","52180","9666038","234986","16148","231068","43803","186301","964",,"6768413","3152284","847647","2768482","97000","96131","869","0","682835","672544","6477919","1476091"
2003-01-01,"20766704.153999999","5377291.0730000008","1060205.7239999999","4317085.3490000004","0",,"15389413.080999998","5175560.2740000002","323046.527","4852513.7470000004","0",,"10031058.225999998","56057.953999999998","9717574.9039999992","222823.802","34601.565999999999","182794.58100000001","32861.550999999999","148962.802","970.22799999999995",,"6811087","3124794","922078","2764215","79824","79408","416","0","335915","664790","6559627","1503241"
2003-02-01,"19630855.431000002","4873755.4570000004","1003472.895","3870282.5619999999","0",,"14757099.974000001","4809949.5889999997","331106.908","4478842.6809999999","0",,"9771098.9550000019","56211.981","9433471.1860000007","222473.15900000001","58942.629000000001","176051.43","34804.216","140274.40900000001","972.80499999999995",,"6982945","3251274","963303","2768368","85059","84616","443","0","336364","652973","6637829","1510985"
2003-03-01,"19775484.077","5060563.9810000006","1050240.548","4010323.4330000002","0",,"14714920.096000001","4874421.2719999999","320380.18199999997","4554041.09","0",,"9585251.8080000002","55890.417999999998","9237690.1129999999","223142.66099999999","68528.615999999995","255247.016","35020.874000000003","219249.47099999999","976.67100000000005",,"6906543","3072869","1028445","2805229","94563","94082","481","0","344190","652336","6997072","1300481"
2003-04-01,"19818627.425999999","5119305.5580000002","964147.50699999998","4155158.051","0",,"14699321.868000001","5033002.193","313648.92099999997","4719353.2719999999","0",,"9468352.2930000015","58672.493999999999","9071236.7290000003","235408.53599999999","103034.534","197967.38200000001","40829.300999999999","156160.122","977.95899999999995",,"6955054","3062010","1100511","2792533","222249","221842","407","0","288146","631245","7073866","1175868"
2003-05-01,"20272674.588999998","5381236.8739999998","1032010.899","4349225.9749999996","0",,"14891437.714999998","5251295.2939999998","327949.62199999997","4923345.6720000003","0",,"9464924.5149999987","96937.077000000005","9033689.7579999994","240531.21299999999","93766.467000000004","175217.90600000002","34791.298000000003","139406.076","1020.532",,"6924489","3060297","1094277","2769915","70226","69841","385","0","309679","627345","6960495","1171362"
2003-06-01,"20504063.441000003","5503736.8590000002","1138279.7290000001","4365457.13","0",,"15000326.582000002","5347181.8290000008","324042.78100000002","5023139.0480000004","0",,"9453812.529000001","138357.57199999999","8978906.7190000005","230087.78400000001","106460.454","199332.22400000002","41237.25","157075.14300000001","1019.831",,"6763118","3017690","986196","2759232","72169","71751","418","0","313943","616192","6889123","1191441"
2003-07-01,"20908535.784000002","5866214.0020000003","1158507.5959999999","4707706.4060000004","0",,"15042321.782000002","5556921.0219999999","369593.32699999999","5187327.6950000003","0",,"9279471.5760000013","147569.04800000001","8862308.2670000009","207102.92800000001","62491.332999999999","205929.18400000001","38709.622000000003","166211.56","1008.002",,"6790662","3016429","1010882","2763351","73777","73311","466","0","239133","612880","6720488","1220381"
2003-08-01,"20984532.995000001","5914756.398","1136367.1810000001","4778389.2170000002","0",,"15069776.597000001","5616787.6940000001","384770.8","5232016.8940000003","0",,"9258946.4080000017","110198.8","8890955.1870000008","202470.84899999999","55321.572","194042.495","36226.974000000002","156802.79199999999","1012.729",,"6854791","3025909","1057387","2771495","69517","68572","945","0","187464","606104","6885868","1251578"
2003-09-01,"21214512.509","6088458.0279999999","1207161.7860000001","4881296.2419999996","0",,"15126054.481000001","5756354.5800000001","354753.571","5401601.0089999996","0",,"9096527.1960000005","85823.438999999998","8798735.3169999998","141422.016","70546.423999999999","273172.70500000002","53583.803","218578.14600000001","1010.756",,"6655065","3033048","854474","2767543","59606","58727","879","0","192677","594974","6909128","1272405"
2003-10-01,"19730837.818000004","5471571.9340000004","1182678.723","4288893.2110000001","0",,"14259265.884000001","5414707.6349999998","384291.33600000001","5030416.2989999996","0",,"8633396.4170000013","73750.385999999999","8356694.1749999998","132202.38","70749.475999999995","211161.83199999997","42803.245999999999","167344.19099999999","1014.395",,"6798675","3265784","775507","2757384","64350","63249","1101","0","157006","602010","7081508","1290482"
2003-11-01,"19951746.317999996","5781404.8149999995","1247795.1850000001","4533609.63","0",,"14170341.502999999","5506335.0559999999","356848.967","5149486.0889999997","0",,"8435951.3959999997","65558.097999999998","8179273.8880000003","127931.857","63187.553","228055.05099999998","49523.057000000001","177510.87899999999","1021.115",,"6448412","3063901","764096","2620415","69664","68878","786","0","151143","590494","6970650","1364297"
2003-12-01,"20572349.124000002","6007369.9990000008","1334947.6780000001","4672422.3210000005","0",,"14564979.125","6032206.148","439296.62599999999","5592909.5219999999","0",,"8343613.2710000006","59220.192000000003","8120558.7280000001","116528.94","47305.411","189159.70600000001","50147.817000000003","137986.05499999999","1025.8340000000001",,"6389863","3046354","708860","2634649","71310","70162","1148","0","242858","595472","7147325","1308871"
2004-01-01,"20428567.894000001","6184829.966","1187580.051","4997249.915","0",,"14243737.928000001","5993199.1500000004","365846.77399999998","5627352.3760000002","0",,"8039464.5600000005","38705.101999999999","7884712.1069999998","99822.024999999994","16225.325999999999","211074.21800000002","34725.879000000001","175330.42800000001","1017.9109999999999",,"6312845","3042187","660249","2610409","80549","79794","755","0","99822","603718","7168123","1259583"
2004-02-01,"19736450.523000002","5920651.6799999997","1266062.0630000001","4654589.6169999996","0",,"13815798.843","5719790.8250000002","362951.94","5356838.8849999998","0",,"7891033.5489999996","41692.675000000003","7739476.4079999998","92951.326000000001","16913.14","204974.46900000001","37362.788999999997","166592.64300000001","1019.037",,"6399181","3038566","750850","2609765","74966","74191","775","0","110460","588709","7020276","1266700"
2004-03-01,"19578204.107000001","6164649.1620000005","1191028.9750000001","4973620.1869999999","0",,"13413554.945","5466948.2590000005","357098.19","5109850.0690000001","0",,"7751436.1979999999","32800.012999999999","7634955.5609999998","82974.168000000005","706.45600000000002","195170.48799999998","34941.892","159207.37299999999","1021.223",,"6421282","3065356","740083","2615843","137483","136577","906","0","175288","649630","7073845","1205857"
2004-04-01,"18825848.541999999","5817666.5609999998","1127609.7150000001","4690056.8459999999","0",,"13008181.981000001","5179199.2760000005","364906.43099999998","4811820.6560000004","0","2472.1889999999999","7630163.0750000002","32293.083999999999","7516883.6140000001","72943.297999999995","8043.0789999999997","198819.63","31470.194","166325.89799999999","1023.538",,"6662081","3368621","714088","2579372","188202","187519","683","0","186350","660224","6965783","1163182"
2004-05-01,"19365177.368000001","6203187.8789999997","1243209.817","4959978.0619999999","0",,"13161989.489","5161068.0940000005","352660.23499999999","4798690.2439999999","0","9717.6149999999998","7806804.0439999998","53751.423999999999","7620846.2800000003","71076.262000000002","61130.078000000001","194117.351","51399.578000000001","141688.09299999999","1029.68",,"6479230","3118182","756560","2604488","69413","68703","710","0","165099","657893","6936307","1202884"
2004-06-01,"18454966.355","5435995.4570000004","1301311.3810000001","4134684.0759999999","0",,"13018970.898","4280491.6620000005","448764.28600000002","3797300.2880000002","0","34427.088000000003","8535761.3719999995","99335.45","8345877.5329999998","58132.146999999997","32416.241999999998","202717.86399999997","34785.824999999997","166901.04199999999","1030.9970000000001",,"6768027","3312867","792420","2662740","133189","132243","946","0","285875","641073","6868781","1011884"
2004-07-01,"18567202.977000002","5229410.432000001","1253873.6299999999","3942598.4530000002","32938.349000000002",,"13337792.545","4279113.6349999998","572270.94299999997","3634653.2579999999","0","72189.433999999994","8871300.0940000005","119324.024","8660787.5059999991","55879.116000000002","35309.447999999997","187378.81600000002","35552.504999999997","150797.22200000001","1029.0889999999999",,"6504013","3109586","721185","2673242","93470","88400","5070","0","200309","667661","6989533","1013536"
2004-08-01,"19044938.510999996","5382260.642","1244880.1040000001","4098894.3259999999","38486.212",,"13662677.868999997","4291680.2790000001","617276.65500000003","3568819.44","0","105584.18399999999","9152109.8779999986","127634.06200000001","8897668.5399999991","55343.644","71463.631999999998","218887.712","39117.57","178738.01199999999","1032.1300000000001",,"6565753","3096573","778836","2690344","93813","88848","4965","0","212875","666330","7014345","979062"
2004-09-01,"19316175.650000002","5371236.8380000005","1278564.5490000001","4042006.091","50666.197999999997",,"13944938.812000001","4422164.9750000006","657819.74300000002","3632018.7340000002","8747.491","123579.007","9309892.9570000004","138806.889","8995867.5419999994","69360.989000000001","105857.537","212880.88","40721.252","171125.01699999999","1034.6110000000001",,"6552504","3099634","828086","2624784","75906","73431","2475","0","190871","664383","7069801","988062"
2004-10-01,"19353760.555","5348270.2460000003","1241265.1569999999","3970853.7170000002","136151.372",,"14005490.309","4503190.3459999999","693929.08499999996","3686115.443","11110.764999999999","112035.053","9298433.4849999994","160053.77799999999","8960159.5399999991","79472.501000000004","98747.665999999997","203866.478","46148.35","156684.057","1034.0709999999999",,"6402598","3001635","834741","2566222","95588","93997","1591","0","186608","648892","6954030","1011496"
