"MES","AMMC01","AMMC02","AMMC03","AMMC04","AMMC05","AMMC06","AMMC07","AMMC08","AMMC09","AMMC10","AMMC11","AMMC12","AMMC13","AMMC14","AMMC15","AMMC16","AMMC17","AMMC18","AMMC19","AMMC20","AMMC21","AMMC22","AMMC23","AMMC24","AMMC25","AMMC26","AMMC27","AMMC28","AMMC29","AMMC30","AMMC31","AMMC32","AMMC33","AMMC34","AMMC35","AMMC36"
2003-03-01,"2443955.645","272923","2171032.645","1054873.548","4014599.4330000002","0",,"5069472.9810000006","387987.18199999997","6916434.0899999999","243",,"7304664.2719999999","58174.417999999998","12160568.113","223748.66099999999","68528.615999999995","12511019.808","2443955.645","272923","2171032.645","1054873.548","4014599.4330000002","0",,"5069472.9810000006","387987.18199999997","6916434.0899999999","243",,"7304664.2719999999","58174.417999999998","12160568.113","223748.66099999999","68528.615999999995","12511019.808"
2003-04-01,"2510696.4700000002","222435","2288261.4700000002","971497.50699999998","4157772.051","0",,"5129269.5580000002","387687.92099999997","7141916.2719999999","223",,"7529827.193","61017.493999999999","12041566.494000001","236015.53599999999","103034.534","12441634.058000002","2510696.4700000002","222435","2288261.4700000002","971497.50699999998","4157772.051","0",,"5129269.5580000002","387687.92099999997","7141916.2719999999","223",,"7529827.193","61017.493999999999","12041566.494000001","236015.53599999999","103034.534","12441634.058000002"
2003-05-01,"2563887.0079999999","218798","2345089.0079999999","1036350.899","4351474.9749999996","0",,"5387825.8739999998","408879.62199999997","7426400.6720000003","205",,"7835485.2939999998","102966.077","12048915.613","241140.21299999999","93766.467000000004","12486788.369999999","2563887.0079999999","218798","2345089.0079999999","1036350.899","4351474.9749999996","0",,"5387825.8739999998","408879.62199999997","7426400.6720000003","205",,"7835485.2939999998","102966.077","12048915.613","241140.21299999999","93766.467000000004","12486788.369999999"
2003-06-01,"2658653.878","269508","2389145.878","1142394.7290000001","4367836.13","0",,"5510230.8590000002","409169.78100000002","7601527.0480000004","183",,"8010879.8290000008","143861.57199999999","12077258.210000001","230698.78400000001","106460.454","12558279.020000001","2658653.878","269508","2389145.878","1142394.7290000001","4367836.13","0",,"5510230.8590000002","409169.78100000002","7601527.0480000004","183",,"8010879.8290000008","143861.57199999999","12077258.210000001","230698.78400000001","106460.454","12558279.020000001"
2003-07-01,"2713210.9550000001","263979","2449231.9550000001","1163047.5959999999","4710442.4060000004","0",,"5873490.0020000003","461105.32699999999","7852842.6950000003","88",,"8314036.0219999999","153281.04800000001","12040934.393000001","207716.92800000001","62491.332999999999","12464423.702000001","2713210.9550000001","263979","2449231.9550000001","1163047.5959999999","4710442.4060000004","0",,"5873490.0020000003","461105.32699999999","7852842.6950000003","88",,"8314036.0219999999","153281.04800000001","12040934.393000001","207716.92800000001","62491.332999999999","12464423.702000001"
2003-08-01,"2739069.15","269842","2469227.15","1138386.1810000001","4780768.2170000002","0",,"5919154.398","455355.8","7966995.8940000003","89",,"8422440.6940000001","116422.8","12135552.494000001","203088.84899999999","55321.572","12510385.715000002","2739069.15","269842","2469227.15","1138386.1810000001","4780768.2170000002","0",,"5919154.398","455355.8","7966995.8940000003","89",,"8422440.6940000001","116422.8","12135552.494000001","203088.84899999999","55321.572","12510385.715000002"
2003-09-01,"2749365.3939999999","298380","2450985.3939999999","1210943.7860000001","4885350.2419999996","0",,"6096294.0279999999","428894.571","8177414.0089999996","69",,"8606377.5800000001","95303.438999999998","12038848.714","142040.016","70546.423999999999","12346738.593","2749365.3939999999","298380","2450985.3939999999","1210943.7860000001","4885350.2419999996","0",,"6096294.0279999999","428894.571","8177414.0089999996","69",,"8606377.5800000001","95303.438999999998","12038848.714","142040.016","70546.423999999999","12346738.593"
2003-10-01,"2882272.6970000002","258537","2623735.6970000002","1188077.723","4291566.2110000001","0",,"5479643.9340000004","462645.33600000001","7763150.2989999996","68",,"8225863.6349999998","83463.385999999999","11571446.662","132822.38","70749.475999999995","11858481.904000001","2882272.6970000002","258537","2623735.6970000002","1188077.723","4291566.2110000001","0",,"5479643.9340000004","462645.33600000001","7763150.2989999996","68",,"8225863.6349999998","83463.385999999999","11571446.662","132822.38","70749.475999999995","11858481.904000001"
2003-11-01,"2908994.0980000002","262697","2646297.0980000002","1251003.1850000001","4535754.63","0",,"5786757.8149999995","434857.967","7916813.0889999997","67",,"8351738.0559999999","74510.097999999998","11344206.466","128553.857","63187.553","11610457.973999999","2908994.0980000002","262697","2646297.0980000002","1251003.1850000001","4535754.63","0",,"5786757.8149999995","434857.967","7916813.0889999997","67",,"8351738.0559999999","74510.097999999998","11344206.466","128553.857","63187.553","11610457.973999999"
2003-12-01,"3524676.1239999998","331641","3193035.1239999998","1338696.6780000001","4674365.3210000005","0",,"6013061.9990000008","518907.62599999999","8493881.5219999999","64",,"9012853.148","69424.19200000001","11252520.030999999","117150.94","47305.411","11486400.573999999","3524676.1239999998","331641","3193035.1239999998","1338696.6780000001","4674365.3210000005","0",,"6013061.9990000008","518907.62599999999","8493881.5219999999","64",,"9012853.148","69424.19200000001","11252520.030999999","117150.94","47305.411","11486400.573999999"
