"MES","BCBP01","BCBP02","BCBP03","BCBP04","BCBP05","BCBP06","BCBP07","BCBP08","BCBP09","BCBP10","BCBP11","BCBP12","BCBP13","BCBP14","BCBP15","BCBP16","BCBP17","BCBP18","BCBP19","BCBP20","BCBP21","BCBP22","BCBP23","BCBP24","BCBP25","BCBP26","BCBP27","BCBP28","BCBP29","BCBP30","BCBP31","BCBP32"
2000-09-01,"5584738.3279999997","1754862.328","3829876","1011744","2818132","0",,"16814813.351793502","4256200","260565","3995635","0",,"12159930","132303","11911845","115782",,"398683.35179350001","38840","359019.35179350001","824",,"4733720.7315175002","2367884.89",,"2083522.0295175","282313.81199999998","159783.677","3898132.2827199996","7428779.5162064992","5421370.9139999999"
2000-10-01,"5569657.8890000004","1789934.889","3779723","906455","2873268","0",,"16535485.106906001","4149975","223437","3926538","0",,"12010868","132501","11758204","120163",,"374642.106906","42339","331491.106906","812",,"5093247.0420749998","2712372.477",,"2116847.1530749998","264027.41199999995","157265.57999999999","3818541.1644000001","7223067.9220940005","5509223.8790000007"
2000-11-01,"5686180.8760000002","1725044.8759999999","3961136","933912","3027224","0",,"16388058.3393308","4156034","241727","3914307","0",,"11864332","126159","11625396","112777",,"367692.33933079999","38507","328368.33933079999","817",,"5071780.2284850003","2785397.9670000002",,"2041163.3264850001","245218.935","157506.73800000001","3673623.1743200002","7510994.5656692004","5544153.3270000005"
2000-12-01,"6419808.057","2189220.057","4230588","1111815","3118773","0",,"16730728.571755599","4515872","284788","4231084","0",,"11855917","120212","11619934","115771",,"358939.57175559999","38099","320018.57175559999","822",,"4572398.9228949994","2188705.1880000001",,"2138383.9478949998","245309.78700000001","161091.01999999999","3698504.4022399997","7441607.1872444004","5586617.0420000004"
2001-01-01,"6034378.9570000004","1845289.9569999999","4189089","1004639","3184450","0",,"16713645.9960742","4509098","252376","4256722","0",,"11834941","130169","11587830","116942",,"369606.99607420003","38677","330103.99607420003","826",,"4879900.7414524993","2629833.6369999996",,"1998187.7334524998","251879.37099999998","162574.54399999999","3733014.2631800002","7384455.6939257998","5604284.3220000006"
2001-02-01,"6295363.2719999999","1854439.2720000001","4440924","1254591","3186333","0",,"17343223.823784702","4551892","238499","4313393","0",,"12399318","140975","12141225","117118",,"392013.82378470001","40873","350312.82378470001","828",,"4672489.3891575001","2611105.5319999997",,"1806322.9641575001","255060.89299999998","164261.61499999999","3707283.6250200002","7506278.2292152997","5686265.3739999998"
2001-03-01,"6194529.8810000001","1777422.8810000001","4417107","1117603","3299504","0",,"17074199.698784702","4550928","257640","4293288","0",,"12184887","133253","11936265","115369",,"338384.69878470001","41609","295941.69878470001","834",,"4587944.4408799997","2517922.7329999995",,"1821154.3968799999","248867.31099999999","169144.18700000001","3671899.7754199998","7610198.5532153007","5659600.7120000003"
2001-04-01,"5899437.8100000005","1812252.81","4087185","1032318","3054867","0",,"17119547.86662","4409850","231091","4178759","0",,"12339596","131042","11910523","298031",,"370101.86661999999","83913","285350.86661999999","838",,"4991745.0870000003","2802618.9939999999",,"1943297.2440000002","245828.84899999999","170693.99100000001","3580544.6605000002","7676391.3643800002","5658370.415"
2001-05-01,"6193434.4929999998","1796535.493","4396899","1000171","3396728","0",,"17224413.846492998","4657056","252101","4404955","0",,"12256193","133046","11831525","291622",,"311164.84649299999","40804","269516.84649299999","844",,"4809023.9041999998","2695132.963",,"1857574.5902","256316.351","174687.598","3560173.6397000002","7685598.5935070002","5783865.9100000001"
2001-06-01,"6453767.5830000006","1916675.5830000001","4537092","969417","3567675","0",,"16825287.7923548","4531907","247506","4284401","0",,"11959852","118291","11548044","293517",,"333528.79235479998","53212","279468.79235479998","848",,"5188788.6583200004","2508583.6770000001",,"2421573.0413199998","258631.94","172666.13","3494523.6270000003","7718527.8886452001","5814926.3449999997"
