"MES","SEHV01","SEHV02","SEHV03","SEHV04","SEHV05","SEHV06","SEHV07","SEHV08","SEHV09","SEHV10","SEHV11","SEHV12","SEHV13"
2002-02-01,"135.77504999999999","3940.75","10.193182193182194","233.17","362.92839310433448","18284.11",,,,,,,"22458.03"
2002-03-01,"169.98579000000001","4934.1000000000004","2.6730026730026735","59.93","386.03028728126401","19502.509999999998",,,,,,,"24496.54"
2002-04-01,,,"6.7873147873147879","184.13","394.74492716836556","19412.59",,,,,,,"19596.72"
2002-05-01,"310.59206999999998","8799.3700000000008","7.3226413226413234","210.04","373.5957284899236","18607.259999999998",,,,,,,"27616.67"
2002-06-01,"194.37221","5210.3","11.675609675609676","349.58","395.34098633662489","19755.14",,,,,,,"25315.02"
2002-07-01,"218.62522000000001","5133.05","4.2170742170742184","124.48","414.38118326438018","22807.58",,,,,,,"28065.11"
2002-08-01,"231.00022999999999","6808.2","9.4164934164934184","275.04000000000002","449.1669697931938","24360.11",,,,,,,"31443.350000000002"
2002-09-01,"223.88297","6598.44","8.4064284064284056","253.03","455.94250602982515","25429.5",,,,,,,"32280.969999999998"
2002-10-01,"216.7276","6348.38","12.389268389268389","398.41","440.04230915756989","26711.51",,,,,,,"33458.299999999996"
2002-11-01,"141.32504","4134.76","7.4134574134574152","260.02","419.14172803244463","25326.400000000001",,,,,,,"29721.18"
2002-12-01,"211.19164000000001","6190.8","7.6003036003036","262.08999999999997","404.44214440171885","24406.58",,,,,,,"30859.47"
2003-01-01,"220.59700000000001","7458.442","16.589380589380589","556.54","410.18529483238501","25593.583999999999",,,,,,,"33608.565999999999"
2003-02-01,"230.19890000000001","8874.4","6.3960663960663977","290.52","355.72343941940608","21990.352999999999",,,,,,,"31155.273000000001"
2003-03-01,"230.30679000000001","8490.1","4.2669042669042678","185.73","400.38547936437499","24864.545999999998",,,,,,,"33540.375999999997"
2003-04-01,"231.60167999999999","6701.6","14.246312246312247","636.24","408.1557965012658","29522.623",,,,,,,"36860.463000000003"
2003-05-01,"237.01284000000001","7074.6210000000001","15.17968517968518","589.92999999999995","452.00724926877274","32052.574000000001",,,,,,,"39717.125"
2003-06-01,"440.29199999999997","13518.26","7.6932976932976924","305.43","462.42210809222951","34617.466",,,,,,,"48441.156000000003"
2003-07-01,"233.70375000000001","7114.1","13.495693495693496","543.13","485.55860484890309","35207.807000000001",,,,,,,"42865.036999999997"
2003-08-01,"142.59350000000001","4563.7","13.239613239613242","518.13","468.36826976284431","33335.476000000002",,,,,,,"38417.305999999997"
2003-09-01,"452.29379999999998","14928.5","2.4116424116424113","104.4","449.30730562397252","31054.553",,,,,,,"46087.453000000001"
2003-10-01,"173.21199999999999","5903.5","2.2136224136224132","107.3","538.99249180652248","38856.699999999997",,,,,,,"44867.5"
2003-11-01,"267.22120000000001","9123.9","8.7423687423687451","400.6","575.41934107513669","43173.599999999999",,,,,,,"52698.1"
2003-12-01,"53.852899999999998","2064.6999999999998","29.662409662409669","1248.3","542.9142100109284","39292.800000000003",,,,,,,"42605.8"
2004-01-01,"312.1465","11291.6","14.741774741774742","733","509.25959999999998","36282.050000000003",,,,,,,"48306.65"
2004-02-01,"48.991900000000001","2082.5","220.36564036564039","8325.9","566.65390000000002","41574.050000000003",,,,,,,"51982.450000000004"
2004-03-01,"259.94920000000002","10880.550000000001","267.2336072336073","10088.6","606.25490000000002","45812.84",,,,,,,"66781.989999999991"
2004-04-01,"48.512700000000002","2212.4","236.90591690591694","9577.0499999999993","609.31849999999997","44288.73",,,,,,,"56078.18"
2004-05-01,"509.24759999999998","21554.16","30.125070125070135","1409.15","656.05780000000004","48019.4",,,,,,,"70982.710000000006"
2004-06-01,"492.63900000000001","22526.400000000001","37.647097647097652","1942.56","731.71460000000002","52533.599999999999",,,,,,,"77002.559999999998"
2004-07-01,"411.14600000000002","18579.8","30.003630003630004","1567.9","788.1934","57947.3",,,,,,,"78095"
2004-08-01,"130.93510000000001","6221.1","50.650430650430657","2486","819.32280000000003","60501.3",,,,,,,"69208.400000000009"
2004-09-01,"713.80089999999996","34453.800000000003","50.391710391710404","2531.15","805.63310000000001","58858.1",,,,,,,"95843.05"
2004-10-01,"352.38350000000003","16956.5","56.437976437976438","2939.9","816.17460000000005","61587.7",,,,,,,"81484.100000000006"
2004-11-01,"13.6142","687.2","54.27977427977428","2904.6","750.90340000000003","56379.8",,,,,,,"59971.6"
2004-12-01,"535.92039999999997","24048.3","63.175923175923188","3134.35","754.65049999999997","55935.199999999997",,,,,,,"83117.849999999991"
2005-01-01,"317.68882288882293","16936.484","69.255499455499475","3509.0450000000001","759.64522169286977","65553.88119",,,,,,,"85999.410189999995"
2005-02-01,"367.00119460119464","21094.776000000002","67.034947034947038","3477.7489999999998","735.59500509542283","63595.404880000002",,,,,,,"88167.929879999996"
2005-03-01,"267.49111309111311","17015.157999999999","57.277807477807485","2972.924","880.65756193656296","76450.653730000005",,,,,,,"96438.73573"
2005-04-01,"396.17067485067486","23159.053899999999","28.187308187308187","1652.3367000000001","887.98166247228539","82305.499060000002",,,,,,,"107116.88966"
2005-05-01,"668.33221067221075","39175.923300000002","26.211926211926215","1812.9729","890.18034354070051","81977.76139",,,,,,,"122966.65758999999"
2005-06-01,"338.47960267960269","22473.375","26.805266805266811","1885.6901","807.79275485043672","74428.824989999994",,,,,,,"98787.890090000001"
2005-07-01,"315.8856218856219","20794.093000000001","27.667887667887673","1951.9740999999999","856.51566232498124","91852.46948",,,,,,,"114598.53658000001"
2005-08-01,"560.07293667293675","37757.457000000002","36.783255783255782","2609.2979999999998","930.54834694330771","101052.24507",,,,,,,"141419.00007000001"
2005-09-01,"95.84856284856285","6749.2749999999996","15.469167409167412","996.13900000000001","925.2357154058792","102310.66120999999",,,,,,,"110056.07520999998"
2005-10-01,"666.70641190641197","48599.705999999998","27.54188034188034","2224.623","906.81919453041678","116049.08365",,,,,,,"166873.41265000001"
2005-11-01,"566.15946869946879","37484.437400000003","35.555984555984558","2603.9","910.14642313209936","116301.63184",,,,,,,"156389.96924000001"
2005-12-01,"310.17779493779494","22462.990900000001","33.343519783519795","2345.9","901.47525395791672","113879.32506",,,,,,,"138688.21596"
2006-01-01,"445.99322311322317","30850.578800000003","2.8515712635712638","310.65947999999997","883.99463255298338","117487.44426",,,,,,,"148648.68254000001"
2006-02-01,"598.70351463551469","43179.103609999998","1.4540297660297663","158.38895000000002","883.13024612687946","115487.68922",,,,,,,"158825.18177999998"
2006-03-01,"335.68597643797648","23914.909780000002","3.3933379533379533","391.39886000000001","988.39883481174536","131060.47192",,,,,,,"155366.78055999998"
2006-04-01,"440.07857307857313","33227.123650000001","2.4681565521565525","292.07931000000002","770.48932090307142","110774.42178",,,,,,,"144293.62474"
2006-05-01,"236.15579975579979","18877.377960000002","1.268038214038214","151.75790000000001","968.10613803311708","138563.54566",,,,,,,"157592.68152000001"
2006-06-01,"234.71563871563873","19714.34204",,,"962.93495455377979","137435.95177000001",,,,,,,"157150.29381"
2006-07-01,"431.48183348183352","36595.871210000005","4.4270181170181173","546.81141000000002","998.58042569302461","156017.35378",,,,,,,"193160.03640000001"
2006-08-01,"310.36721618321621","25461.034199999998",,,"1030.7827481947843","164709.30862",,,,,,,"190170.34281999999"
2006-09-01,"455.20611160611168","33300.08988","2.8205348645348649","322.56844000000001","952.31467343132113","154584.03886999999",,,,,,,"188206.69718999998"
2006-10-01,"464.06752209352214","30918.236519999999","2.8571785631785631","382.19921000000005","966.457308239393","159131.15188999998",,,,,,,"190431.58761999998"
2006-11-01,"240.31655611655614","15548.54457","0.3541999141999142","44.517019999999995","856.73500435056951","137630.48054000002",,,,,,,"153223.54213000002"
2006-12-01,"460.11598191598193","31886.409340000002","1.2358876018876022","180.38660000000002","897.1625948818612","144880.30731999999",,,,,,,"176947.10326"
2007-01-01,"236.4726151866152","13969.796850000001","1.4258192258192259","181.27795","870.67508515113445","135197.14016000001","135.19714016","135.19714016",,,,,"149348.21496000001"
2007-02-01,"294.12505151305152","19809.948079999998","0.36214236214236217","53.169029999999999","851.85186805989406","134721.73538999999","134.72173538999999","134.72173538999999",,,,,"154584.85249999998"
2007-03-01,"508.08262449262452","35045.696320000003","2.1723113883113885","270.42396000000002","955.08177376336539","150282.61497","150.28261497","150.28261497",,,,,"185598.73524999997"
2007-04-01,"257.47669247269249","19648.828030000001","0.34867960267960274","41.203749999999999","932.39465782209675","138898.15171000001",,,,,,,"158588.18349"
2007-05-01,"249.5809721809722","18314.2003","4.1900683100683098","504.70828999999998","1022.979226448275","154824.48997",,,,,,,"173643.39856"
2007-06-01,"243.79163779163781","19191.892500000002","0.53798283998284002","63.080199999999998","1025.4928906483187","157235.76559",,,,,,,"176490.73829000001"
2007-07-01,"251.58489964689969","21933.24034",,,"1069.9400890545951","180529.83463999999",,,,,,,"202463.07497999998"
