"MES","SEMU01","SEMU02","SEMU03","SEMU04","SEMU05","SEMU06","SEMU07","SEMU08","SEMU09","SEMU10","SEMU11"
2002-04-01,"4014.1687994472609","3903.2094425488121","3958.6891209980367","2460.5374865703488","689.12639825134545","480.95483553717048","824.81453663807304","1611.6718975315976","146171.16588878204","9584045.5061326623","1209.8765432098767"
2002-05-01,"4079.94852286694","4065.0642402014842","4072.5063815342119","2607.3059360730595","689.39846598094744","462.97486479582204","815.39096105120495","1590.92215982059","146830.07681764572","9744993.211133739","1364.0661938534279"
2002-06-01,"4170.267197271176","4326.045590462506","4248.1563938668405","3143.3962264150941","689.11639167099077","455.81582373615055","774.13586803081421","1599.485526304941","151871.94768297093","10277645.23824876","1869.1588785046731"
2002-07-01,"4354.866870362287","4349.5322633060205","4352.1995668341533","2978.9614403686251","688.93705322064739","440.7943345111305","775.49548653420527","1635.8088574042051","157905.13833992093","7075527.7720844438","4237.8378378378384"
2002-08-01,"4127.1721958925746","4138.4483501316208","4132.8102730120972","3151.749326639685","688.928436504297","440.19299699856919","793.87678328558604","1516.3530836870036","157143.84398516529","10102350.348078476","1673.4693877551017"
2002-09-01,"3839.9395998489999","3838.6124618107801","3839.2760308298903","3150.9695290858726","688.90769058403851","422.92419879144563","739.1254885708945","1485.8199220808388","145443.90692425842","10100362.352752412","6000"
2002-10-01,"4092.2942969090118","4110.7568563586183","4101.525576633815","3149.9136701448842","1842.0111691948996","427.80510415983764","761.70822933183626","1467.9146185442057","145685.08929098819","10297043.046982398","3210"
2002-11-01,"4234.7266352965835","4208.8435294736446","4221.785082385114","3151.7369746453314","3167.595068044629","420.1265838776892","762.65643508265941","1531.23060096367","141825.3773057574","10180061.34969325","943.82022471910113"
2002-12-01,"4246.0027617789128","4257.4596116022658","4251.7311866905893","3156.1324499237876","2972.7428684981501","457.28339580245284","773.8090754491227","1606.2844413178568","145567.42285327785","10330545.655908788","3142.8571428571427"
2003-01-01,"4280.66609635439","4268.053588994524","4274.3598426744575","3149.4803394130099","3538.1459476891673","440.94590568906023","802.28734288219812","1589.5011683199834","149106.99136029487","11082373.032159923","2247.1264367816093"
2003-02-01,"4455.3487227447022","4426.9120985908212","4441.1304106677617","3142.5580177979409","2862.0364259181488","453.76950132167389","787.00945722723918","1673.918202673839","153082.98993416992","11741274.210161936","1747.8218526547384"
2003-03-01,"4583.1048077177084","4586.8770989860332","4584.9909533518712","3641.4208283934913","2372.7241298020731","473.92467450817998","776.01037169615256","1676.0961700149592","148807.01487041728","11266556.681593211","4177.7777777777783"
2003-04-01,"4572.9930142983385","4560.0819578898354","4566.5374860940865","3787.896615288073","2450.0667811486355","445.99730926291716","765.30041584117737","1630.1985219533399","143827.82844482706","10605775.372306449","1563.6363636363635"
2003-05-01,"4628.7824752316255","4629.5490036601177","4629.1657394458716","4077.9388919647595","2653.5392614095895","451.12755736146863","761.67201341002556","1598.6469516324694","150097.63861193467","10862988.037818782","2230.1163478236576"
2003-06-01,"4751.2841789218683","4732.2581144675914","4741.7711466947294","4133.6846060942207","2491.3174014946881","463.35966425256248","791.19005081035652","1675.6481952211489","147603.29381260806","11648102.423411066","2090.909090909091"
2003-07-01,"4677.0787046545902","4682.2991918936132","4679.6889482741017","4133.6746258760395","2474.27713445163","494.19862257841754","802.50153554078952","1679.1545074532689","148424.16986957344","11237339.028228268","3118.0733560765084"
2003-08-01,"4761.5312454163623","4749.2694036635194","4755.4003245399408","4132.6048907275017","2299.9564618422487","514.30018536922137","828.08648783740875","1739.089891831406","155572.93762073701","11399392.041267503","3550.8274231678488"
2003-09-01,"4856.0350200145804","4854.2775773721123","4855.1562986933459","4133.6135144577565","2271.5819303723711","501.78270223317543","810.69480970130519","1749.2271000794983","162344.62319400327","11924431.667988369","3790.8302606266034"
2003-10-01,"5032.5836850690548","5076.2069253723175","5054.3953052206862","3624.3120019715766","2299.9829028170684","531.23953294541934","842.74783941032479","1808.3276912660799","163314.72735079433","12169336.433299331","4952.5401476026937"
2003-11-01,"5231.9730258679938","5254.1941627891229","5243.0835943285583","4133.6540953699377","2561.4189797686313","607.82660692477998","458.02067556120954","1934.8075275933327","162287.55068587698","12362948.035123074","5285.1613577486669"
2003-12-01,"5559.5934564480704","5533.0470674887001","5546.3202619683852","4133.6727467605797","2134.1107291238036","632.55062019414709","929.58324901496292","2072.1940214326","162198.62444259695","12272434.210526315","6045.4955406353347"
2004-01-01,"6308.8742297146891","6316.0375968649632","6312.4559132898266","4134.1752871934032","2256.3631849405247","747.13906960056875","990.75901875901889","2153.3507748037832","192502.44903124604","13482386.054112947","5759.7133579666324"
2004-02-01,"6473.0596980470018","6476.7493302862595","6474.9045141666302","4134.8040874331737","2749.3207205393983","781.427955075932","1026.5792544282961",,"202200.78886205514","13045643.554781936","1522.4899598393572"
2004-03-01,"6891.4090626376174","6989.5000579803618","6940.45456030899","4174.4620428659346","2837.0553285096562","905.00452678746331","1102.1192522126337","2927.8350515463917","213921.96531791906","12854028.436018955","5064.7332988089074"
2004-04-01,"8174.9509395413861","8457.8756610983219","8316.4133003198549","4527.6153346328774","2863.1095870986042","890.41897636292776","1087.5796876474578","3003.5850324893568","240183.5544132349","13368179.734066943","4947.826086956522"
2004-05-01,"9005.347174788445","9030.7168502008499","9018.0320124946484","4810.1038383505647","3929.9418244832282","743.54420349073985","1025.478483481653","2845.0081452175941","203378.96228697849","12415744.680851063","4844.4444444444453"
2004-06-01,"9568.1102907331406","9530.158074077548","9549.1341824053452","5271.8226384722329","2737.3688426507383","826.75462536256009","1039.4178665714512","2711.7164309411555","188441.41245784724","12460474.308300395","4996.251171508904"
