"MES","BCPA01","BCPA02","BCPA03","BCPA04","BCPA05","BCPA06","BCPA07","BCPA08","BCPA09","BCPA10","BCPA11","BCPA12","BCPA13","BCPA14","BCPA15"
2007-09-01,"8584264.1678159107","652806.29128","6352115.5239354009","1579342.3526005086","5689306.2837206582","26657276.520422418","26484205.887702417","22207077.484078705","0","741925.05473796441","3535203.3488857504","173070.63271999999","1342338.4318959001","3426886.9594959118","45700072.363350794"
2007-10-01,"8889368.7975499984","672834.14360999991","6590524.3573699994","1626010.29657","5653923.2835192317","26798772.110784981","26626861.421354983","22422595.368414078","0","723179.5233166361","3481086.5296242712","171910.68943","1348997.8642549","3472711.269072562","46163773.32518167"
2007-11-01,"9069459.1484994907","701280.05752000003","6660617.7370299986","1707561.3539494919","5500767.5631442405","27038037.146008264","26870044.527238265","22702036.501599465","0","750527.82220149552","3417480.203437306","167992.61877","1284811.7879599999","3499974.081767987","46393049.727379978"
2007-12-01,"10122007.734273728","827062.97672999999","7664306.7448499994","1630638.012693729","5194191.5694738403","27105762.754065402","26938937.127635401","22996366.178308755","0","697801.8819339592","3244769.0673926873","166825.62643","1256853.2017999999","3370737.2537395419","47049552.513352521"
2008-01-01,"11121168.335083222","818874.16839000001","8473187.104650002","1829107.0620432203","5389121.006463767","27096853.391116787","26921515.625896785","22881555.938088909","0","791459.33872826828","3248500.3490796085","175337.76522","1216103.48181","3488393.4481739248","48311639.662647709"
2008-02-01,"11816251.747132711","749872.74116000009","9181890.1395599991","1884488.8664127123","5563592.0092516821","26980612.098554857","26806315.529344857","22798025.200939052","0","810868.96440321661","3197421.3640025901","174296.56920999999","1338302.24557","3488329.51614615","49187087.616655402"
2008-03-01,"12596990.220524069","776822.37690000003","9841927.9918800015","1978239.8517440679","5358817.7099959245","26913384.861215305","26738355.831335306","22838560.615507729","0","735931.0426264588","3163864.1732011172","175029.02987999999","1062904.4097199999","3534424.3507732502","49466521.552228548"
2008-04-01,"13451123.701377798","800240.27963000012","10519373.06591","2131510.3558377968","5144351.5605128696","27128193.878719747","26967667.816029746","23125358.059555192","0","714678.33368551976","3127631.422789033","160526.06269000002","1057355.8852600001","3591592.9653548356","50372617.99122525"
2008-05-01,"14417725.837379154","775904.12455000018","11564777.230850002","2077044.4819791531","4991004.8056191234","27368579.986244716","27212514.033924717","23434310.367220439","0","727948.70080015133","3050254.9659041264","156065.95232000001","968146.21129000012","3709772.3727420797","51455229.213275075"
2008-06-01,"14532036.442486508","802304.97607999993","11626552.350555999","2103179.1158505087","4366330.1371953748","27619732.837595489","27475369.168735489","23757964.905669115","0","751728.23469021416","2965676.0283761579","144363.66886000001","903595.83278300008","3559068.0501403478","50980763.300200716"
2008-07-01,"15258740.571899492","817015.05365000002","12084903.209330002","2356822.3089194922","4630943.0478109317","27876895.061843041","27734227.03635304","24025354.010617334","0","804904.98873635742","2903968.0369993476","142668.02549","854448.65517000004","3648451.1431089421","52269478.479832411"
2008-08-01,"15714280.515636614","855874.15954999998","12616562.782370003","2241843.5737166102","4194244.4126430163","27941525.728185944","27795032.985215943","24101417.604714163","0","803825.94894741115","2889789.4315543687","146492.74296999999","898886.45345999999","3638109.2646310809","52387046.374556653"
2008-09-01,"15848031.886741355","972994.83442000009","12681632.23821","2193404.8141113562","4245437.7193944063","28317790.73231009","28171951.97168009","24510605.378828719","0","709081.67589154677","2952264.9169598231","145838.76062999998","848722.50702000014","3557960.5937272115","52817943.439193062"
2008-10-01,"15406380.644436102","939191.34818999993","12394243.510910001","2072945.7853361019","4801984.0001457958","28444467.611128461","28300191.23954846","24695508.970503274","0","716859.2833857825","2887822.9856594037","144276.37157999998","790170.43526000017","3591396.8640610026","53034399.555031367"
2008-11-01,"15393298.066366103","931831.21508000011","12302892.724090001","2158574.1271961019","5110391.4877557969","28552802.47640935","28408665.405999351","24830634.166863266","0","716915.2324457824","2861116.0066903001","144137.07040999999","784175.36231999984","3522162.2705406547","53362829.663391903"
2008-12-01,"16766406.4621861","1051861.6546","13112937.289919998","2601607.5176661019","5832746.0053823218","28617928.16062193","28476374.618611928","25012933.465363268","0","669794.35772578267","2793646.7955228761","141553.54201000003","863497.31882999977","3437396.1490437053","55517974.096064061"
2009-01-01,"17712519.010068499","984315.33678000001","13834926.750082398","2893276.9232061021","5382776.2953923224","28288835.775421925","28147587.051451925","24746418.419873267","0","706531.42796578258","2694637.2036128761","141248.72396999999","944409.8580775999","3469558.9630037062","55798099.901964054"
2009-02-01,"16996454.077515006","1006613.8735","13024953.610258901","2964886.593756102","6408406.6598523231","28203539.286071576","28062190.332131576","24642128.105813265","0","805753.25974578259","2614308.9665725282","141348.95394000001","921371.22534419992","3483991.1526737073","56013762.401456811"
2009-03-01,"17261484.251726102","948028.83899000008","13329654.6315","2983800.7812361019","6280182.245192321","28192600.443708945","28052388.963188946","24657059.321523268","0","785335.12348578253","2609994.5181798958","140211.48051999998","1169291.44777","3446508.5482837064","56350066.936681069"
2009-04-01,"16913680.336406104","950060.96511000011","12421326.380140003","3542292.9911561017","6734298.730788135","28628166.043984208","28474812.591984209","25058800.782473266","0","758555.47266578255","2657456.3368451614","153353.45199999999","1420799.8106999998","3479833.3230302334","57176778.244908676"
2009-05-01,"15999288.244676104","915017.00858999998","11834197.208380003","3250074.027706102","7055959.1781577878","28866577.65020993","28722053.845599931","25300240.909683265","0","757461.42438578268","2664351.5115308836","144523.80460999999","1558430.24245","3586010.1553878896","57066265.470881715"
2009-06-01,"17094111.710496105","1117123.18731","12799996.6291","3176991.894086102","7376517.7205077885","29260042.425368894","29116926.196408894","25814055.167783268","0","696028.7469457828","2606842.2816798412","143116.22896000001","1483739.80672","3349014.1150741181","58563425.778166912"
2009-07-01,"16713373.277316103","1099110.13907","12584281.485710001","3029981.6525361016","7643136.3378901286","29261054.506457508","29117981.749567509","25830903.901193272","0","726231.61257578258","2560846.2357984516","143072.75689000002","1441372.6434500001","3322115.3643824765","58381052.129496209"
2009-08-01,"16797051.449585911","1105846.2415","12713955.209280003","2977249.9988059094","8102349.5469597811","29371431.485547382","29228411.863177381","26035037.068743266","0","679232.51979578263","2514142.274638332","143019.62236999997","1453654.6448299999","3372647.2209817814","59097134.347904861"
2009-09-01,"17815647.37002591","1112823.1006700001","13585861.768930001","3116962.5004259087","9253699.8990576975","29688030.625557926","29556455.340087924","26355768.694593262","0","672818.24816478277","2527868.3973298804","131575.28546999997","1516135.0778000001","3332471.1771153631","61605984.149556898"
2009-10-01,"18633245.342485908","1175522.8667800003","14256476.166920001","3201246.3087859093","8844529.2089624144","30082614.985384036","29951091.291444037","26765554.675763272","0","661660.37758478266","2523876.2380959862","131523.69394","1441124.0199899997","3340155.5041776481","62341669.061000004"
2009-11-01,"18720305.611845907","1646389.5470899998","13467666.95073","3606249.114025909","8923120.6994790304","30278468.614093684","30146688.735923685","27022532.395873263","0","634931.48175478261","2489224.8582956386","131779.87816999998","1502403.7185899997","3354018.9246141743","62778317.568622798"
2009-12-01,"18816245.520945914","1584909.4039600003","14135038.824790003","3096297.2921959087","9331254.1081076413","30768876.241807692","30637091.061347693","27601665.31129811","0","586827.53006478259","2448598.2199847982","131785.18046","1713641.3508700004","3234407.1588108521","63864424.380542099"
2010-01-01,"19896941.28899591","1617828.8220900001","15275565.342470001","3003547.1244359091","9310655.7833869457","30563831.032487694","30430721.534537695","27358280.443478115","0","625510.56841478264","2446930.5226447978","133109.49794999999","1498350.4805100001","3220230.9262070311","64490009.511587583"
2010-02-01,"20556290.738515913","1559052.10283","15950017.780470004","3047220.855215909","8765556.647356946","30666490.50941243","30510741.88960243","27363153.010628119","0","714292.12250478263","2433296.7564695277","155748.61981","1590882.7729899997","3159118.0368270329","64738338.705102332"
