"MES","BZCD01","BZCD02","BZCD03","BZCD04","BZCD05","BZCD06","BZCD07","BZCD08","BZCD09","BZCD10","BZCD11","BZCD12","BZCD13","BZCD14","BZCD15","BZCD16","BZCD17","BZCD18","BZCD19","BZCD20","BZCD21","BZCD22","BZCD23","BZCD24","BZCD25","BZCD26","BZCD27","BZCD28","BZCD29","BZCD30","BZCD31","BZCD32","BZCD33","BZCD34","BZCD35","BZCD36","BZCD37","BZCD38","BZCD39","BZCD40","BZCD41","BZCD42","BZCD43","BZCD44","BZCD45","BZCD46","BZCD47","BZCD48","BZCD49","BZCD50","BZCD51","BZCD52","BZCD53","BZCD54","BZCD55","BZCD56","BZCD57","BZCD58","BZCD59","BZCD60","BZCD61","BZCD62","BZCD63","BZCD64","BZCD65","BZCD66","BZCD67","BZCD68","BZCD69","BZCD70","BZCD71","BZCD72"
1999-07-01,"129.11999999999998","10.68","7.64","6.84","4.4400000000000004","2.4",,"0.8","0.8",,,,"3.04",,"3.04",,"8.5","85.3","70.5","14.8","13.1","13.1","13.1",,,,,,,,"11.54",,"11.54","188.77999999999997","29.91","27.77",,,,,"24.43","3.34","2.14",,,,,,"2.14","19.8","10.4","10.4",,,"9.4","9.4",,,"92.35499999999999","36.5","55.85499999999999",,"41.015000000000001",,"3.6",,"3.6",,"2.06",,,"-59.66"
1999-08-01,"116.7","10.5","7.8","4.3499999999999996","4.3499999999999996",,,"1.25","1.25",,,"2.2000000000000002","2.7",,"2.7",,"0.51514651","67.11","45.31","21.8","6.7848534900000006","6.7848534900000006","6.7848534900000006",,,,,,"27.89",,"3.9000000000000004",,"3.9000000000000004","103.34000000000002","24.869999999999997","22.669999999999998",,,,,"19.27","3.4","2.2000000000000002",,,,,,"2.2000000000000002","12.7","9.6999999999999993","9.6999999999999993",,,"3","3",,,"63.825886980000007","35.700000000000003","28.125886980000001",,,,"1.9",,"1.9",,"4.1130200000000002E-3",,,"13.359999999999985"
1999-09-01,"186.33999999999997","30.017588670000002","10.01758867","6.11758867","4.5999999999999996","1.2775886700000001","0.24","1.2","1.2",,,"2.7","20","0.7","19.3",,"0.81463470000000004","54.225411329999993","18.902999999999992","35.322411330000001","18.785365299999999","18.785365299999999","18.785365299999999",,,,,,"48.197000000000003",,"34.299999999999997",,"34.299999999999997","125.12","34.161999999999999","30.222000000000001",,,,,"23.481999999999999","6.74","3.94",,,,,,"3.94","32.1","24.6","24.6",,,"7.5","7.5",,,"40.524770680000003","23.599999999999998","16.924770680000002",,,,"17",,"17",,"1.29322932",,,"61.21999999999997"
1999-10-01,"97.700000000000017","11.6","9.1999999999999993","6.9","5.3","1.6",,"1.1000000000000001","1.1000000000000001",,,"1.2","2.4",,"2.4",,"0.35490328999999982","59.400000000000006","53.300000000000004","6.1","7.7450967100000003","7.7450967100000003","7.7450967100000003",,,,,,,,"18.600000000000001",,"18.600000000000001","163.63999999999999","28.290000000000003","27.790000000000003",,,,,"22.790000000000003","5","0.5",,,,,,"0.5","12.7","9","9",,,"3.7","3.7",,,"63.574707679999996","28.5","35.074707679999996",,"36.270000000000003",,"20.6",,"20.6",,"2.1652923199999998",,,"-65.939999999999969"
1999-11-01,"108.60000000000001","12.200000000000001","8.9500000000000011","7.3000000000000007","5.45","1.85",,"1.25","1.25",,,"0.4","3.25",,"3.25",,"2.7922370600000002","70.5","44.4","26.1","13.70776294","13.70776294","13.70776294",,,,,,,,"9.4",,"9.4","112.98000000000002","11.108000000000001","8.5679999999999996",,,,,"4.4279999999999999","4.1399999999999997","2.54","1.24",,,,,"1.3","21","11.7","11.7",,,"9.3000000000000007","9.3000000000000007",,,"57.573","19.399999999999999","38.173000000000002",,"20.099",,"3.16",,"3.16",,,,,"-4.3800000000000097"
1999-12-01,"331.39","13.400000000000002","9.2000000000000011","7.7000000000000011","4.4000000000000004","1.9","1.4","1.1000000000000001","0.8",,"0.3","0.4","4.2",,"4.2",,"1.5423216199999998","216.1","151.9","64.199999999999989","50.757678380000009","50.757678380000009","50.757678380000009",,,,,"31.7","8.8899999999999864",,"9",,"9","208.79999999999998","56.09","48.49","1.2",,,"1.2","43.29","4","7.6","5.8",,,,,"1.8","8.0571712899999994","3.6079457500000003","3.6079457500000003",,,"4.4492255399999996","4.4492255399999996",,,"64.210000000000008","34.800000000000004","29.410000000000004",,,,"75.459999999999994",,"75.459999999999994",,"4.9428287100000006",,,"122.59"
2000-01-01,"223.08586434899996","13.950479868999999","10.97065213","9.2470153699999997","6.0392089000000002","2.8234094700000001","0.38439699999999999","0.82663675999999997","0.82663675999999997",,,"0.89700000000000002","2.9798277389999996",,"2.9798277389999996",,"1.7","167.14331922999997","106.11427714","61.02904208999999","5.7097559499999999","5.7097559499999999","5.7097559499999999",,,,,,"23.472999999999999",,"11.109309300000007",,"11.109309300000007","236.52688696999999","86.608643119999996","84.515000000000001","0.12379999999999999",,,"0.12379999999999999","81.459000000000003","2.9321999999999999","2.0936431200000003",,,,,,"2.0936431200000003","6.7740707499999999","3.8259447100000004","3.8259447100000004",,,"2.94812604","2.94812604",,,"133.89875744","75.341757439999995","58.557000000000002","4.7839999999999998",,,"2.993793949999997",,"2.993793949999997",,"1.4276217099999999",,,"-13.44102262100003"
2000-02-01,"181.44045932999998","14.910758039999997","12.229905549999998","9.9384297999999998","6.6905118100000003","3.0672042799999999","0.18071371","1.1294757499999999","1.1294757499999999",,,"1.1619999999999999","2.6808524899999999","0.62152171000000001","2.0593307799999998",,"3.5482456699999996","139.91195571999998","84.850228079999994","55.061727640000001","20.000530829999999","4.9217179799999995","4.9217179799999995",,"15.07881285",,,,,,"3.0689690699999987",,"3.0689690699999987","194.35331421000001","19.262931299999998","10.855699999999999","1.7595000000000001",,,"1.7595000000000001","4.8449999999999998","4.2511999999999999","8.4072312999999994",,,,,,"8.4072312999999994","18.414268679999999","11.676023130000001","11.676023130000001",,,"6.7382455500000003","6.7382455500000003",,,"131.89461865999999","34.801805470000005","97.092813190000001","3.9649999999999999","15.22",,"5.5964955700000001",,"5.5964955700000001",,,,,"-12.912854880000026"
2000-03-01,"142.92706379000003","19.998147410000001","8.8186217899999999","7.2852408400000002","3.45426221","3.8309786300000002",,"0.79338094999999997","0.79338094999999997",,,"0.74","11.179525620000001","1.6063E-3","11.177919320000001",,"0.27260292000000003","102.53872709000001","72.459690390000006","30.079036699999996","4.9303306200000003","4.9283706199999999","3.9825545600000001","0.94581606000000007","1.9599999999999999E-3",,,,"10.9",,"4.2872557499999999",,"4.2872557499999999","179.80196429","37.92122449","31.109400000000001",,,,,"24.135000000000002","6.9744000000000002","6.8118244900000002",,,,,,"6.8118244900000002","33.525088960000005","25.547630040000001","25.547630040000001",,,"7.9774589200000001","7.9774589200000001",,,"97.042361839999998","41.056181269999996","55.986180570000002","8.9580000000000002",,,"2.355289",,"2.355289",,,,,"-36.874900499999967"
2000-04-01,"83.996864620000011","11.198965000000001","8.8637110000000003","6.6705589999999999",,"6.5543849999999999","0.116174","0.81515199999999999","0.81515199999999999",,,"1.3779999999999999","2.3352539999999999",,"2.3352539999999999",,"2.1696359699999999","60.270225690000004","51.706892000000003","8.5633336899999986","7.3313639599999991","7.3313639599999991","7.2736579599999995","5.7706E-2",,,,"6.3E-2",,,"2.9636740000000001",,"2.9636740000000001","114.45662999999999","22.193776999999997","19.831828999999999",,,,,"15.775","4.0568289999999996","2.3619479999999999",,,,,"0.79182699999999995","1.5701210000000001","11.962434889999999","8.2446678899999988","8.2446678899999988",,,"3.7177669999999998","3.7177669999999998",,,"41.318519999999999","35.836373999999999","5.4821460000000011","6.3E-2","35",,"1.8152600000000001",,"1.8152600000000001",,"2.1036381100000003",,,"-30.459765379999979"
