"MES","AMBM01","AMBM02","AMBM03","AMBM04","AMBM05","AMBM06","AMBM07","AMBM08","AMBM09","AMBM10","AMBM11","AMBM12","AMBM13","AMBM14","AMBM15","AMBM16"
2008-01-01,"42335484.893241011","42337186.495984808","1701.6027438000003","-8564985.6129325368","1884141.5839312","2137967.4517248999","-253825.86779370002","8975906.5522713494","0","-9852171.3763845097","16826562.935583808","12516286.44007","3050570.3634499987","299058.43701021268","960647.69505360036","4310276.4955138117"
2008-02-01,"44894894.985563003","44890107.5758982","-4787.4096648000004","-9421012.1613935251","1932302.0143056002","2185143.7397901001","-252841.7254845","10656743.725116337","0","-10003935.393607816","16745505.719750928","12643590.099239999","3096325.909870001","295768.07884822728","709821.63179270003","4101915.6205109283"
2008-03-01,"46116177.906789996","46116009.251465999","-168.65532400000004","-10573579.826327436","2049594.3630499998","2298075.6556119998","-248481.29256199999","11630793.151942646","0","-9188387.7781864982","16773011.513383413","12680024.97686","3038073.2314399993","451275.58119741699","603637.72388599988","4092986.5365234162"
2008-04-01,"47546698.438950002","47514383.623777002","-32314.815172999999","-11186029.261762958","2011227.8621220004","2260966.8250470003","-249738.96292499994","12937381.733556753","0","-7937469.3802942988","17497045.925457984","13383022.105399998","2971239.981790001","587445.8473939934","555337.99087400013","4114023.8200579947"
2008-05-01,"49232111.279997796","49227465.518444493","-4645.7615532999998","-11184796.821468251","1881605.1350755002","2124030.2880286002","-242425.15295309998","13555717.632648386","0","-7462115.4408076108","18911086.520149052","14063595.180260001","3350669.5947300009","572261.58573685365","924560.15942220017","4847491.3398890551"
2008-06-01,"50703496.417873599","50682503.197055198","-20993.220818400001","-11849873.762466978","1766682.9399808","1980484.6049116","-213801.66493080003","14614732.153475184","0","-7043298.9910281859","18962274.450884052","14521846.375019999","3087124.7135200021","630666.33795205259","722637.02439199993","4440428.0758640543"
2008-07-01,"52368312.081324793","52363341.169638395","-4970.9116863999998","-13080949.810422665","1853807.6409936","2117866.5755908","-264058.93459719996","15553196.041213453","0","-6278022.6842878796","19309951.186394397","15009406.58718","3064242.6363300001","640929.23954999971","595372.7233344001","4300544.5992144002"
2008-08-01,"53884912.227695704","53890413.739977404","5501.5122816999992","-13971224.82007793","1737047.2095357","2005805.5547537","-268758.345218","15970258.258358333","0","-5493110.2334269173","20187366.12536823","15397188.960959999","3347737.0777099994","746115.23550473026","696324.85119349987","4790177.1644082293"
2008-09-01,"54597024.996771902","54586906.463319302","-10118.533452600002","-13948736.554825541","1713620.0604930003","1982663.0616327003","-269043.00113970001","16098211.115690732","0","-5699368.4201876465","20564328.966560982","15514641.440770002","3546404.5144899976","703712.45880848216","799570.55249250017","5049687.5257909801"
2008-10-01,"52535528.299594589","52525111.134775892","-10417.164818699999","-13577531.018219298","1833771.1876761001","2102876.9833696","-269105.79569349997","15846542.539050413","0","-4865631.1083866823","20079594.821614295","14967641.96504","3512353.7704599993","735698.7619484982","863900.3241658","5111952.856574297"
2008-11-01,"53095749.348857403","53076840.7992035","-18908.549653900001","-13789405.47494192","1743601.5768749001","2089590.8416293","-345989.26475440001","15634103.804509563","0","-5494677.3251569513","19921164.321123861","14762394.126119999","3273871.2473100005","690758.7183258686","1194140.2293680003","5158770.195003869"
