"MES","BCCP01","BCCP02","BCCP03","BCCP04","BCCP05","BCCP06","BCCP07","BCCP08","BCCP09","BCCP10","BCCP11","BCCP12","BCCP13","BCCP14","BCCP15","BCCP16","BCCP17","BCCP18","BCCP19","BCCP20","BCCP21","BCCP22","BCCP23","BCCP24","BCCP25","BCCP26","BCCP27","BCCP28","BCCP29","BCCP30","BCCP31","BCCP32"
2009-05-01,"14944718.256999999","19043927.029855963","4005066.4372605416","15038860.592595423","-3244.6254705999995","0","-3244.6254705999995","344512.03221170005","76832.783862100012","264511.76289646473","133.84588579999999","133.84588579999999","0","9268385.6663590018","25387261.178765077","16317596.246413678","8588878.7111699991","1167269.7385409782","6445361.7407114012","116086.05599129999","1190689.9956632","1190346.53107","0","343.46459319999997","6335290.0207381994","6279403.4520899998","0","55886.568648199995","1543684.9159499998","557616.06374000001","0","986068.85220999992"
2009-06-01,"15350320.920440001","19801869.6727487","5257595.1908754809","14544274.481873218","-7979.0931808000005","0","-7979.0931808000005","345287.40958290006","76971.293723399998","246914.15010785218","133.84588579999999","133.84588579999999","0","9128578.8934614006","24848444.524110176","16171474.158233577","7994640.43805","1281311.9732943769","6779378.3271009","116143.41978829999","1266331.7835432","1265988.31895","0","343.46459319999997","6197786.533214299","6138148.4796499992","0","59638.053564300004","1212852.0491191","519371.68283999996","0","693480.36627909995"
2009-07-01,"15416739.632169999","19233442.270920858","5708007.879394412","13525434.391526446","-18223.847103700002","0","-18223.847103700002","346330.24142760009","73790.759493799997","226980.45231310971","133.84588579999999","133.84588579999999","0","9068511.8613561019","25779564.719957549","17226548.894845352","9710337.8090199996","1345116.7696570517","6054945.3253287002","116148.9908396","1326306.3492732001","1325962.8846800001","0","343.46459319999997","5973923.4431582","5937176.6826999998","0","36746.760458200006","1252786.0326808","548526.29229000013","0","704259.74039079982"
2009-08-01,"15516484.81116","19659680.329614036","6339485.8863312379","13320194.443282796","-20507.373767999998","0","-20507.373767999998","346897.58230630006","73936.679162099987","209164.43429728859","133.84588579999999","133.84588579999999","0","10691946.539491702","25749353.238894351","17494070.871924952","9494193.5929199997","1353968.2997638518","6529726.5324014984","116182.4468396","1332881.6286231999","1332538.1640299999","0","343.46459319999997","5953206.5231773993","5911494.9734499995","0","41711.549727400001","969194.21516879997","555173.11323999998","0","414021.10192879994"
2009-09-01,"15664604.47672","20559318.275657598","7895414.780039181","12663903.495618418","-504.74398079999906","0","-504.74398079999906","351951.26158080006","74081.250623300002","192966.89772941222","133.84588579999999","133.84588579999999","0","11205941.757911699","25350058.346937221","16941283.810670819","10408561.043329999","1397637.4632297212","5018092.1993633993","116993.1047477","1393820.7785132001","1393477.3139200001","0","343.46459319999997","5892334.8422964998","5848186.7685500002","0","44148.073746499998","1122618.9154567001","598067.60183000006","0","524551.31362669996"
2009-10-01,"16338611.02035","21560375.023554176","9207964.8548252601","12352410.168728916","-11926.0640141","0","-11926.0640141","353156.89614840003","74228.907982299992","188573.2708937813","133.84588579999999","133.84588579999999","0","11673772.4760375","24385972.09324453","15724377.883507827","9404345.0054700002","1477064.2425750257","4725895.5183213018","117073.1171415","1428266.8856132","1427923.42102","0","343.46459319999997","5830944.1116376994","5780513.9841399994","0","50430.127497700007","1402383.2124858","695495.01887999999","0","706888.19360580004"
2009-11-01,"17061986.29507","21009816.891809572","8899833.4200430214","12109983.47176655","1979.7553150000001","0","1979.7553150000001","357084.56679200003","74362.103148900002","186661.14522750481","133.84588579999999","133.84588579999999","0","12654723.280077001","24334065.419849347","15596729.576868549","10197223.254799999","1503837.2190179506","3786713.4542907998","108955.64875979998","1509197.2609531998","1508853.7963599998","0","343.46459319999997","5698927.6567889005","5637043.6867500003","0","61883.970038899992","1529210.9252387001","785963.01172000007","0","743247.91351870005"
2009-12-01,"18892392.916360002","21547690.702055454","9655411.0045242161","11892279.69753124","2707.2160271999996","0","2707.2160271999996","358389.99468060001","74438.776424799988","158559.681588926","133.84588579999999","133.84588579999999","0","11608656.928225702","21567485.06967207","13821053.885380568","8505673.7573499978","1402401.0052364699","3804042.5140530001","108936.60874109999","1448086.2597232002","1447742.7951300002","0","343.46459319999997","4904529.3951596003","4845953.6498199999","0","58575.745339599998","1393815.5294087001","691414.28327000001","0","702401.24613870005"
2010-01-01,"18257127.98827","22316686.315663762","11834477.993465006","10482208.322198754","-269.68526130000004","0","-269.68526130000004","359883.3944779","71239.372035399996","167201.4845099278","133.84588579999999","133.84588579999999","0","11315388.771062702","21581384.710540008","13878443.655973906","7953216.25887","1446662.131531605","4369620.8994303001","108944.36614199998","1549651.2745132002","1549307.8099200001","0","343.46459319999997","4813349.1901158998","4755692.2734599998","0","57656.9166559","1339940.5899369998","828758.48913999996","0","511182.10079699993"
2010-02-01,"17954210.320189998","22439043.758825794","12626873.068779953","9812170.6900458429","-798.7819341999998","0","-798.7819341999998","360704.48288259999","71316.46225669999","150026.53314593199","133.84588579999999","133.84588579999999","0","11078720.0134643","21695865.926573098","13365308.252729895","8332237.7977899993","1438956.9641873955","3485122.8117485","108990.67900399999","1557652.9534632","1557309.48887","0","343.46459319999997","4924228.3025193","4869110.7714","0","55117.531119299994","1848676.4178606998","823001.77914999996","0","1025674.6387106999"
2010-03-01,"17884952.946029998","21571272.194741286","12600387.783212617","8970884.4115286712","8272.1426487999979","0","8272.1426487999979","364021.45049119997","71428.7136188","149588.32497086219","133.84588579999999","133.84588579999999","0","10861771.794207601","22186963.315158468","14293130.572668269","9085452.4432500005","1480710.2413599687","3617199.1844770997","109768.7035812","1508751.3238732","1508407.85928","0","343.46459319999997","4820153.5888566002","4778167.9065200007","0","41985.682336599995","1564927.8297603999","713503.40704999992","0","851424.42271039996"
2010-04-01,"18102754.296099998","19138073.324682489","10880610.826028161","8257462.4986543301","-478.63178189999985","0","-478.63178189999985","365439.20613559993","71533.788599199994","139690.65791189682","133.84588579999999","133.84588579999999","0","11178793.6945663","24194836.507304076","16130570.381173275","10822657.70819","1543060.1847218762","3654996.7929465994","109855.69531479999","1552649.4323032","1552305.96771","0","343.46459319999997","5129933.0672616996","5082951.3598099994","0","46981.7074517","1381683.6265658997","601391.01505999989","0","780292.61150589993"
