"MES","SIRB01","SIRB02","SIRB03","SIRB04","SIRB05","SIRB06","SIRB07","SIRB08","SIRB09","SIRB10","SIRB11","SIRB12","SIRB13","SIRB14","SIRB15","SIRB16","SIRB17","SIRB18","SIRB19","SIRB20","SIRB21"
2008-03-01,"6231.9159333500002","6231.8931420899999","-2.2791260000000001E-2","717.70800769269226","724.16455540485447","6.4565477121621599","87.324658329999991","87.324658329999991",,,,,,,,,,,,,
2008-04-01,"6513.2463614999997","6508.8196744899997","-4.4266870100000002","696.07160205107812","704.70569322094116","8.6340911698630105","87.323100849999989","87.323100849999989",,,,,,,,,,,,,
2008-05-01,"6828.3094701800001","6827.6651204500004","-0.64434972999999995","680.48700000000008","692.23400000000004","11.747","87.312609240000015","87.312609240000015",,,,,,,,,,,,,
2008-06-01,"7121.2775867800001","7118.3291007099997","-2.94848607","601.80281596845157","613.24861477463139","11.4457988061798","95.557815500000004","95.557815500000004",,,,,,,,,,,,,
2008-07-01,"7438.68069337","7437.9745979600002","-0.70609540999999998","647.68474674445065","657.80441020041656","10.119663455965901","95.563716139999997","95.563716139999997",,,,,,,,,,,,,
2008-08-01,"7686.8633705700004","7687.6481797400002","0.78480916999999994","567.05462361383979","598.32302605463872","31.268402440798901","95.549967229999993","95.549967229999993",,,,,,,,,,,,,
2008-09-01,"7810.7331898100001","7809.2856170699997","-1.44757274","582.50483571736834","607.35875813939981","24.853922422031498","103.69522622000001","103.69522622000001",,,,,,,,,,,,,
2008-10-01,"7537.3785221799999","7535.8839504699999","-1.49457171","661.07766045994197","688.95035870097502","27.872698241033","103.69647319000001","103.69647319000001",,,,,,,,,,,,,
2008-11-01,"7617.7488433500002","7615.0417215500001","-2.7071217999999999","712.11618443861141","733.19820484301226","21.082020404400801","103.68603273000001","103.68603273000001",,,,,,,,,,,,,
2008-12-01,"7722.0258764799992","7722.1780606599996","0.15218418","917.58764101754969","938.83505391711924","21.2474128995696","103.68603273000001","103.68603273000001",,,,,,,,,,,"8743.299550227548","8764.6991473071193","21.399597079569599"
2009-01-01,"7783.5024624100006","7783.0780060200004","-0.42445639000000002","756.65116860865464","772.27780421697605","15.626635608321401","113.78128145000001","113.78128145000001",,,,,,,,,,,,,
2009-02-01,"7679.1111307000001","7678.5135133399999","-0.59761735999999999","901.21558840205478","919.42706741066308","18.2114790086083","113.8693394","113.8693394",,,,,,,,,,,,,
2009-03-01,"7764.9655801899999","7762.2009491199997","-2.7646310700000001","887.54779321410626","901.03045124710491","13.4826580329986","123.30772539","123.30772539",,,,,,,,,,,,,
2009-04-01,"7740.1878811100005","7739.7894073300004","-0.39847378","957.72827290073667","966.1834620929892","8.4551891922525098","123.30802255000002","123.30802255000002",,,,,,,,,,,,,
2009-05-01,"7894.5761075099999","7894.1105945299996","-0.46551298000000002","995.73206738705721","1012.3327371818922","16.600669794834999","123.32896833","123.32896833",,,,,,,,,,,,,
