"MES","SEMV01","SEMV02","SEMV03","SEMV04","SEMV05","SEMV06","SEMV07","SEMV08","SEMV09","SEMV10","SEMV11","SEMV12","SEMV13"
2006-06-01,"1403.8642500000001","11367.72695","12771.591200000001","1310.1283000000001","1725.59538","1155.7289800000001","54961.077729999997","30.250310000000002","19376.100310000002","9541.160460000001","249.79568","674.34456","101795.77291"
2006-07-01,"3219.25333","8284.73092","11503.98425","1257.9465","4203.0821800000003","1346.6150300000002","46069.052450000003","67.194000000000003","16553.25071","9867.4608000000007","91.980429999999998","798.75413000000003","91759.320480000009"
2006-08-01,"3139.28532","11272.796779999999","14412.0821","1949.88769","2017.5495000000001","857.16472999999996","56199.188090000003","92.68","13448.211930000001","10151.124","157.42829999999998","939.21234000000004","100224.52867999999"
2006-09-01,"3161.1178199999999","8598.9138000000003","11760.03162","1575.0028200000002","2024.5459600000002","773.79032999999993","42529.313990000002","105.81752","12303.173920000001","9729.7484399999994","254.09434999999999","1011.9222900000001","82067.44124"
2006-10-01,"2587.7849500000002","11652.89086","14240.675810000001","1322.2944","3319.8249000000001","1815.271","55625.332740000005","129.99600000000001","15107.408820000001","7259.1542600000002","199.47555","963.09572000000003","99982.529200000004"
2006-11-01,"2614.2960200000002","10171.344000000001","12785.640020000001","1315.0688400000001","1630.7892900000002","834.51452000000006","49790.492299999998","284.77300000000002","11710.907380000001","10176.741","170.875","1116.7468700000002","89816.548219999997"
2006-12-01,"2004.57566","6122.9743799999987","8127.5500399999983","1374.5456000000001","2210.1156700000001","1161.2095900000002","43906.882170000004","153.93482999999998","8212.1060800000014","5258.1111500000006","94.632050000000007","563.91731000000004","71063.004490000007"
2007-01-01,"1608.2692199999999","14415.89414","16024.16336","2576.2703999999999","2245.7362200000002","1691.01901","48463.234130000004","266.01653999999996","13465.249339999998","10291.95066","94.563000000000002","614.92489","95733.12754999999"
2007-02-01,"1727.8689299999999","7681.7564900000007","9409.6254200000003","2660.0320000000002","1288.46216","1660.0464899999999","51333.309939999999","159.91060000000002","15646.84995","10389.143679999999","42.986870000000003","535.74299000000008","93126.110099999991"
2007-03-01,"1602.1928799999998","2630.7910000000002","4232.9838799999998","1576.6120000000001","1630.5352600000001","2216.4277900000002","39877.227509999997","151.71525","15155.096820000001","11000.749109999999","69.452500000000001","1405.6098300000001","77316.409950000001"
2007-04-01,"1948.8802600000001","2607.4879000000001","4556.36816","1601.6976000000002","2297.1147600000004","1909.2675200000001","55457.783499999998","253.82489999999999","15633.626340000001","9710.1332500000008","218.47755000000001","1110.5522999999998","92748.845879999993"
