"MES","BCTP01","BCTP02","BCTP03","BCTP04","BCTP05","BCTP06","BCTP07","BCTP08","BCTP09","BCTP10","BCTP11","BCTP12","BCTP13","BCTP14","BCTP15","BCTP16","BCTP17","BCTP18","BCTP19","BCTP20","BCTP21","BCTP22","BCTP23"
2003-11-01,"1909116","33007","1876042","67",,"1258017","664","1256731","622",,"3421.6539999999995","0","3232.9969999999998","188.54400000000001","167566","506","26404","140656","2926","2838","88","459922","329899"
2003-12-01,"1981045","33347","1947634","64",,"1233929","735","1232572","622",,"3443.6719999999996","0","3253.8009999999999","189.75800000000001","169471","473","28331","140667","2650","2578","72","406257","362417"
2004-01-01,"1979689.1123299999","37322.778319999998","1942220.62032","145.71369000000001",,"1235227.9835599996","832.71418000000006","1233768.0693799998","627.20000000000005",,"3421.64689","0","3231.29115","190.24252000000001","168223","307","27610","140306","2652","2559","93","407277","369884"
2004-02-01,"1923226","30705","1892396","125",,"1219957","854","1218475","628",,"3425","0","3235","190","180243","2577","37494","140172","2207","2136","71","413344","374836"
2004-03-01,"1831375","37532","1793710","133",,"1227515","831","1226054","630",,"3439","0","3248","191","175427","194","35506","139727","4374","4299","75","430259","371537"
2004-04-01,"1668265","37668","1630474","123",,"1316623","859","1315448","316",,"3379","0","3188","191","184882","4072","41241","139569","3777","3708","69","427124","376333"
2004-05-01,"1606135","36902","1569149","84",,"1363157","962","1361879","316",,"3384","0","3192","192","186826","7198","40085","139543","2560","2493","67","451485","356491"
2004-06-01,"1222884","49414","1173376","94",,"1648068","1314","1646754","0",,"3392","0","3200","192","239397","60645","39376","139376","2602","2539","63","447267","363277"
2004-07-01,"1194035","57333","1136642","60",,"1685891","2153","1683738","0",,"3406","0","3214","192","180560","4022","37369","139169","3165","2981","184","451636","365745"
2004-08-01,"1179151","61893","1117195","63",,"1728833","2549","1726284","0",,"3420","0","3227","193","190680","4850","44088","141742","3123","2928","195","459719","372109"
2004-09-01,"1173293","62104","1110797","63","329","1757150","2664","1754486","0",,"1714","0","1535","179","185017","816","42786","141415","3210","3060","150","462765","388159"
2004-10-01,"1176237","66386","1109071","56","724","1771955","2401","1769554","0",,"2644","0","2462","182","183337","19","44340","138978","2939","2804","135","454660","399746"
2004-11-01,"1177797","67684","1108680","55","1378","1776963","2453","1774510","0",,"2645","0","2465","180","184532","19","45642","138871","2974","2833","141","455947","404695"
2004-12-01,"1221682","74917","1144830","78","1857","1805364","2903","1802461","0",,"1879","0","1698","181","168502","3235","39905","125362","21690","21498","192","430529","402590"
2005-01-01,"1216641","77716","1136790","172","1963","1821635","3245","1818390","0",,"1878","0","1697","181","166728","19","41751","124958","21404","21231","173","427081","410324"
2005-02-01,"1215778.3768500001","79089.403250000003","1134189.4574800001","163.51313999999999","2336.0029800000002","1846836.1869900001","3716.6044300000003","1842635.9825599999","483.6",,"1907.3056899999997","2.1542199999999996","1724.1091999999999","181.04227","169059.97996","18.666319999999999","44530.97522","124510.33842","21371.081249999999","21234.634409999999","136.44684000000001","430191.2408899999","417573.70255000005"
2005-03-01,"1224134.7698000004","83710.092810000002","1137540.4268200002","133.26877999999999","2750.9813899999999","1868212.5381200002","3675.0745699999993","1864052.6635500002","484.8",,"1629.6771200000001","0.11322","1448.07239","181.49150999999998","164991.90825000001","18.712630000000001","41272.878669999998","123700.31695000001","21313.90943","21153.67957","160.22985999999997","439207.17246999999","421476.54207999998"
2005-04-01,"1271722.06323","90012.269190000006","1178488.72227","166.703","3054.36877","1925285.7052199999","3911.1275499999997","1920889.7776699997","484.8",,"1759.0394100000001","2.2130000000000001","1575.3349000000001","181.49150999999998","171178.23083999997","18.712630000000001","47970.649819999999","123188.86838999999","27974.548750000002","27814.9506","159.59815","440341.14151000004","426406.14997999993"
2005-05-01,"1285382.7037399998","95818.566099999996","1186149.03731","141.53016999999997","3273.5701600000002","1950542.4276999999","5265.6003399999991","1944457.0473199999","819.78003999999999",,"1791.7233100000001","2.6422699999999999","1607.58953","181.49150999999998","172620.52052000002","0","49802.304350000006","122818.21617","3200.4857300000003","3037.7986100000003","162.68711999999999","448030.95981999999","430101.74996999995"
2005-06-01,"1283236.29801","95912.500550000012","1183846.2446900001","75.042659999999998","3402.5101099999997","1952569.2870800004","6141.8383199999989","1945608.4958400002","818.95291999999995",,"9736.3942900000002","0.11322","9554.7895600000011","181.49150999999998","173642.80433000001","0","51746.074560000001","121896.72977000001","3523.0311899999997","3334.7305199999996","188.30067000000003","444227.63398999994","432110.68997999997"
2005-07-01,"1288461.4633199999","107705.64872000001","1176200.86246","71.387559999999993","4483.5645800000002","1976977.6613599998","7507.0667599999997","1968654.6823399998","815.91226000000006",,"9671.6269999999986","0.11322","9490.7012799999993","180.8125","171558.80157000001","0","51267.272010000001","120291.52956000001","8349.5006200000007","8177.6329900000001","171.86762999999999","451063.02485000005","435760.53879000002"
2005-08-01,"1293051.6590399998","124897.83020999999","1162998.7599599999","96.185260000000014","5058.8836100000008","1954821.1608800001","9047.332269999999","1944957.4711900002","816.35741999999993",,"9612.3914399999976","2.8010699999999997","9429.2219599999989","180.36841000000001","198775.97127999997","0","53074.225270000003","145701.74600999997","4364.2575900000011","4197.9803900000006","166.27720000000002","474262.11675999995","441120.21342000004"
2005-09-01,"1292951.8620300002","137396.89303000001","1149087.6260700002","104.01106","6363.33187","1958858.2885200004","10261.76348","1947779.7359200004","816.78912000000003",,"9634.0190000000002","3.9092199999999999","9449.9659800000009","180.1438","195227.46152999997","0","50331.746079999997","144895.71544999999","3874.7090799999996","3711.3414399999997","163.36764000000002","472904.02496000007","445075.78604000004"
2005-10-01,"1288000.50792","146673.73425000001","1134338.87048","95.544080000000008","6892.3591100000003","1945246.2087900001","11256.969429999999","1933174.4871199999","814.75224000000003",,"9617.2907799999994","0.20422000000000001","9437.3919999999998","179.69456","199363.30456000002","0","54931.001710000011","144432.30285000001","10216.77212","10062.97435","153.79776999999999","470099.80936000007","446115.70792999998"
2005-11-01,"1282063.9333600001","159087.51548","1114990.8782500001","114.94095999999999","7870.5986700000003","1916146.91738","12103.851699999999","1903206.9464","836.11928",,"9535.7947800000002","0.20422000000000001","9355.8960000000006","179.69456","200921.59749000001","0","56932.467840000005","143989.12965000002","3674.6846700000001","3526.4780700000001","148.20660000000001","474047.21398000006","450319.35423000006"
2005-12-01,"1291862.14059","182174.34768000004","1100610.6486499999","108.19224","8968.9520199999988","1861744.0317700002","12801.768969999999","1848054.6583200002","887.60447999999997",,"9535.7037799999998","0.11322","9355.8960000000006","179.69456","189335.78455000004","0","55845.960500000008","133489.82405000002","21189.85744","21034.905559999999","154.95188000000002","456093.72605000011","450952.78787999996"
2006-01-01,"1273456.4101600004","184138.75917999999","1079022.2905000004","119.59795000000001","10175.76253","1818511.3622400004","13912.93418","1803686.0711800002","912.35688000000005",,"9593.2252599999993","71.82902","9341.7016800000001","179.69456","191523.34500000003","0","58102.196069999998","133421.14893000002","21045.530919999997","20856.913439999997","188.61748","455982.49236000009","458254.44723000005"
2006-02-01,"1278776.2035100004","199441.96149000002","1068148.6863000002","131.65577000000002","11053.899949999999","1812781.9215100002","15287.099870000002","1796555.2343100002","939.58733000000007",,"9493.2536199999995","0.11322","9313.6704599999994","179.46994000000001","192066.38021999996","0","58968.174199999987","133098.20601999998","20788.368359999997","20666.631169999997","121.73719","458665.6458","463903.75837999996"
