"MES","AMOL01","AMOL02","AMOL03","AMOL04","AMOL05","AMOL06","AMOL07","AMOL08","AMOL09","AMOL10","AMOL11"
2008-02-01,"51122937.076449886","73657.091285200004","51049279.985164687","-377798.98677259963","-6016357.7856403003","-841522.38949440012","-740250.20485790004","-7975929.3667652002","34781858.747134387","-20289323.571987629","57565885.793546245"
2008-03-01,"52140170.769111916","47609.797746000011","52092560.971365914","-1415337.3901800197","-6372460.3332720008","-890637.571184","-757704.78269399994","-9436140.0773300212","34787907.723404601","-19464149.479182433","57980179.138258055"
2008-04-01,"53346863.415209875","30714.050367","53316149.364842877","-1054642.6231118878","-6679819.5594930006","-925705.00720799994","-1447680.3192220002","-10107847.509034887","35069976.182666406","-18731301.905080248","59546976.133394152"
2008-05-01,"54838838.82178361","80047.007226699992","54758791.814556912","-285874.61814238876","-6734440.3993627997","-985462.94161760004","-2297278.0398276001","-10303055.998950388","35359676.979139172","-18398740.018128909","61416672.776616774"
2008-06-01,"55633527.681780577","60500.866681600004","55573026.815098979","-137189.0035439264","-6233701.1001092","-1047247.9876072","-3493712.6541459998","-10911850.745406326","35716614.052969992","-18256565.459104382","62121224.663558267"
2008-07-01,"57588559.254399329","66271.519043599998","57522287.735355727","-974000.21450528875","-6379260.1885383995","-1109202.3275024001","-3711084.5151579999","-12173547.245704088","36063018.389380082","-17435121.094068039","63976637.784963682"
2008-08-01,"58681244.464820415","224693.01339170002","58456551.451428711","-1254905.917061355","-6638871.2640932994","-1068836.3631255999","-4080747.0191425001","-13043360.563422754","36220711.581052542","-17277333.22999084","64356569.239067659"
2008-09-01,"59449360.448783711","163610.38427739998","59285750.064506307","-697999.48942603543","-6674172.6708915001","-1100229.6936643999","-4605324.6719107004","-13077726.525892634","36723224.694440164","-17511039.368238248","65420208.864815585"
2008-10-01,"57961891.796581686","183855.5419213","57778036.254660383","-1414482.0642221961","-6872315.374256501","-1113671.5347932","-3459993.7891345005","-12860462.762406398","37009504.389892012","-17300069.999756657","64627007.882389344"
2008-11-01,"58845942.1560793","128033.1325561","58717909.023523197","-1739818.5896104202","-6982250.8191329995","-1152227.2248232001","-3161526.9784053001","-13035823.611971918","37241522.992730476","-18260397.954916008","64663210.449365757"
2008-12-01,"60367261.408602528","149155.19164460001","60218106.216957927","-528561.49395652115","-6060150.2771793995","-1071736.4997532","-3502400.4762840993","-11162848.74717322","37528961.99039305","-18945477.674352683","67638741.785825074"
2009-01-01,"60367312.367311724","110141.18915170002","60257171.178160027","-1059336.4203726873","-6045902.9792702002","-1133286.6272532002","-3582120.1113805003","-11820646.138276588","37224334.131493047","-18696864.440257061","66963994.731119424"
2009-02-01,"60898522.974862128","126950.61569080001","60771572.359171331","-1823518.4504217263","-6303658.8919193","-1145457.9679932001","-3207860.0818635002","-12480495.392197726","37134577.009989224","-18172125.909303285","67253528.067659557"
2009-03-01,"61339745.856928714","78855.239718100012","61260890.617210612","-2126109.2283128724","-6452894.0471526003","-1142223.0874232","-3191629.0609744","-12912855.423863074","37213509.882519647","-18015664.164836742","67545880.911030442"
2009-04-01,"61689655.934598245","60337.306423399998","61629318.628174841","-5071153.2224291414","-6450785.1159915002","-1150205.8756432","-1383007.6722473002","-14055151.88631114","37724359.437165946","-17370204.242053419","67928321.936976224"
2009-05-01,"63148085.056351885","116644.0429994","63031441.013352484","-5568328.2267336547","-6335290.0207382003","-1190689.9956632","-1543684.9159500001","-14637993.159085054","38033694.559465416","-18601068.040406957","67826074.373325899"
2009-06-01,"63978686.00831829","137335.28064919999","63841350.72766909","-5412242.9563489743","-6197786.533214299","-1266331.7835432","-1212852.0491191002","-14089213.322225573","38546761.154157966","-18083941.992251784","70214956.567349702"
2009-07-01,"64628792.987833522","130957.43556629999","64497835.552267224","-6464056.0133145154","-5973923.4431582","-1326306.3492732001","-1252786.0326808","-15017071.838426715","38721555.942845888","-17740916.524548981","70461403.132137418"
2009-08-01,"67227188.233724087","114117.13473200001","67113071.098992094","-6379373.2863886803","-5953206.5231774002","-1332881.6286231999","-969194.21516879986","-14634655.653358081","39001955.038474493","-20171225.610248268","71309144.87386024"
2009-09-01,"69403676.918633804","111531.05754919999","69292145.86108461","-5649176.5344029292","-5892334.8422965007","-1393820.7785132001","-1122618.9154566999","-14057951.070669329","39538936.644863658","-20762419.800425876","74010711.634853065"
2009-10-01,"69994281.325341612","103217.39230590001","69891063.933035716","-4506553.3740979563","-5830944.1116377003","-1428266.8856132","-1402383.2124858","-13168147.583834656","40141392.851632819","-21433866.839610346","75430442.361223549"
2009-11-01,"71207685.526784241","82114.944994999998","71125570.58178924","-4263600.2072004378","-5698927.6567889005","-1509197.2609531998","-1529210.9252386999","-13000936.050181238","40526544.139998153","-22696739.977149252","75954438.694456905"
2009-12-01,"70332305.800022647","112560.75302720001","70219745.046995446","-2321816.2132497281","-4904529.3951596003","-1448086.2597232002","-1393815.5294087001","-10068247.397541229","41213599.89810311","-22174113.931186087","79190983.616371244"
2010-01-01,"70158713.635676235","102571.14669870002","70056142.488977537","-2660480.6608613115","-4813349.1901158998","-1549651.2745132002","-1339940.5899369998","-10363421.715427412","41055645.262021028","-21382846.946317013","79365519.089254141"
2010-02-01,"69389210.845857561","131644.00774580002","69257566.838111758","-1861049.5229933206","-4924228.3025193","-1557652.9534632","-1848676.4178606998","-10191607.19683652","41238712.600309163","-20742470.658177532","79562201.583406866"
2010-03-01,"69103853.250570148","105607.6563088","68998245.594261348","-2984323.1718358006","-4820153.5888566002","-1508751.3238732","-1564927.8297603999","-10878155.914326001","41683773.875458002","-20163343.664046463","79640519.891346887"
2010-04-01,"69300784.073016167","82865.244068100001","69217918.828948066","-4967548.3861681353","-5129933.0672617005","-1552649.4323032","-1381683.6265658999","-13031814.512298936","42635036.6371774","-19633864.263400838","79187276.690425694"
2010-05-01,"69460266.241332799","347399.11585050001","69112867.125482306","-5389417.4739689231","-4843417.9250703994","-1592215.6373731999","-1375412.8083772","-13200463.844789723","43423678.814767465","-19089556.770008095","80246525.32545197"
2010-06-01,"69305083.34863174","91095.814683400007","69213987.533948347","-5913306.421843078","-5493768.8754164996","-1638750.6242232001","-1320997.7461687999","-14366823.667651577","44006926.661573462","-19194249.714663491","79659840.813206747"
2010-07-01,"70249186.71851334","97101.255786300011","70152085.46272704","-6776614.7797520943","-5997420.0217366004","-1676713.4719932","-1355522.2468525004","-15806270.520334395","44897612.820320725","-19467578.317528859","79775849.445184514"
2010-08-01,"71005143.087448567","117746.4557781","70887396.63167046","-7650708.9490108602","-6400325.6078650001","-1697275.1470832","-1344506.8590653997","-17092816.563024461","45615118.436854869","-19369332.294916958","80040366.21058391"
2010-09-01,"73296091.625215769","92385.627876600003","73203705.997339174","-7842694.7397710159","-6800754.4583441","-1786939.6034631999","-1426502.4291294999","-17856891.230707817","46313582.876593828","-20652925.513173487","81007472.130051702"
2010-10-01,"74853173.973655283","74755.019500300012","74778418.954154983","-8119103.548891684","-7250689.639982501","-1848998.5270332","-1346310.1489720999","-18565101.864879485","47238305.155427031","-21384734.100782841","82066888.143919677"
2010-11-01,"75378016.13143149","84484.003442400004","75293532.127989084","-8145232.2331168726","-7456245.4097511992","-1805165.6787776002","-1361012.7950003999","-18767656.116646074","48098266.868309386","-21035537.108059969","83588605.771592423"
