"MES","BPDP01","BPDP02","BPDP03","BPDP04","BPDP05","BPDP06","BPDP07","BPDP08","BPDP09","BPDP10"
2011-02-01,"11177893.923729999",4391832.09782,1318452.33379,234088.75244,151815.23941,202684.25528,178876.08586,31227.39588,6856.55015,17693726.63436
2011-03-01,"11339935.25791",4287151.29004,1293419.57063,233550.64882,149917.30551,201070.11098,173540.62113,31238.43124,7797.83494,17717621.0712
2011-04-01,"11231012.148380002",4276949.99812,1273398.96898,232353.40777,151640.03754,194768.21582,179760.01173,28363.0313,6896.33464,17575142.15428
2011-05-01,"11570011.701090002",4112065.91496,1253967.64444,228981.08317,145183.70251,189937.10609,181524.47593,28584.91847,6983.35165,17717239.89831
2011-06-01,"11865859.0493",4155445.39507,1262825.19033,223853.08436,146149.53733,197477.91917,178174.5429,28406.96136,7631.04815,18065822.72797
2011-07-01,"12289118.284640001",4265407.42805,1319175.93347,213610.24013,144082.83999,195693.17267,174755.9646,27523.75159,6572.30764,18635939.92278
2011-08-01,"12517391.60912",4424214.6273,1370866.38667,212684.18925,143103.63672,208562.01064,148447.15375,26303.22883,6929.98602,19058502.8283
2011-09-01,"12798202.124060001",4762003.60288,1396969.21394,208471.7354,143022.61888,206739.44369,141781.17452,26125.22705,5634.58874,19688949.72916
2011-10-01,"13005283.24432",4843831.35734,1396030.86849,207310.41162,144131.18541,189985.77497,138675.93817,25972.88676,5531.09895,19956752.76603
2011-11-01,"13289848.33914",5169881.29202,1448697.32305,200857.14128,140576.61232,189598.5893,136267.4918,26110.66363,5535.16804,20607372.62058
2011-12-01,"13590584.74406",5274035.08343,1439680.41609,199018.87038,138843.41508,183769.07851,136538.52732,24169.85005,5687.23698,20992327.2219
2012-01-01,"14187839.651499998",5399629.67904,1422665.98837,205372.15115,136452.23994,212469.05116,139730.4716,24056.99673,6008.12446,21734224.35395
2012-02-01,"14694503.630399998",5455923.3278,1506751.98325,204443.08699,135449.54955,210100.44799,141609.73532,24643.38121,6025.63496,22379450.77747
2012-03-01,"15274014.580139998",5407485.986,1581145.93337,196279.99395,139623.79933,167747.6284,132797.17933,21996.38822,6065.25624,22927156.74498
2012-04-01,"15262413.407579999",5524563.30095,1583536.75902,182323.475,137817.53197,165816.76897,129797.142,27637.65408,3869.53791,23017775.57748
2012-05-01,"15333271.492840001",5828905.30056,1571412.50442,172823.32176,134169.85068,163376.05265,128218.01444,28005.83865,3762.87221,23363945.24821
2012-06-01,"15665517.961850001",5845360.44349,1565493.16567,172244.73245,136620.5395,166484.87372,127651.81249,24892.0229,4873.80656,23709139.35863
2012-07-01,"16046448.538499998",5899088.76381,1541641.60225,164193.20866,131284.69805,178621.20409,129861.79599,25953.75929,4775.23164,24121868.80228
2012-08-01,"15791423.699960001",6037779.87061,1627242.90792,161148.96735,132094.33478,176014.53596,124700.30461,25714.24794,4311.87841,24080430.74754
2012-09-01,"15959578.476920001",6115192.94417,1633704.19178,179710.99653,132092.79536,191599.76924,156450.00043,55510.87598,4978.66941,24428818.71982
2012-10-01,"16112168.319789998",6234886.02975,1669786.5764,177770.93765,121207.49954,191693.03238,148341.28344,55922.06564,4649.41322,24716425.15781
2012-11-01,"16463471.926520003",6370048.60053,1611862.27412,179975.54514,119627.39641,190380.636,148455.07719,55496.25145,5128.84458,25144446.55194
2012-12-01,"16799859.72628",6462079.7209,1592710.0009,177922.01226,119214.50823,191057.44359,151120.82937,53764.55023,5007.88238,25552736.67414
2013-01-01,"17407190.733240001",6414814.12259,1655739.61875,188813.89286,121652.98523,217708.84537,171307.90069,54327.20485,4435.89557,26235991.19915
2013-02-01,"17776541.669920001",6352462.54136,1669592.31191,182089.05979,119715.91475,222467.03697,169560.1508,54717.32116,4894.12031,26552040.12697
2013-03-01,"18232784.35557",6366307.91865,1647890.79877,192723.54257,123199.90823,256184.60982,178137.65724,54601.3964,4398.43396,27056228.62121
2013-04-01,"18407344.708620001",6168001.44051,1644822.409,192709.66721,120060.10893,294472.88432,188031.25115,54415.25633,9178.89849,27079036.62456
2013-05-01,"18807579.239709999",6526611.729,1793853.78998,190174.92814,106765.58947,294862.29349,193249.16915,54441.18032,9059.89645,27976597.81571
2013-06-01,"18718679.730290003",6674833.09615,1799783.17824,186720.79719,115027.30076,296759.84628,191972.7654,54159.88408,8712.29098,28046648.88937
2013-07-01,"19174310.225979999",6375504.17381,1828556.74863,180641.02755,115195.544,256383.4914,187690.78187,54068.37185,9002.38876,28181352.75385
2013-08-01,"19354639.872529998",6646678.58445,1787311.71386,179730.52384,112400.59041,263187.53676,185216.72066,53792.22018,8792.54322,28591750.30591
2013-09-01,"19860379.785",6821452.26766,1749595.02157,179353.35618,111972.41441,280739.66865,186142.93603,74174.35695,9479.64414,29273289.45059
2013-10-01,"20050824.274629999",6900905.30498,1722051.41742,183074.85527,111561.64662,277981.64913,183961.36261,75208.40467,9260.4099,29514829.32523
2013-11-01,"20142998.494879998",6863870.24299,1732959.44272,174057.29948,109639.56324,278072.84129,184458.02091,95529.87141,8640.50979,29590226.28671
2013-12-01,"20574888.641100001",6935904.40007,1733439.99741,171771.59668,109516.28674,279368.26551,195744.06141,155932.45804,8305.67582,30164871.38278
2014-01-01,"20446137.87449",7054247.89253,1760233.51245,171429.98667,110141.34056,314633.95244,194724.43748,156749.58843,7993.18117,30216291.76622
2014-02-01,"20518175.37238",7098575.86044,1779048.31534,171109.96258,112917.8302,292552.95055,194485.05349,156537.65036,8127.32597,30331530.32131
2014-03-01,"20505025.946940001",7087382.21237,1772656.26515,173097.19198,115315.96233,299717.5603,194886.94914,156835.46543,8077.2807,30312994.83434
2014-04-01,"20645629.108899999",6945636.94001,1751171.4867,172215.60825,112293.62895,297938.26327,192595.72683,156711.77854,3514.20712,30277706.74857
2014-05-01,"20730694.888569999",6853228.79426,1767609.23008,169649.77299,103572.80665,294888.31393,197314.8784,161796.52036,3228.8266,30281984.03184
