"MES","BCMP01","BCMP02","BCMP03","BCMP04","BCMP05","BCMP06","BCMP07","BCMP08","BCMP09","BCMP10","BCMP11","BCMP12","BCMP13","BCMP14","BCMP15","BCMP16","BCMP17","BCMP18","BCMP19","BCMP20","BCMP21","BCMP22","BCMP23","BCMP24","BCMP25","BCMP26","BCMP27","BCMP28","BCMP29","BCMP30","BCMP31","BCMP32","BCMP33","BCMP34","BCMP35","BCMP36","BCMP37","BCMP38","BCMP39","BCMP40","BCMP41","BCMP42","BCMP43","BCMP44","BCMP45","BCMP46","BCMP47","BCMP48"
2004-01-01,"2966547.125","6184829.966","1187580.051","4997249.915","0",,"14244120.517569602","5993199.1500000004","365846.77399999998","5627352.3760000002","0","0","8039464.5600000005","38705.101999999999","7884712.1069999998","99822.024999999994","16225.325999999999","211456.80756960003","34725.879000000001","175713.01756960002","1017.9109999999999",,"4915727.517","3355301.6719999998","1322253.523",,"1830206.3729999999","202841.77600000001","188506.99","188120.65400000001",,"0","386.33600000000001","1260087.987","995321.54299999995",,"264766.44400000002","0","111830.86800000002","78803.070000000007",,"33027.798000000003","0","2837233.4070000001","229329.58600000001","1523643.5005056001","7498367.9364304002","9274802.493999999"
2004-02-01,"3000852.8119999999","5920651.6799999997","1266062.0630000001","4654589.6169999996","0",,"13816176.244309999","5719790.8250000002","362951.94","5356838.8849999998","0","0","7891033.5489999996","41692.675000000003","7739476.4079999998","92951.326000000001","16913.14","205351.87031","37362.788999999997","166970.04431","1019.037",,"5006502.7750000004","3381188.6350000002","1283636.442",,"1894884.331","202667.86199999999","213783.946","213397.117",,"0","386.82900000000001","1291744.912","996007.81599999999",,"295737.09600000002","0","119785.28200000001","85976.312000000005",,"33808.97","0","2856777.4720000001","233370.356","1505053.059897","7352463.1516899997","9234035.3890000004"
2004-03-01,"2785731.9369999999","6164649.1620000005","1191028.9750000001","4973620.1869999999","0",,"13413933.788608","5466948.2590000005","357098.19","5109850.0690000001","0","0","7751436.1979999999","32800.012999999999","7634955.5609999998","82974.168000000005","706.45600000000002","195549.33160799998","34941.892","159586.21660799999","1021.223",,"5443498.852","3700217.679","1453466.18",,"2045869.8359999999","200881.663","242161.87400000001","241773.56700000001",,"0","388.30700000000002","1380889.49","1044767.89",,"336121.59999999998","0","120229.80899999999","104118.299",,"16111.51","0","2867717.7089999998","240457.60500000001","1564387.9327948","7408511.7963920003","9375691.936999999"
2004-04-01,"2941902.8020000001","5817666.5609999998","1127609.7150000001","4690056.8459999999","0",,"13008561.305374","5179199.2760000005","364906.43099999998","4811820.6560000004","0","2472.1889999999999","7630163.0750000002","32293.083999999999","7516883.6140000001","72943.297999999995","8043.0789999999997","199198.95437399996","31470.194","166705.22237399998","1023.538",,"5532271.760999999","3755406.8259999999","1583477.4110000001",,"1974754.186","197175.22899999999","261928.079","261539.27900000001",,"0","388.8","1393308.602","1083272.4069999999",,"310036.19500000001","0","121628.254","102762.697",,"18865.557000000001","0","2824678.9180000001","242823.94","1554250.3507117","7293994.4776259996","9162222.648"
2004-05-01,"2924532.693","6203187.8789999997","1243209.817","4959978.0619999999","0",,"13162369.29414","5161068.0940000005","352660.23499999999","4798690.2439999999","0","9717.6149999999998","7806804.0439999998","53751.423999999999","7620846.2800000003","71076.262000000002","61130.078000000001","194497.15614000001","51399.578000000001","142067.89814","1029.68",,"5452846.3430000003","3455762.4849999999","1285763.044",,"1970486.5630000001","199512.878","334234.45400000003","333845.16100000002",,"0","389.29300000000001","1497462.845","1200229.966",,"297232.87900000002","0","165386.55900000001","145760.97899999999",,"19625.580000000002","0","2817982.02","247427.557","1567093.614813","7324816.31886","9220316.5850000009"
2004-06-01,"3072095.094","5435995.4570000004","1301311.3810000001","4134684.0759999999","0",,"13019351.664672","4280491.6620000005","448764.28600000002","3797300.2880000002","0","34427.088000000003","8535761.3719999995","99335.45","8345877.5329999998","58132.146999999997","32416.241999999998","203098.63067199997","34785.824999999997","167281.80867199998","1030.9970000000001",,"5880748.0189999994","3870895.5090000001","1534567.824",,"2128154.7400000002","208172.94500000001","346872.71600000001","346482.43800000002",,"0","390.27800000000002","1495531.963","1210709.767",,"284822.196","0","167447.83100000001","148309.272",,"19138.559000000001","0","2848529.9079999998","245595.07699999999","765363.97881600005","7196362.2173279999","9131318.811999999"
2004-07-01,"3289359.8840000001","5229410.432000001","1253873.6299999999","3942598.4530000002","32938.349000000002",,"13338173.792438","4279113.6349999998","572270.94299999997","3634653.2579999999","0","72189.433999999994","8871300.0940000005","119324.024","8660787.5059999991","55879.116000000002","35309.447999999997","187760.06343800001","35552.504999999997","151178.469438","1029.0889999999999",,"5612925.5799999991","3554621.3530000001","1382971.6880000001",,"1966402.827","205246.83799999999","356196.25","355805.47899999999",,"0","390.77100000000002","1539734.4279999998","1267375.4909999999",,"272358.93699999998","0","162373.549","143263.78400000001",,"19109.764999999999","0","2874966.8119999999","247390.821","787145.95625469997","7317746.7495619999","9159031.7320000008"
2004-08-01,"3294916.1949999998","5382260.642","1244880.1040000001","4098894.3259999999","38486.212",,"13663060.558735998","4291680.2790000001","617276.65500000003","3568819.44","0","105584.18399999999","9152109.8779999986","127634.06200000001","8897668.5399999991","55343.644","71463.631999999998","219270.401736","39117.57","179120.70173599999","1032.1300000000001",,"5725651.8959999997","3549274.13","1459163.351",,"1887043.398","203067.38099999999","360649.11100000003","360256.86200000002",,"0","392.24900000000002","1651274.615","1354357.375",,"296917.24","0","164454.04","144841.66800000001",,"19612.371999999999","0","2954464.0470000003","250151.90700000001","783513.73406079994","7348735.0242640004","9339397.3330000006"
2004-09-01,"3338106.7280000001","5371236.8380000005","1278564.5490000001","4042006.091","50666.197999999997",,"13945322.463268001","4422164.9750000006","657819.74300000002","3632018.7340000002","8747.491","123579.007","9309892.9570000004","138806.889","8995867.5419999994","69360.989000000001","105857.537","213264.53126799999","40721.252","171508.66826799998","1034.6110000000001",,"6069322.1809999989","3974662.4979999997","1548587.122",,"2224279.2119999998","201796.16399999999","326972.647","326579.41200000001",,"0","393.23500000000001","1598011.4809999999","1302063.811",,"295947.67","0","169675.55499999999","150198.01699999999",,"19477.538","0","3095127.5150000001","256166.39799999999","780957.03410799999","7405475.3087320002","9452757.8029999994"
2004-10-01,"3431970.7829999998","5348270.2460000003","1241265.1569999999","3970853.7170000002","136151.372",,"14005875.402566001","4503190.3459999999","693929.08499999996","3686115.443","11110.764999999999","112035.053","9298433.4849999994","160053.77799999999","8960159.5399999991","79472.501000000004","98747.665999999997","204251.571566","46148.35","157069.150566","1034.0709999999999",,"6117741.9589999998","3981682.4189999998","1721615.2520000001",,"2054875.048","205192.11900000001","341435.913","341041.2",,"0","394.71300000000002","1657018.898","1371614.65",,"285404.24800000002","0","137604.72899999999","118755.00900000001",,"18849.72","0","3088238.8080000002","259210.27100000001","765580.92683040001","7292269.5904339999","9590838.2630000003"
