"MES","BCDA01","BCDA02","BCDA03","BCDA04","BCDA05","BCDA06","BCDA07","BCDA08","BCDA09","BCDA10","BCDA11","BCDA12","BCDA13"
2006-05-01,,"1204.1890399999997","1632764.8337600001",,,"226877.59547","45641.51021","1906488.1284800002","0","1044307.00905","0","545677.66310999996","316503.45632"
2006-06-01,,"2268.1585800000003","1650355.6823000002",,,"227263.84563","40668.778580000006","1920556.4650900003","0","1049124.3423000001","0","553402.20172000001","318029.92106999998"
2006-07-01,,"6626.76145","1657644.74238",,,"224769.36177999998","42186.300490000001","1931227.1661","0","1049111.5493900001","0","561442.18360999995","320673.43310000002"
2006-08-01,,"7192.886489999999","1676971.236",,,"185239.24499000001","52216.188800000004","1921619.5562800001","0","1037854.30637","0","559384.51648999995","324380.73358000006"
2006-09-01,,"237.48921999999999","1694100.32452",,,"186329.88431999998","43707.578470000015","1924375.2765300001","0","1032788.3749899999","0","565221.00633","326365.89521000005"
2006-10-01,,"2524.49179","1679878.5089599998",,,"170720.76603999999","81623.944149999996","1934747.7109399997","0","1032180.82478","0","573110.36936999997","329456.51679000002"
2006-11-01,,"1278.4955600000001","1580664.5896300001",,,"155108.79736999999","76314.400400000013","1813366.28296","0","1022683.7547","0","458420.96854999999","332261.55971000006"
2006-12-01,,"3200.1327900000001","1597635.7116799999",,,"146554.86723999999","72051.852140000003","1819442.56385","0","1020564.54687","0","464936.60874000005","333941.40824000002"
2007-01-01,,"3200.1327900000001","1597635.7116799999",,,"146554.86723999999","72051.852140000003","1819442.56385","0","1020564.54687","0","464936.60874000005","333941.40824000002"
2007-02-01,,"927.29129","1519583.7655400001",,,"142755.32029999999","148359.55180000002","1811625.9289300002","0","1005930.5425400001","0","467634.28396000009","338061.10243000003"
2007-03-01,,"24323.081160000002","1543711.8598999998",,,"106941.28515999998","152609.25049999997","1827585.4767199997","0","1014349.50976","0","498149.49659","315086.47037"
2007-04-01,,"9207.0916099999995","1536121.4684599997",,,"107272.84265000001","147563.82508999997","1800165.2278099996","0","1014349.50976","0","467122.35300999996","318693.36504"
2007-05-01,,"3463.90994","1127535.56112",,,"107467.90131","181890.84747000001","1420358.2198399999","0","1000269.7182","0","98708.598220000014","321379.90341999999"
2007-06-01,,"6346.6178099999988","1083248.1404099998",,,"107833.72012","150784.26442999998","1348212.7427699997","0","923516.73641000013","0","100582.21476999999","324113.79158999998"
2007-07-01,,"4574.77754","1086028.8045400002",,,"96404.414909999992","155444.87341","1342452.8704000001","0","913749.7561900001","0","103820.92547999999","324882.18873000005"
2007-08-01,,"1876.85328","989237.17368000001",,,"196049.60244000002","135269.43048000001","1322433.0598800001","0","897483.56385999999","0","98895.371650000001","326054.12437000003"
2007-09-01,,"30271.224860000002","971770.20710000012",,,"196872.16959999999","123341.65815","1322255.2597100001","0","892595.30180999998","0","101269.13216000001","328390.82574"
2007-10-01,,"109818.1378","1009623.2227",,,"54066.220829999998","144114.01837000001","1317621.5996999999","0","883407.42424999992","0","103342.74226999999","330871.43317999999"
2007-11-01,,"70201.28740999999","1019829.6296399999",,,"54547.435219999992","122425.51156","1267003.8638299999","0","829712.35928999993","0","105009.79248000002","332281.71205999999"
2007-12-01,,"72523.581149999998","951942.76887000003",,,"55261.772170000004","90272.341870000004","1170000.4640600001","0","725369.38915000006","0","101167.99054999999","343463.08435999998"
2008-01-01,,"72300.725859999991","952634.65359",,,"55817.600430000006","93882.281310000006","1174635.26119","0","721536.52578999999","0","103658.55082","349440.18458"
2008-02-01,,"52342.440350000004","956197.93119999999",,,"56497.731639999998","73993.488970000006","1139031.59216","0","691820.94406000001","0","92446.933380000002","354763.71472000005"
2008-03-01,,"53163.262350000005","875898.46367000008",,,"57076.215039999995","74181.499459999992","1060319.4405200002","0","608861.32681999996","0","99014.65784","352443.45586000005"
