"MES","BPCA01","BPCA02","BPCA03","BPCA04","BPCA05","BPCA06","BPCA07","BPCA08","BPCA09","BPCA10"
2011-05-01,"5876666.8626000006",5530900.06121,3441771.31076,679073.16351,508601.4554,651408.51854,748771.87362,225627.0653,78478.52216,17741298.8331
2011-06-01,"6307037.1715299999",5894416.28753,3461774.46666,684423.98341,541501.74407,669791.99873,765315.13686,223837.58254,80896.62807,18628994.9994
2011-07-01,"5919610.0920499982",5954002.15464,3478701.23283,690336.20571,528251.2376,655357.72509,786200.88707,242217.64611,83324.21233,18338001.39343
2011-08-01,"6289876.9340300001",6114670.65279,3430302.67087,704965.78057,550723.04422,664146.70644,822316.66705,258770.84201,86965.68728,18922738.98526
2011-09-01,"6592661.8384100012",6280522.36116,3446599.98335,700120.20517,563727.88907,672889.75535,839296.97634,268596.92625,84905.02192,19449320.95702
2011-10-01,"6459538.6407599999",6063513.38414,3498105.49459,698377.67104,558373.98238,686874.01666,846696.12539,272395.72705,85752.81756,19169627.85957
2011-11-01,"6855585.1530400012",6083651.56107,3541323.17243,698093.23187,583818.62072,704943.12934,854494.40166,275988.81965,85536.33478,19683434.42456
2011-12-01,"7070071.9005800001",6580978.81534,3720879.73345,741092.66364,611105.56033,770095.36984,973339.9587,301494.96472,105788.9895,20874847.9561
2012-01-01,"6766593.4543500012",6250440.91871,3694092.87517,730325.11989,602905.25709,748437.2859,950055.30345,267872.57257,97206.87605,20107929.66318
2012-02-01,"6973586.2761899987",5989715.51036,3715125.65047,732789.74842,614068.18449,747958.6277,911285.68275,267303.86249,95316.256,20047149.79887
2012-03-01,"7209403.5650600018",6313976.99232,3727105.89915,750677.52088,614564.2744,738054.74209,911181.82223,268653.53331,93459.08587,20627077.43531
2012-04-01,"7189313.3757499997",6116657.40001,3691673.38938,731180.14299,634037.25282,726321.3161,895657.66093,269752.03744,93131.4303,20347724.00572
2012-05-01,"7025239.7656900007",6355597.72978,3782180.746,749296.73925,643925.88335,752956.45081,918143.90503,279491.38479,90299.40449,20597132.00919
2012-06-01,"7175407.7672400009",6791309.74408,3793982.24765,749467.86754,656241.84203,746562.68788,912637.23373,279433.68918,89413.30829,21194456.38762
2012-07-01,"7015148.7064899998",6866683.0928,3792784.69709,742754.59906,660443.23578,738275.48047,925292.7716,269980.47335,88423.47839,21099786.53503
2012-08-01,"7522731.6016299985",6680354.84679,3846988.65105,742082.28924,678891.98016,743195.04175,928957.4304,297966.15918,98430.5551,21539598.5553
2012-09-01,"7517146.7892199997",6557429.77731,3851111.15417,756472.73562,685984.08173,734964.3001,918734.82198,324905.27818,96008.87405,21442757.81236
2012-10-01,"7577352.9897000007",6442023.07143,3827530.38897,761731.86536,693077.65328,745976.52312,925764.73248,329274.28183,94020.73051,21396752.23668
2012-11-01,"8020450.5765200006",6224493.45532,3851690.41191,774750.29281,706525.9082,748655.2087,947750.71142,328808.33777,93483.29096,21696608.19361
2012-12-01,"8819298.9885099996",6635272.37475,4079246.82197,838289.24215,760551.11623,845458.03027,1089549.62202,360527.51272,114144.08405,23542337.79267
2013-01-01,"9087492.5889700018",6661721.64097,4129553.83143,847618.81433,753135.2365,883307.73171,1095660.93598,346362.17016,112347.27268,23917200.22273
2013-02-01,"9224881.955980001",6588998.15909,4151449.00796,857505.19452,746513.50793,878030.58115,1063841.13853,343435.36908,110511.92947,23965166.84371
2013-03-01,"9434853.8422499988",6282903.06327,4210763.79104,841025.302,727472.29831,885433.55453,1040315.40372,335732.30129,101843.27658,23860342.83299
2013-04-01,"9100652.1087200008",6822861.90548,4243726.47382,834686.502,725192.17615,872347.03804,1033657.02972,335058.02119,103774.08079,24071955.33591
2013-05-01,"8967713.4209499992",6601619.55143,4275611.64155,841954.03346,732136.34918,905921.52082,1039854.59849,353195.91203,102184.73704,23820191.76495
2013-06-01,"8924416.8862800002",6840744.59208,4310048.05289,859766.36041,736968.42495,918708.09457,1071718.19542,357994.40012,104222.73781,24124587.74453
2013-07-01,"9594834.5187500007",6974399.97077,4349521.9082,885723.56827,746770.33338,914602.34683,1071105.86506,339794.60842,101251.20162,24978004.3213
2013-08-01,"9760111.0223200005",7565563.00314,4362710.78191,882852.67087,764883.67327,911801.95656,1083569.37302,356511.96912,104697.72016,25792702.17037
2013-09-01,"9608188.5197800007",7279405.54236,4389067.25863,901016.87318,762900.44171,915149.88971,1098826.32941,369060.96577,100802.45244,25424418.27299
2013-10-01,"9782763.1968900003",7489547.05847,4474543.97463,915170.04485,788536.12427,937196.65471,1139953.16982,367718.14742,106035.54741,26001463.91847
2013-11-01,"9533385.5476100016",7398665.86918,4500926.99035,941761.70521,786940.52335,945417.34207,1145772.326,367095.87072,107792.29399,25727758.46848
2013-12-01,"10282428.694870001",8464639.09531,4891719.74417,1075017.67056,899505.25327,1105327.87498,1359516.26034,437979.18998,146231.49145,28662365.27493
2014-01-01,"10468619.946540002",8096266.47015,4896358.0243,1053075.14221,912218.65311,1083942.49356,1337488.07371,420426.8285,134524.63466,28402920.26674
2014-02-01,"10314283.2335",7792748.85922,4940442.05709,1071030.81764,888045.61295,1080175.52652,1332723.23838,426652.93198,137337.15748,27983439.43476
2014-03-01,"10157958.241569998",7930262.2562,4891358.83368,1058852.8898,883553.04922,1035091.6734,1285378.40879,432494.15618,142476.13867,27817425.64751
2014-04-01,"10502126.174480001",9131866.45098,4913141.75127,1082631.80946,884477.13183,1057739.74983,1317931.08374,437384.18764,141736.97978,29469035.31901
2014-05-01,"10521639.770889997",8847754.20864,4908633.43747,1070144.48934,888758.61523,1070330.95873,1290164.3309,442493.35305,138802.17179,29178721.33604
