"MES","BCOP01","BCOP02","BCOP03","BCOP04","BCOP05","BCOP06","BCOP07","BCOP08","BCOP09","BCOP10","BCOP11","BCOP12","BCOP13","BCOP14","BCOP15","BCOP16","BCOP17","BCOP18","BCOP19","BCOP20","BCOP21","BCOP22","BCOP23","BCOP24","BCOP25","BCOP26","BCOP27","BCOP28","BCOP29","BCOP30"
2004-11-01,"1588705","271","53","218","0","481233","18544","462583","0","106","1102437","673","1101764","0",,"4764","4194","570","47439","0","6620","40819","1789","1420","369","-","0","1429","336536","318192"
2004-12-01,"1613961","148","26","122","0","500729","22783","477781","0","165","1111367","730","1110637","0",,"1717","1183","534","44263","0","7809","36454","4845","4441","404","-","0","1387","341991","318152"
2005-01-01,"1623365","147","24","123","0","496570","22546","473848","0","176","1123849","740","1123109","0",,"2799","2052","747","44251","0","7751","36500","4616","4202","414","-","0","1389","345549","322147"
2005-02-01,"1637313.1261999998","155.60937999999999","52.748620000000003","102.86076","0","498475.26662000001","22436.654210000001","475818.76240000001","0","219.85001","1135496.7868999999","908.92244999999991","1134587.86445","0",,"3185.4632999999999","2581.4326599999999","604.03064000000006","44700.445019999999","0","8156.8495199999998","36543.595499999996","4664.8342199999997","4290.8761100000002","373.95810999999998","-","0","1390.4148","348484.78569999995","328058.97628"
2005-03-01,"1642132.7967400001","112.14301999999999","19.067869999999999","93.075149999999994","0","498450.90078000008","21725.622449999999","476429.10212000005","0","296.17621000000003","1141100.19967","882.81178","1140217.3878899999","0",,"2469.5532699999999","1718.0911899999999","751.46208000000013","44127.950079999995","0","7888.6327999999994","36239.317279999996","4425.4845399999995","4061.0544899999995","364.43005000000005","-","0","1393.8649599999999","349939.88960000005","334969.53729000001"
2005-04-01,"1823074.1769499998","81.612040000000007","21.690840000000001","59.921199999999999","0","583273.61442","28701.788299999997","554309.58848000003","0","262.23764","1236036.9663999998","1268.0881200000001","1234768.8782799998","0",,"3681.9840900000004","2174.0830400000004","1507.9010499999999","49248.755619999996","0","9285.9697500000002","39962.78587","2668.0441300000002","2228.62464","439.41949","-","0","1195.72712","374453.88918999996","361330.39108999999"
2005-05-01,"1843728.6358100004","129.93074999999999","85.279529999999994","44.651220000000002","0","587796.3078500001","26252.98489","561180.60648000019","0","362.71647999999999","1253350.8029200002","1402.2641999999998","1251948.5387200001","0",,"2451.59429","1774.3723400000001","677.22195000000011","48916.368029999998","0","8768.1394499999988","40148.228579999995","2204.7585300000001","1779.51442","425.24410999999998","-","0","1195.72712","381234.37576999993","361673.02184"
2005-06-01,"1860311.6825600001","56.114280000000008","23.293020000000002","32.821260000000002","0","596161.47629000002","31533.888470000005","564169.03599","0","458.55183","1262296.46735","1483.5120200000001","1260812.95533","0",,"1797.6246400000002","1163.8637900000001","633.76085000000012","48733.777650000004","0","8834.9845700000005","39898.793080000003","2434.8997100000001","1963.41473","471.48498000000006","-","0","1195.72712","381233.65666999994","369839.12746000005"
2005-07-01,"1875840.7845600003","95.923609999999996","59.280329999999999","36.643279999999997","0","597122.69565000013","31720.715230000005","564985.79463000013","0","416.18579","1276097.68728","1742.2501599999998","1274355.4371199999","0",,"2524.4780199999996","1963.1697399999998","561.30827999999997","47943.807820000002","0","8187.1147100000007","39756.69311","2161.63382","1766.9666500000001","394.66717","-","0","1191.28754","380051.70868999994","371949.58064"
2005-08-01,"1883716.36109","97.718940000000003","69.138320000000007","28.58062","0","606012.51039999991","39843.349219999996","565443.63853999996","0","725.52264000000002","1274977.6567799998","2788.3002099999999","1272189.3565699998","0",,"2628.4749700000002","2053.0422800000001","575.43268999999998","48198.230250000001","0","8609.2104099999997","39589.019840000001","2178.5557600000002","1796.8108300000001","381.74493000000001","-","0","1188.32782","383404.25505000004","378611.02948999999"
