"MES","SEML01","SEML02","SEML03","SEML04","SEML05","SEML06","SEML07","SEML08","SEML09","SEML10","SEML11","SEML12","SEML13"
2005-02-01,"238.18973","971.93232999999998","1210.1220599999999","13.0205","388.91059999999999","399.94465000000002","9928.9523100000006","3.2014499999999999","24.973490000000002","0.18101","23.395","1108.0125199999966","13100.713589999999"
2005-03-01,"296.62112000000002","1268.50632","1565.12744","41.925800000000002","474.64094999999998","1105.13879","12912.15065","0.56035000000000001","47.756140000000002","0.36087000000000002","12","6200.6766000000007","22360.337589999999"
2005-04-01,"295.14627999999999","1184.5669499999999","1479.7132299999998","40.024799999999999","274.13113999999996","632.40671999999995","14357.85888","0.86599999999999999","27.343510000000002","0.29729000000000005","45.15","9241.2546000000002","26099.046170000001"
2005-05-01,"329.13261","1322.8946840000001","1652.027294","41.099760000000003","287.23289","1074.48577","13118.256659999999","3.10501","41.651620000000001","0.20499999999999999","32.130000000000003","1765.934500000003","18016.128504"
2005-06-01,"196.34316000000001","1403.51638","1599.8595399999999","38.902360000000002","326.25618000000003","728.66125","10158.1988","3.6469499999999999","25.409029999999998","0.38867000000000002","20.329999999999998","15649.655999999997","28551.308779999999"
2005-07-01,"280.74549999999999","1195.9641100000001","1476.7096100000001","54.117010000000001","382.90543000000002","1407.1356000000001","13683.045689999999","0.58743000000000001","41.501049999999999","0.23427000000000001","20.89","5977.04","23044.166089999999"
2005-08-01,"332.80174","1092.11052","1424.9122600000001","94.405299999999997","525.99292000000003","735.87785999999994","13514.844999999999","1.0201","30.966840000000001","0.63438000000000005","31.137","7468.7914758000006","23828.5831358"
2005-09-01,"294.68205999999998","1018.99019","1313.6722500000001","72.454160000000002","743.55412000000001","1255.6263899999999","14200.318160000001","6.1141100000000002","38.834299999999999","0.64621000000000006","26.5","14229.838017000002","31887.557717"
2005-10-01,"219.40380999999999","1226.2312999999999","1445.6351099999999","69.713200000000001","750.99509999999998","1526.5325700000001","12582.379660000001",,"35.636579999999995","0.57516","20.63","5194.3168007731983","21626.414180773198"
2005-11-01,"245.98160999999999","726.37891000000002","972.36051999999995","93.087599999999995","482.85716000000002","1076.96992","10885.2269","1.39635","32.597000000000001","0.68520000000000003","33.200000000000003","15395.811982426798","28974.192632426799"
2005-12-01,"231.46795","1077.60969","1309.07764","57.392969999999998","282.53152999999998","492.99225999999999","12908.935509999999","10.8714","27.014220000000002","0.86702999999999997","38.243290000000002","2294.992000000002","17422.917849999998"
2006-01-01,"324.95530000000002","1280.1970600000002","1605.1523600000003","84.640300000000011","627.91713000000004","1139.3865700000001","12892.520900000001","5.3178500000000009","44.096830000000004","0.70984000000000003","47.285000000000004","5726.19625","22173.223030000001"
2006-02-01,"228.77647000000002","878.29447000000005","1107.0709400000001","57.518339999999995","523.40024000000005","877.01552000000004","12033.857230000001","4.3211499999999994","39.382930000000002","0.64678000000000002","41.19","2381.11015","17065.513279999999"
2006-03-01,"260.74858","1141.40978","1402.1583599999999","99.517759999999996","154.98187999999999","524.69398999999999","16449.892369999998","37.03557","40.305390000000003","0.7016","34.893339999999995","3720.8782799999999","22465.058539999998"
2006-04-01,"258.39654999999999","1192.2215900000001","1450.61814","128.44456","535.21355000000005","820.01049999999998","17423.302660000001","26.822299999999998","46.669030000000006","0.60123000000000004","44.650500000000001","3081.00711","23557.33958"
2006-05-01,"206.92019000000002","1257.9452800000001","1464.8654700000002","71.097920000000002","569.16255999999998","1890.1873900000001","15727.177519999999","3.70913","49.764400000000009","0.56855","4.5600000000000005","3883.45838","23664.551319999999"
2006-06-01,"168.68143000000001","1344.6130500000002","1513.2944800000002","85.894009999999994","357.22349000000003","1025.01659","15695.5977","3.7084699999999997","46.792150000000007","0.47881000000000001","65.61","3979.2878700000001","22772.903570000006"
2006-07-01,"397.11288000000002","1032.77378","1429.8866600000001","85.208960000000005","793.84689000000003","1350.6036000000001","14095.367400000001","8.6586599999999994","46.604970000000002","0.50919000000000003","20.559000000000001","5348.7367200000008","23179.982050000006"
2006-08-01,"376.65935999999999","1347.01767","1723.6770299999998","125.81847","374.67776000000003","809.90812000000005","16965.52375","12.164149999999999","36.809919999999998","0.49406","41.979500000000002","5229.6928000000007","25320.745560000003"
2006-09-01,"363.74955","990.52","1354.26955","101.09064000000001","362.14821000000001","670.0539","12766.78513","13.85675","31.74905","0.49235000000000001","85.4","176703.87432999999","192089.71990999999"
2006-10-01,"283.78298000000001","1278.4896100000001","1562.27259","83.969800000000006","620.31586000000004","1332.8516299999999","16322.09504","17.373060000000002","40.625540000000001","0.38802000000000003","57.505000000000003","6133.6960800000006","26171.092620000003"
2006-11-01,"264.34552000000002","1020.79668","1285.1422","83.510800000000003","290.21276","545.01855","12895.911760000001","38.420320000000004","30.986139999999999","0.51749000000000001","43.63","5858.2494999999999","21071.59952"
2006-12-01,"195.56887","601.63408000000004","797.2029500000001","87.287880000000001","406.09528","726.45496000000003","10152.018410000001","22.128520000000002","20.080360000000002","0.25928999999999996","42.33","3024.9661499999997","15278.8238"
2007-01-01,"145.34227999999999","1304.0227199999999","1449.365","163.48276000000001","379.57188000000002","982.99781999999993","11313.996050000002","40.460709999999999","31.854309999999998","0.51457000000000008","46.553000000000004","3645.2047400000001","18054.000840000001"
2007-02-01,"146.60223999999999","663.56421999999998","810.16645999999992","168.92019000000002","234.28792999999999","997.65508999999997","13314.679109999999","28.236409999999999","37.821390000000001","0.50035000000000007","25.43","180436.97563999999","196054.67257"
2007-03-01,"117.49795","194.90409","312.40204","100.11938000000001","259.12137999999999","1224.4691499999999","11682.894749999999","26.486840000000001","34.645070000000004","0.51558999999999999","19.850000000000001","12456.04371","26116.547910000001"
2007-04-01,"138.27918","184.9674","323.24657999999999","101.63455","405.85303000000005","985.49953000000005","16676.454430000002","37.492940000000004","36.386360000000003","0.45182","61.82","5341.2203799999997","23970.05962"
2007-05-01,"129.86571000000001","1120.2519299999999","1250.1176399999999","98.944789999999998","358.12365","1053.7265500000001","17210.831160000002","36.687539999999998","34.192259999999997","0.52176000000000011","63.745000000000005","194759.56436000002","214866.45471000002"
2007-06-01,"124.39035000000001","1132.4320500000001","1256.8224","127.62166999999999","450.99660000000006","890.59231000000011","15343.534070000002","93.050730000000001","34.002290000000002","0.46506000000000003","29.55","10622.637909999999","28849.27304"
2007-07-01,"145.90071","692.16525999999999","838.06596999999999","95.145270000000011","252.96518000000003","782.20428000000004","14907.159439999999","64.222589999999997","30.198130000000003","0.47132000000000002","77.855000000000004","102740.11264000001","119788.39982000001"
2007-08-01,"96.631099999999989","760.68525","857.31634999999994","145.87576999999999","510.85642000000001","1798.49836","16861.35657","49.581230000000005","40.839439999999996","0.40888000000000002","78.73","204876.16248999999","225219.62550999998"
2007-09-01,"132.64103","1125.7977599999999","1258.4387899999999","86.107169999999996","327.35792000000004","2283.47253","19449.929889999999","48.274910000000006","46.41827","0.40692",,"12897.193650000001","36397.600050000001"
2007-10-01,"122.39238","1392.6114299999999","1515.0038099999999","84.857380000000006","367.95240000000001","2625.3958700000003","25218.04333","51.295839999999998","59.250810000000001","0.43052000000000001","42.302","6720.3615399999999","36684.893499999998"
2007-11-01,"288.08014000000003","2053.6113700000001","2341.6915100000001","80.374750000000006","281.34460999999999","3337.44","23819.556629999999","113.15744000000001","69.616569999999996","0.44974000000000003","67.69","6681.9059899999993","36793.227239999993"
2007-12-01,"838.37197000000003","1501.82239","2340.19436","142.40013000000002","226.66961999999998","4415.6729299999997","26393.401170000001","47.969879999999996","70.635140000000007","0.42951","46.141280000000002","9615.5897999999997","43299.103820000004"
2008-01-01,"329.17662999999999","995.16624000000002","1324.3428699999999","142.31032000000002","447.92486999999994","4497.6385899999996","21971.68463","64.62003","63.606629999999996","0.49692000000000003","21.54","5026.183","33560.347859999994"
2008-02-01,"50.039540000000002","985.06471999999997","1035.1042600000001","97.176220000000001","376.37787000000003","4072.9695699999997","26346.447920000002","41.540779999999998","65.539529999999999","0.39119999999999999","18.225000000000001","204803.43050000002","236857.20285"
2008-03-01,"154.69535000000002","947.87093000000004","1102.56628","114.99728","401.67223000000001","4092.23128","27979.840929999998","60.858199999999997","64.158720000000002","0.38473000000000002","41.390000000000008","71037.805800000002","104895.90544999999"
2008-04-01,"111.58341","960.63634000000002","1072.21975","102.9585","380.02509999999995","6960.9205400000001","31446.317920000001","45.524650000000001","81.302420000000012","0.42260000000000003","53.218640000000001","4277.2140399999998","44420.124159999999"
2008-05-01,"93.45626","862.73251000000005","956.18877000000009","99.657399999999996","318.03597000000002","5580.6670199999999","33478.277589999998","60.404989999999998","82.905609999999996","0.43222000000000005","60.51","6650.8534200000004","47287.932990000008"
2008-06-01,"265.05754999999999","1092.12237","1357.17992","143.85707000000002","450.22041000000002","7279.2943400000004","34982.585549999996","71.983270000000005","94.627020000000016","0.45963999999999999","31.539360000000002","7417.7248100000006","51829.471389999999"
2008-07-01,"273.4205","544.87539000000004","818.2958900000001","100.36036","260.35411999999997","8046.5427099999997","37181.10194","78.734690000000001","104.22084","0.41370999999999997","107.09339","7789.4715100000003","54486.589160000003"
2008-08-01,"426.01014000000004","1125.0325600000001","1551.0427000000002","156.83058","393.58158000000003","8028.7595199999996","35271.399109999998","79.219619999999992","95.042539999999988","0.47821000000000002","38.953910000000008","7087.2054600000001","52702.513229999997"
2008-09-01,"371.00873000000001","1215.76028","1586.76901","115.54898","422.59131999999994","9583.9290099999998","37981.856890000003","56.865800000000007","111.33645999999999","0.40053","145.16974999999999","5060.2436299999999","55064.711380000001"
2008-10-01,"149.80364000000003","1129.62005","1279.4236900000001","141.24643","299.50621999999998","7648.8227900000002","30225.044840000002","95.392470000000003","107.02359000000001","0.42880000000000001","20.02","7407.6741300000003","47224.582959999992"
2008-11-01,"478.35975999999999","1174.79709","1653.1568500000001","100.79363000000001","87.333130000000011","8673.5039600000018","38380.122729999995","50.035480000000007","129.22683000000001","0.39600000000000002",,"6786.9844700000003","55861.553079999998"
2008-12-01,"236.92310000000001","1224.3324","1461.2555","131.83252999999999","61.454700000000003","8345.7035300000007","32375.999370000001","25.484950000000001","113.08386","0.38594000000000001","4.9153600000000006","8232.4980400000004","50752.61378"
2009-01-01,"253.92034000000001","1447.8473999999999","1701.7677399999998","187.96307999999999","41.2087","7285.2038600000005","29820.19238","38.7241","81.51460999999999","0.42752999999999997","2.9272199999999997","3198.3918700000004","42358.321089999998"
2009-02-01,"131.29921999999999","831.77985999999999","963.07907999999998","83.945859999999996","204.56721000000002","7979.68995","33501.38725","17.985029999999998","124.88614000000001","0.33316000000000001",,"2033.5581200000001","44909.431800000006"
2009-03-01,"58.574940000000005","1620.17941","1678.7543499999999","89.390270000000001","164.10717","6498.2405900000003","33379.497159999999","22.613160000000001","99.233410000000006","0.34031","23.682870000000001","4935.3924200000001","46891.251709999997"
2009-04-01,"234.84382000000002","1145.8227900000002","1380.6666100000002","137.27492999999998","130.5506","7377.1956200000004","33276.679060000002","16.20805","105.87586999999999","0.35498999999999997",,"14396.80228","56821.608010000011"
2009-05-01,"192.0565","1299.80324","1491.8597399999999","97.02937","248.58872","6688.0477300000002","36645.643860000004","44.087769999999999","101.40205","0.28059999999999996",,"6098.2173599999996","51415.157200000001"
2009-06-01,"330.38486999999998","1095.2137600000001","1425.59863","34.748150000000003","399.76033999999999","6365.14437","32000.571059999998","59.127220000000001","116.93913999999999","0.30921000000000004","8.3100000000000021E-2","10088.431620000001","50490.712840000007"
2009-07-01,"51.246510000000001","1262.8342399999999","1314.0807499999999","112.42824","318.84397000000001","8254.6695199999995","38458.740790000003","48.358629999999998","118.52167","0.30034999999999995",,"13547.510200000001","62173.454120000009"
2009-08-01,"61.52525","1251.60213","1313.1273799999999","103.35812","251.58220999999998","6789.3958700000003","39485.416850000001","67.90955000000001","116.89958","0.25563999999999998","97.117190000000008","7780.4562300000007","56005.518620000003"
2009-09-01,"80.030649999999994","1366.27801","1446.3086599999999","88.670259999999999","253.95614000000003","7558.7588400000004","39628.97653","53.345050000000001","127.79019000000001","0.33612999999999998","20.051000000000002","9900.9611999999997","59079.154000000002"
2009-10-01,"235.22320999999999","1178.6323300000001","1413.85554","126.17596","324.90960000000001","6453.0377699999999","34421.186810000007","68.124050000000011","122.44392000000001","0.31992000000000004","19.288180000000001","10769.31214","53718.653890000009"
2009-11-01,"408.17394000000002","1452.63465","1860.8085900000001","117.65826","266.85534999999999","7091.6479500000005","39780.279729999995","118.1538","106.11446000000001","0.39410000000000001","75.354550000000003","8550.0970600000001","57967.363849999987"
2009-12-01,"290.09212000000002","1209.6264799999999","1499.7185999999999","111.81775999999999","439.34996000000001","6098.4435800000001","38999.649859999998","117.31656","104.20105000000001","0.22916999999999998","70.801600000000008","8480.2043000000012","55921.732439999992"
2010-01-01,"292.17705000000001","1463.78341","1755.96046","76.669429999999991","255.69353000000001","5640.9279900000001","34137.684719999997","85.577169999999995","94.190979999999982","0.23688000000000001","19.551000000000002","3473.7890799999996","45540.281239999989"
2010-02-01,"223.81533999999999","1203.6233999999999","1427.4387400000001","166.70094","234.0472","5557.4795299999996","30612.148320000004","72.444400000000002","82.63839999999999","0.19969000000000003","23.438500000000001","4916.3208200000017","43092.856540000008"
2010-03-01,"105.48375","1277.0348399999998","1382.5185899999999","170.84518","654.35818999999992","7499.3773999999994","36114.126120000001","110.53170000000001","128.52937","0.18797","25.587500000000002","10670.772779999999","56756.834799999997"
2010-04-01,"210.81312000000003","1145.48369","1356.2968100000001","109.62518","577.04354000000001","3741.8207200000002","25152.656590000002","77.451880000000003","96.804240000000007","0.21743999999999999",,"12243.67432","43355.590720000007"
2010-05-01,"260.39797999999996","1249.7290899999998","1510.1270699999998","105.10615","517.16516000000001","6322.1950700000007","41748.095609999989","136.28186000000002","136.39713000000003","0.21790999999999999","40.085999999999999","8573.0107399999997","59088.68269999999"
2010-06-01,"141.44947999999999","1193.3946900000001","1334.8441700000001","138.08185999999998","655.45861000000002","6848.0440600000002","35686.957970000003","103.22331","121.41378","0.22131999999999999",,"7200.1508999999996","52088.395980000008"
2010-07-01,"564.63552000000004","1322.44147","1887.07699","159.53711999999999","347.85982999999999","5510.9222100000006","32170.760419999999","327.32711","107.52573","0.2432","59.527099999999997","8920.1618299999991","49490.941539999993"
2010-08-01,"377.74639000000002","1235.6406899999999","1613.38708","130.35014000000001","407.15689000000003","5492.2253400000009","30869.387500000004","90.899849999999986","71.512140000000002","0.16582","51.608000000000004","6155.6880000000001","44882.380760000007"
2010-09-01,"230.92771999999999","1208.50208","1439.4297999999999","112.08287","229.17161000000004","6487.6320100000012","40423.252140000004","104.23592000000001","116.80365","0.19787000000000002","32.474379999999996","15722.422549999999","64667.702800000014"
2010-10-01,"232.19900000000001","1119.3862200000001","1351.5852200000002","99.808630000000008","375.62004000000007","7639.6781000000001","36347.461420000007","61.004950000000001","115.07306000000003","0.17967","50.101390000000002","16472.231589999999","62512.744070000015"
2010-11-01,"282.68802000000005","1207.8728099999998","1490.5608299999999","125.20133000000001","388.16791999999992","4145.28208","32625.284070000005","78.830970000000008","93.025530000000003","0.19353999999999999","42.302","17489.669110000003","56478.517380000012"
2010-12-01,"179.35032000000001","1058.49287","1237.84319","123.56273999999999","425.41468000000009","8435.3457099999996","36880.393099999994","143.70581000000001","111.30110000000001","0.18706999999999999","24.935000000000002","16544.219690000002","63926.908089999983"
2011-01-01,"84.309950000000015","1458.8466600000002","1543.1566100000002","121.41817999999999","349.74471000000005","8106.4751399999996","41255.413750000007","99.888639999999995","101.01823000000002","0.27832000000000001","134.35897999999997","12966.60838","64678.360939999999"
2011-02-01,"236.16486000000003","1218.2782199999999","1454.44308","95.402119999999996","346.09256000000005","7382.1291900000006","35453.935060000003","101.0902","117.12953999999999","0.39449000000000001","46.855000000000004","10843.213160000001","55840.684400000006"
2011-03-01,"181.06310999999999","1074.2816499999999","1255.34476","123.17184","279.12283000000002","5422.1896799999995","21812.489599999997","106.48479","72.587810000000005","0.36224000000000001","5.54","13385.057999999999","42462.351549999992"
2011-04-01,"329.56001999999995","1170.7121100000002","1500.2721300000001","82.063140000000004","307.63647000000003","6427.34022","35645.062489999997","82.249570000000006","107.49634000000002","0.54357","27.223500000000001","13866.38349","58046.270919999995"
2011-05-01,"154.91712000000001","1089.65425","1244.5713700000001","97.806049999999999","268.65122000000002","8407.8096100000002","40088.672960000004","64.86527000000001","105.19496000000001","0.51518000000000008","52.049169999999997","13503.86256","63833.998350000009"
2011-06-01,"193.10727000000003","1212.1266599999999","1405.2339299999999","96.504990000000006","356.86187999999999","10185.189980000001","30890.022280000001","51.508720000000004","99.799880000000002","0.76012000000000002","26.793749999999999","15657.408679999999","58770.084209999994"
2011-07-01,"276.25077000000005","1289.9806899999999","1566.23146","124.49404000000001","486.70896999999997","7028.2736399999994","36343.871780000001","139.03634","111.37837","0.75667000000000006","48.488","18551.967969999998","64401.207239999996"
2011-08-01,"203.8766","1375.5048800000002","1579.3814800000002","155.27213","187.85922000000002","11684.872580000001","40650.658200000005","111.06035","104.39180000000002","0.50699000000000005","31.72214","18432.90076","72938.625650000002"
