"MES","AMFV01","AMFV02","AMFV03","AMFV04","AMFV05","AMFV06","AMFV07","AMFV08","AMFV09","AMFV10","AMFV11","AMFV12","AMFV13"
2000-05-01,"-102093.79899999779","-9584.0923839993775","20788.807615999132","-30372.89999999851","-111677.89138399716","153909.0595575003","-103342.26118000038","14015.490029999986","-137679.43706967123","-73097.148662171327","-38580.742721825838","121155.5022781752","-159736.24500000104"
2000-06-01,"124556.83799999952","-123941.76028899942","-236081.76028899942","112140","615.07771100010723","-77098.069442501292","-86906.114060000051","227536.08586999867","-50955.20689424919","12576.695473248139","-11961.617762248032","189172.43423774838","-201134.05199999642"
2000-07-01,"282032.83700000029","163676.85687100142","168291.85687100142","-4615","445709.69387100171","36329.40555750113","108228.50407999987","4874.018200000748","53389.049098548945","202820.97693605069","242888.71693495102","45365.506934951991","197523.20999999903"
2000-08-01,"520897.23","42417.462895999663","145875.46289599966","-103458","563314.69289599918","-89474.92244250048","7755.3930800003","22644.146999999881","390660.90349580115","331585.52113330085","231729.17176269833","217617.88776269928","14111.283999999054"
2000-09-01,"384460.02899999917","9272.5666149994358","-154188.43338500056","163461","393732.5956149986","-253765.62058999948","36058.01943999948","13468.851999999955","302621.29300229764","98382.543852297589","295350.05176270101","326296.10176270083","-30946.049999999814"
2000-10-01,"-158176.26899999846","149986.17883899994","264514.17883899994","-114528","-8190.0901609985158","359830.31055750046","-82623.118319999427","82733.859000000171","-136694.02551099937","223247.02572650183","-231437.11588750035","-213226.67688750103","-18210.438999999315"
2000-11-01,"129722.15299999807","-13738.481069999747","88727.518930000253","-102466","115983.67192999832","-21139.813590000384","-143158.9900799999","44274.206000000238","239047.71917519812","119023.12150519807","-3039.4495751997456","-118181.43657520041","115141.98700000066"
2000-12-01,"715328.22500000242","-384457.57217200007","20459.427827999927","-404917","330870.65282800235","-484376.30659000017","23779.22791999951","49723.714999999851","-566189.94192679599","-977063.3055967968","1307933.9584247991","573055.77742480114","734878.180999998"
2001-01-01,"229899.92599999905","-96568.557262000628","368417.44273799937","-464986","133331.36873799842","307123.82055750024","34966.860940000508","52844.30700000003","-103493.64281164156","291441.34568585921","-158109.97694786079","228416.12305214256","-386526.10000000335"
2001-02-01,"148986.26299999841","-6989.311507999897","76187.688492000103","-83177","141996.95149199851","-206136.35329500027","-17595.63816000009","85931.270999999717","-832007.89002996078","-969808.61048496142","1111805.5619769599","850473.24697695673","261332.3150000032"
2001-03-01,"-216360.39199999906","-149897.27601600066","108369.72398399934","-258267","-366257.66801599972","-85985.947277500294","-37232.849600000307","-25206.069000000134","-209415.93113850057","-357840.79701600131","-8416.870999998413","89874.519999999553","-98291.390999997966"
2001-04-01,"200595.67300000042","-60968.059261999093","66934.940738000907","-127903","139627.61373800132","402642.64512000047","-93617.114919999614","10887.061999999918","-161930.26329729613","157982.32890270464","-18354.715164703317","283424.35583529994","-301779.07100000326"
2001-05-01,"481512.46999999881","37417.457229999825","-3248.5427700001746","40666","518929.92722999863","-186070.1818000013","-20498.020800000057","122845.21699999925","17594.684956994839","-66128.300643007271","585058.2278730059","286238.54487300292","298819.68300000299"
2001-06-01,"168431.08400000073","-77336.374261999503","25829.625738000497","-103166","91094.709738001227","380063.75312000141","-71744.012699999847","46787.555000000633","-367716.33054379746","-12609.035123795271","103703.7448617965","-156365.34513820335","260069.09"
2001-07-01,"162098.00399999879","156281.98147600051","194092.98147600051","-37811","318379.9854759993","77353.221239999868","45521.478159999475","107733.86499999929","175723.6743524028","406332.23875240143","-87952.253276402131","124443.91172359884","-212396.16500000097"
2001-08-01,"327418.68000000156","-256681.05001600087","-50753.050016000867","-205928","70737.629984000698","-178578.76384000015","96630.27228000015","96949.531000000425","-364194.14674563054","-349193.10730563011","419930.73728963081","-380.50071036815643","420311.23799999896"
2001-09-01,"147236.16200000048","3413.3129839999601","90272.31298399996","-86859","150649.47498400044","-133842.12284000032","14455.298960000277","252414.61500000022","12672.812574371696","145700.60369437188","4948.8712896285579","104018.34528962895","-99069.474000000395"
2001-10-01,"121614.6959999986","251098.56761400029","231681.56761400029","19417","372713.26361399889","55851.693239999935","-69129.415300000459","151681.77099999972","-58301.899760443717","80102.149179555476","292611.11443444341","143208.28143444285","149402.83300000057"
2001-11-01,"879214.7070000004","93490.383950999938","218269.38395099994","-124779","972705.09095100034","572451.06912000012","-35628.439190000296","17555.346000000834","182450.09630377591","736828.07223377656","235877.01871722378","47527.224717222154","188349.79400000162"
2001-12-01,"408454.00300000049","-14297.463619000278","331259.53638099972","-345557","394156.53938100021","-526151.85099999979","-135998.86034999928","-74745.247999999672","283781.65366489952","-453114.30568509921","847270.84506609943","200538.38906610012","646732.45599999931"
2002-01-01,"704374.1790000014","-63498.486855999567","92742.513144000433","-156241","640875.69214400183","806845.10631999932","-45755.94950000057","180719.91","35057.531279949937","976866.59809994884","-335990.905955947","-169272.7889559418","-166718.11700000521"
2002-02-01,"-211680.37200000137","-51576.311873999424","-156398.31187399942","104822","-263256.6838740008","-212295.0967199998","-23171.267219999805","256991.11499999929","-190720.35444115754","-169195.60338115785","-94061.080492842942","-115842.24849284813","21781.168000005186"
2002-03-01,"-448930.87700000033","136679.27608999982","10505.276089999825","126174","-312251.6009100005","-160602.64979999978","1825.2947000004351","20137.09200000111","288711.8413397586","150071.57823976036","-462323.17914976086","3563.9288502372801","-465887.10799999814"
2002-04-01,"116045.51899999939","17213.269053998403","-68098.730946001597","85312","133258.78805399779","45982.132120000198","-81910.345540000126","116104.42299999949","-158261.07739821915","-78084.867818219587","211343.65587221738","93874.19787222147","117469.45799999591"
2002-05-01,"-135731.2070000004","-59886.304945999756","15821.695054000244","-75708","-195617.51194600016","-262930.92188000027","-51400.651970000006","214674.99399999995","130390.63630538061","30734.056455380283","-226351.56840138044","-239941.88540137932","13590.316999998875"
2002-06-01,"-981060.94499999844","446978.4581439998","324587.4581439998","122391","-534082.48685599864","-216836.73267999943","72713.110169999767","-229956.10800000094","598843.42695954209","224763.69644954149","-758846.18330554012","-893423.16530553997","134576.98199999984"
2002-07-01,"-3195772.7861899994","115358.60012600105","229471.60012600105","-114113","-3080414.1860639984","667181.69427999947","-670799.67859999975","41502.170000000857","1070513.7399755572","1108397.9256555578","-4188812.1117195562","-3550403.645719558","-638408.46599999815"
2002-08-01,"849691.40319319814","269268.10442799982","340787.10442799982","-71519","1118959.507621198","29002.26823999919","-377453.7818","209510.76499999966","604385.03190094698","465444.28334094584","653515.22428025212","473172.48028025031","180342.74400000181"
2002-09-01,"708315.42899680138","-129725.17820999958","-155409.17820999958","25684","578590.2507868018","-394356.55079999939","-26791.555530000478","227065.29400000069","-162543.50694502983","-356626.319275029","935216.5700618308","864937.26006183028","70279.310000000522"
2002-10-01,"324471.04799999855","494340.92578999884","366202.92578999884","128138","818811.9737899974","116872.36320000049","76606.53935000021","140566.0139999995","-265400.67901844345","68644.237531556748","750167.73625844065","673671.71225843951","76496.02400000114"
2002-11-01,"43582.155999999493","223248.33579000086","53182.335790000856","170066","266830.49179000035","-397643.93879999965","-37693.654879999813","107457.5410000002","44290.517279459629","-283589.53540053964","550420.02719053999","232874.33119053766","317545.69600000232"
2002-12-01,"902305.7330000028","89620.04378999956","99237.04378999956","-9617","991925.77679000236","-529337.00380000006","1075376.5793800005","661385.55800000113","-1810850.615980526","-603425.48240052443","1595351.2591905268","673929.56819053367","921421.69099999312"
2003-01-01,"229745.98599999771","112255.74878999963","220607.74878999963","-108352","342001.73478999734","36892.498200000264","-16507.127990000881","230376.85699999891","-9097.5473606409505","241664.67984935734","100337.05494064","538024.00494064018","-437686.95"
2003-02-01,"-1211558.8619999979","232932.52291600034","441189.52291600034","-208257","-978626.33908399753","211254.93907999992","-11286.711629999802","-53238.300000002608","131250.77728288621","277980.70473288372","-1256607.0438168813","-809271.30781688169","-447335.73599999957"
2003-03-01,"-36781.286000000313","133839.05387399904","-90357.946126000956","224197","97057.767873998731","-136426.99088000041","-3583.5375999994576","-371705.46499999799","530585.60663547367","18869.613155475818","78188.154718522914","67968.806718517095","10219.348000005819"
2003-04-01,"432494.96199999936","73656.64495800063","35768.64495800063","37888","506151.60695799999","380805.07504000049","-37352.653490000404","-119757.81299999915","-60036.724831509404","163657.88371849153","342493.72323950846","165468.32123951241","177025.40199999604"
2003-05-01,"-47862.223999999464","485178.4819159992","127699.4819159992","357479","437316.25791599974","-311866.12992000021","6432.8119799997658","252511.61199999973","-155616.23562300764","-208537.94156300835","645854.19947900809","330470.34547900781","315383.85400000028"
