"MES","BCCA01","BCCA02","BCCA03","BCCA04","BCCA05","BCCA06","BCCA07","BCCA08","BCCA09","BCCA10","BCCA11","BCCA12","BCCA13","BCCA14","BCCA15","BCCA16"
2004-02-01,"7707079.7229999993","2814015.2209999999","1142809.345","3750255.1570000001","1086234.067","42858.968027499999","7392501.9129999997","7392501.9129999997","0","0","0","2551615.091","2347644.0109999999","203971.08","1022402.777","19802692.539027497"
2004-03-01,"7909395.5899999999","3025288.6340000001","1229088.5260000001","3655018.43","1090385.28","78451.0782492","7332545.0269999998","7332545.0269999998","0","0","0","2611810.088","2388288.7239999999","223521.364","1027415.942","20050003.005249202"
2004-04-01,"7065351.2310000006","2785665.8930000002","1072290.3770000001","3207394.9610000001","1091769.0179999999","75983.714137799994","7688119.4000000004","7688119.4000000004","0","0","0","2924422.023","2668465.4730000002","255956.55","1005804.01","19851449.3961378"
2004-05-01,"7276850.2820000006","2833140.3560000001","1130443.3","3313266.6260000002","1093152.7549999999","76343.305523999996","7706146.4809999997","7706146.4809999997","0","0","0","2651596.7309999997","2420688.9619999998","230907.769","1014933.519","19819023.073523998"
2004-06-01,"7249974.6300000008","2831821.486","827319.69400000002","3590833.45","1095920.2309999999","75992.862686399996","7897110.0659999996","7897110.0659999996","0","0","0","2473963.7450000001","2610291.9330000002","-136328.18799999999","954929.46","19747890.994686402"
2004-07-01,"7655434.2500000009","2802552.8080000002","1591090.094","3261791.3480000002","1097303.9680000001","73584.123880800005","7845280.7889999999","7845280.7889999999","0","0","0","2183913.193","2376140.1189999999","-192226.92600000001","952018.60900000005","19807534.9328808"
2004-08-01,"8023976.1370000001","2960644.9920000001","1189411.4380000001","3873919.7069999999","1101455.1810000001","71729.867603999999","8037146.7929999996","8037146.7929999996","0","0","0","2160394.7909999997","2354809.3029999998","-194414.51199999999","957387.24600000004","20352090.015604001"
2004-09-01,"8749258.057","3004698.6719999998","1599055.486","4145503.8990000002","1125090.3570000001","66502.899027599997","7881821.54","7881821.54","0","0","0","2169959.2019999996","2360895.1009999998","-190935.899","958619.29099999997","20951251.346027602"
2004-10-01,"9132782.5779999997","3099533.639","1166765.2009999999","4866483.7379999999","1129320.02","58729.760870400001","7809418.3080000002","7809418.3080000002","0","0","0","2179241.0439999998","2370034.8459999999","-190793.802","948397.76","21257889.470870402"
2004-11-01,"9734208.9010000005","3319302.8840000001","1545238.807","4869667.21","1130729.9069999999","60635.460143800003","7737004.6270000003","7737004.6270000003","0","0","0","2188633.321","2373563.7889999999","-184930.46799999999","954000.91299999994","21805213.129143801"
2004-12-01,"10224678.534","3211070.37","1375403.99","5638204.1739999996","1133549.683","121290.4945764","7865811.2659999998","7865811.2659999998","0","0","0","2182129.534","2458305.9879999999","-276176.45400000003","904512.12899999996","22431971.640576396"
2005-01-01,"9323292.0189999994","3131229.0389999999","1591803.162","4600259.818","1134959.57","121270.52899999999","7739820.0789999999","7739820.0789999999","0","0","0","2110832.5373415002","2379382.1282995003","-268549.59095799999","903756.60699999996","21333931.341341499"
2005-02-01,"9579055.876582399","3196883.9774326002","1312550.8831265999","5069621.0160232","1136369.45799","118981.95172500001","7850747.0214137994","7850747.0214137994","0","0","0","2116340.9249796001","2382469.2148508001","-266128.28987120005","890953.71639600012","21692448.9490868"
2005-03-01,"9460857.4769271985","3143194.0526343998","1800649.122736","4517014.3015567996","1162823.2333200001","118240.9017576","7428628.385268","7428628.385268","0","0","0","2078737.2009812002","2340573.3805956002","-261836.17961440003","937439.99493860011","21186727.193192601"
2005-04-01,"10077668.482667999","3174623.8206967996","1765332.9656544002","5137711.6963167991","1162823.2333200001","195024.29319600001","7701675.1242388012","7701675.1242388012","0","0","0","2086225.8392252","2333945.7515516002","-247719.91232640005","941505.79669740028","22164922.769345403"
2005-05-01,"9958133.8985744007","3082460.3400271996","1741466.8270120001","5134206.7315352","1162823.2333200001","174906.00914479999","7613348.9498908008","7613348.9498908008","0","0","0","2132311.6254803999","2357099.2362476001","-224787.61076720001","900332.94322620006","21941856.659636602"
2005-06-01,"10397272.508079201","3220796.0769488001","1899594.6226712","5276881.8084592","1162823.2333200001","154642.11702960002","7822369.6498398259","7822369.6498398259","0","0","0","2091503.6640659994","2324082.6177763995","-232578.9537104","878362.55823333992","22506973.730567966"
2005-07-01,"10987597.840520002","3142006.3171070004","1870558.7333055004","5975032.7901075007","1158505.8203250002","150747.70531100003","7736475.1400209898","7736475.1400209898","0","0","0","2063927.4131655004","2295422.5558085004","-231495.142643","871991.95549460954","22969245.874837101"
2005-08-01,"11675622.328539399","3159349.7108843997","1741175.2031322001","6775097.4145227997","1155627.5449949999","89291.715118099994","7458832.9553848673","7458832.9553848673","0","0","0","2068229.6177248002","2295838.4415787002","-227608.82385389996","869609.95818201941","23317214.119944185"
2005-09-01,"12015032.6634512","3459645.2521096002","1687252.7534113999","6868134.6579302","1154188.4073299998","89014.939512799989","7504414.5232054666","7504414.5232054666","0","0","0","2075237.2631166","2299433.5338454","-224196.27072879998","877130.04216621909","23715017.838782281"
2005-10-01,"12909864.849519998","3453442.2695999998","2382509.8652799996","7073912.714639999","1151310.132","88759.801599999992","7547775.4588146219","7547775.4588146219","0","0","0","2011828.8409800003","2266887.7471800004","-255058.9062","873088.36374668649","24582627.446661308"
2005-11-01,"13921781.29208","3647985.4516799999","3310255.0532799996","6963540.7871199995","1151310.132","142187.64336000002","7442374.4876842704","7442374.4876842704","0","0","0","2044144.8835399998","2273672.1037099999","-229527.22017000002","861715.47588534595","25563513.914549615"
